呃请说 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
嗯您好有什么可以帮助您哎你好 稍等一下我帮您查看一下接听电话的话都是免费的那您打电话的话如果说到福州的那直接打电话的话就是一毛九一分钟 
您好请讲 我看一下 
您好您请说 呃本机办的是一百三十八的套餐 
您好请讲喂你好 我帮您看一下噢 
您好请说 那我们当下最低的话是八块钱一个月 
您好请说喂您好 一个二没关系噢可以好您现在这个活动它是每个月给您赠送四十块钱您自己付十块钱 
您好请讲 您这是那种八块钱套餐啊就是三十分钟通话然后跟来电显示 
您好请讲 现在的资费你先稍等一下因为您现在的这套餐就没有积分了都是说都可以全国通用的了 
您好请说有什么可以帮您的 三十八的 
您好请说 呃您是流量包是吧 
呃您好请讲您好 嗯请讲 
您好很高兴为您服务 诶您好 
哎您好请讲 先生您好 
嗯您好请说 手机的基本套餐您现在用的是十八元的套餐啊 
您好请说 三十九的 
您好请讲你好 马来西亚那边电话您可以加幺七九五幺 
哦您好很高兴为您服务 套餐它就是和家庭七十九套餐的您想它也会是有包含宽带的 
无线宽带 在家里面有这种宽带吗 
您好请讲 呃您好 
您好很高兴为您服务 先生基本功能是免费的打电话跟接电话或者有上网的话就另外收钱 
您好请讲 呃您现在办的话有个优惠活动六十块钱有六千兆那是办一次的话有效期大概是一百八十天就是您在一百八十天之内的话使用都有效 
您好您讲 一九您的本机号码打电话在龙岩地区打有一百分钟超出之后每分钟一毛九 
您这套餐是九块钱的是爱奇艺的流量有三g然后只能登录爱奇诶被人键播放视频用的其他的话如果您在福建省内上网一天就是一块钱有五百兆有用就收这一块没用的话这一块钱就不扣如果您到省外的话那就没有流量正常收费 对就是当天的话在福建省内上网五百兆以内就是说一块吗 
您好很高兴为您服务 呃您是本机想办理宽带是吗 
您好请讲 铃声的话彩铃功能您要先打开功能的话是一个月五块钱然后铃声的话一首大概是零到三块不等嗯 
您好请问什么可以帮您 恩对 
您好请说 您这个是全球通三十八套餐每个月包含三百分钟的通话时间一千五百兆的省内流量还有来电显示套餐三十八 
您好很高兴为您服务 是这样子如果去新加坡漫游首先是他要先有开通国际漫游功能到那边开通然后然后如果是流量方面我们针对新加波地区您可以开通一带一路多国流量包它有三天五天七天然后您可以根据您自己的行程呃进行办理这个流量包 
