呃 请 说   帮 我查 一下 您 稍等一下 您 这 张卡 现在 是 在 整个 大陆 打 大陆 的 移动 六分 大陆 打 联通 电信 是 两毛
嗯 您好 有 什么 可以 帮助 您 哎 你好   稍等一下 我 帮 您 查看 一下 接听电话 的话 都 是 免费 的 那 您 打电话 的话 如果说 到 福州 的 那 直接 打电话 的话 就是 一毛 九 一分钟
您好 请 讲   我 看 一下
您好 您 请 说   呃本 机办 的 是 一百三十八 的 套餐
您好 请 讲 喂 你好   我 帮 您 看 一下 噢
您好 请 说   那 我们 当下 最低 的话 是 八块钱 一个月
您好 请 说 喂 您好   一个 二 没关系 噢 可以 好 您 现在 这个 活动 它 是 每个 月 给 您 赠送 四十块 钱 您 自己 付 十块钱
您好 请 讲   您 这 是 那种 八块钱 套餐 啊 就是 三十分钟 通话 然后 跟 来电显示
您好 请 讲   现在 的 资费 你 先 稍等一下 因为 您 现在 的 这 套餐 就 没有 积分 了 都 是 说 都 可以 全国 通用 的 了
您好 请 说 有 什么 可以 帮 您 的   三十八 的
您好 请 说   呃 您 是 流量 包是 吧
呃 您好 请 讲 您好   嗯 请 讲
您好 很 高兴 为您服务   诶 您好
哎 您好 请 讲   先生 您好
嗯 您好 请 说   手机 的 基本 套餐 您 现在 用 的 是 十八元 的 套餐 啊
您好 请 说   三十九 的
您好 请 讲 你好   马来西亚 那边 电话 您 可以 加幺 七 九五 幺
哦 您好 很 高兴 为您服务   套餐 它 就是 和 家庭 七十九 套餐 的 您 想 它 也 会 是 有 包含 宽带 的
无线 宽带   在家 里面 有 这种 宽带 吗
您好 请 讲   呃 您好
您好 很 高兴 为您服务   先生 基本功能 是 免费 的 打电话 跟 接电话 或者 有 上网 的话 就 另外 收钱
您好 请 讲   呃 您 现在 办 的话 有个 优惠活动 六十块 钱 有 六 千兆 那 是 办 一次 的话 有效期 大概 是 一百八十 天 就是 您 在 一百八十 天 之内 的话 使用 都 有效
您好 您 讲   一九 您 的 本 机号码 打电话 在 龙岩 地区 打有 一百 分钟 超出 之后 每分钟 一毛 九
