你好请讲其他 先生嗯请讲 
我看一下账单了稍等一下 哦哦 
还好像又改成那个幺八八的套餐吗 对对就是还有问题吗 
您好请讲 是的是幺八八套餐 
您好请讲 二幺 
您好请说 本机您现在用的是那个新飞啊把新的和家庭的九十九的套餐这个宽带是多少钱嗯 
您好很高兴您服务 您这张卡流量是这样子的一天有一块钱的五百兆的省内流量您当地有用到流量就扣一块钱五百兆的没有用到流量这边就扣您钱是这样子的 
您好请问什么可以帮助您 呃我看一下本机查询您没有另外开您是套餐内包含一天一块钱五百兆省内流量这样子 
你好请说 旧套餐的是吗您这个号码是八元的套餐八块钱一个月 
恩那您请说 噢好的您稍等哈 
嗯您好请说 除了您的基本三十八套餐之外有个五十元的流量包这个是手机参加活动的活动到三月一号为止明年的三月一号 
你好请讲 有一个家庭网还有个彩印其他的有一个来电呃来电提醒下个月取消了彩印也取消了那就剩一个家庭网和基本套餐了其他没有了 
好您说的是上个月账单是上个月账单所以您上个月有一次性的花六十块钱买了六个g的国内流量然后从从那天开始算起一百八十天内用完一百八十天过它会自动失效掉 啊您是您是说什么流量吗还是什么 
您好请说 今天充值到八点多已经到账了二十四个小时的 
什么您好请说 您套餐是三十八块钱套餐除了这套餐以外有一个是宽带的业务包 
好您好请讲 嗯嗯可以稍等 
嗯嗯您好请问什么可以帮助您哎你好嗯请说 飞享套餐三十八块 
嗯嗯您好请讲 呃他现在是要是有收费但是它有做活动给您活动期就说现在只收您十块钱 
嗯谢谢您好很高兴为您服务 再加十块我看一下 
很高兴为您服务 像您这张卡的套餐是三十八块的其他收费业务呢有五块钱的彩铃三块钱的彩印 
嗯你好请说 稍等一下啊你这个流量目前还有四g多啊 
唉呀您好请讲 就是基本套餐费一个月十八块钱还有一个三块钱的来电提醒手机阅读六元彩印三元其他的就没有啦 
你好很高兴为您服务 我看一下八十八的 
您好请说 嗯您这个套餐的话是那个和家庭七九套餐然后的话有开一个十块钱一百兆的流量包然后呢其他就没有了 
你好请讲 有一个彩铃跟彩印我看能不能够帮您取消 
您好请讲 嗯您现在目前用的是一百五十八的套餐呢 
帮您请说诶你好恩 噢您这号码的话就是产生了就是那个有个来电显示嘛然后彩铃还有些什么幺二五八零会员噢其他业务 
愉快再见您好请讲 收费就八十八块钱月租加上两块钱来电提醒还有六块钱五十兆的流量这边有办理一个超级qq然后手机游戏个性化彩铃还有才能开 
诶您好请说 呃稍等一下 
嗯嗯您好请讲 您现在是用的是新的三十八的飞享套餐女士三十八块钱套餐费 
您好很高兴为您服务 有手机服务密码有吗的什么手机数据它是另外一张号码卡的情况要有密码才有权限查没有密码我们这边是核对不到的 
哎嗯您好 嗯帮您看一下您稍等三十八对的 
您好很高兴为您服务你帮我查一下我这什么套餐本机是月租费十三块套餐十三块套餐对十三元六十三元是吧对十四号好好然后来电显示要另外收啊还有来电提醒噢那你查一下我这个接下来是半年之前的半年内每个月大概消费多少上个月是六十三包月上个月三月份四十二 六六月份是 
你好请讲 您这个没有开流量套餐啊 
您好请说 这边显示您这个号码目前还是属于旧版的三十八套餐啊并没有改到那个新的三十并没有看到有更改套餐的一个记录 
您好很高兴您服务 好的女士我帮您看一下除了基本套餐的话是一个流量王的一个是套餐除了这个以外的话其他的收费服务帮您查询一下您稍等一下这边有个彩印功能但是已经有登记了下个月取消掉了 
对您好请讲 有两样是吧嗯套餐是八十八的二级八十八是吗还有一个流量的活动十二月一号到期 
有什么可以帮您 您现在用的是新飞享系列十八套餐里面还有国内流量一百兆嘛然后省内流量赠送您两百兆然后本地打国内电话两百分钟吗 
很高兴您服务您好 您现在用的是五十八的套餐 
嗯您好请讲 您现在套餐是校园四十八的套餐这款的四十八是吧对没错四十八 
您好请讲 这张卡的话就是五十八块钱的套餐有开一个来电提醒功能还有幺三九邮箱彩印和彩铃功能 
您好很高兴为您服务 这个用的是飞享三十八现在用的是新版的三十八 
您好请讲 下个月 
嗯嗯您好请说有什么可以帮您的 噢目前使用您的套餐啊没什么收费的业务啊 
您好请说 您好什么可以帮助到您 
