你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
我看一下账单了稍等一下 哦哦 哎女士您好刚呃刚刚给您看了一下啊您上个月是流量超了二十九块七毛一然后基本套餐八十八 
还好像又改成那个幺八八的套餐吗 对对就是还有问题吗 可以呀您别挂机我帮您转宽带不行啊您把地址报给他现在为您转接 
您好请讲 是的是幺八八套餐 对是幺八八的 
您好请讲 二幺 不想捆绑了 
您好请说 本机您现在用的是那个新飞啊把新的和家庭的九十九的套餐这个宽带是多少钱嗯 这个我看一下有绑定了两年的时间 
您好很高兴您服务 您这张卡流量是这样子的一天有一块钱的五百兆的省内流量您当地有用到流量就扣一块钱五百兆的没有用到流量这边就扣您钱是这样子的 有啊您这边已经流量都开通了您如果您把上网功能关闭掉所以您不能上网 
您好请问什么可以帮助您 呃我看一下本机查询您没有另外开您是套餐内包含一天一块钱五百兆省内流量这样子 给我三百兆省内流量 
你好请说 旧套餐的是吗您这个号码是八元的套餐八块钱一个月 是的没错 
恩那您请说 噢好的您稍等哈 呃这边查询主要是来电提醒扣两块然后打电话打了一块七毛多 
嗯您好请说 除了您的基本三十八套餐之外有个五十元的流量包这个是手机参加活动的活动到三月一号为止明年的三月一号 现在没办法取消然后还有一个是两块钱的来电提醒跟一个宽带电视的一个服务 
你好请讲 有一个家庭网还有个彩印其他的有一个来电呃来电提醒下个月取消了彩印也取消了那就剩一个家庭网和基本套餐了其他没有了 对下个月就没有了 
好您说的是上个月账单是上个月账单所以您上个月有一次性的花六十块钱买了六个g的国内流量然后从从那天开始算起一百八十天内用完一百八十天过它会自动失效掉 啊您是您是说什么流量吗还是什么 那个是比如那是比如说二十块钱那我用套餐那个资料有接到通知客户才能办的平时我们是办不了的这个业务的 
您好请说 今天充值到八点多已经到账了二十四个小时的 通过其他方式购买的这个吧 
什么您好请说 您套餐是三十八块钱套餐除了这套餐以外有一个是宽带的业务包 宽带是吗我帮您看一下宽带的话您这边享受的是有一年一年收费一年后免费的活动一个月四十一 
好您好请讲 嗯嗯可以稍等 呃您的月租目前就是十块钱每个月保底消费十块的那个叫呃神州行畅听卡额外收您的费用啊是您当时有两块来电提醒还有六块钱彩铃三块钱彩印这三项 
嗯嗯您好请问什么可以帮助您哎你好嗯请说 飞享套餐三十八块 就这个套餐其他没开别的啦 
嗯嗯您好请讲 呃他现在是要是有收费但是它有做活动给您活动期就说现在只收您十块钱 嗯还没有到期要到二零一八年三月一号到期到二月底 
嗯谢谢您好很高兴为您服务 再加十块我看一下 您是本月内里面看到多交十块是每个月分的 
很高兴为您服务 像您这张卡的套餐是三十八块的其他收费业务呢有五块钱的彩铃三块钱的彩印 您这张卡不今年七月份用的嘛新卡的话都有赠送增值业务这个彩铃跟彩印啊就是送的送半年时间还没到期然后您还有一个业务家庭网三块钱 
嗯你好请说 稍等一下啊你这个流量目前还有四g多啊 您说哪里显示没有了 
唉呀您好请讲 就是基本套餐费一个月十八块钱还有一个三块钱的来电提醒手机阅读六元彩印三元其他的就没有啦 好的您稍等一下给您取消好了下个月 
你好很高兴为您服务 我看一下八十八的 看一下可以改 
您好请说 嗯您这个套餐的话是那个和家庭七九套餐然后的话有开一个十块钱一百兆的流量包然后呢其他就没有了 呃您的流量我看一下噢 
你好请讲 有一个彩铃跟彩印我看能不能够帮您取消 彩铃是做不了预约的哈彩印的话我帮您预约一下 
您好请讲 嗯您现在目前用的是一百五十八的套餐呢 一百八十八那种呃就是全全家统套餐就是省内流量不限量国内通话一千两百分钟 
帮您请说诶你好恩 噢您这号码的话就是产生了就是那个有个来电显示嘛然后彩铃还有些什么幺二五八零会员噢其他业务 彩铃的话一个月是五块钱 
愉快再见您好请讲 收费就八十八块钱月租加上两块钱来电提醒还有六块钱五十兆的流量这边有办理一个超级qq然后手机游戏个性化彩铃还有才能开 呃手机游戏功能玩游戏的一个服务您用不到我帮您取消 
诶您好请说 呃稍等一下 本机的话您是三十八元套餐有一个来电提醒还有一个六块钱的流量五十兆的 
嗯嗯您好请讲 您现在是用的是新的三十八的飞享套餐女士三十八块钱套餐费 开机 
您好很高兴为您服务 有手机服务密码有吗的什么手机数据它是另外一张号码卡的情况要有密码才有权限查没有密码我们这边是核对不到的 那就是如果您密码的话您要用那部号码本机打电话进来我们给您核对了 
哎嗯您好 嗯帮您看一下您稍等三十八对的 呃您是想更改什么套餐呢 
