你好 请 讲 其他   先生 嗯 请 讲
我 看 一下 账单 了 稍等一下   哦 哦
还 好像 又 改成 那个 幺 八八 的 套餐 吗   对 对 就是 还有 问题 吗
您好 请 讲   是 的 是 幺 八八 套餐
您好 请 讲   二 幺
您好 请 说   本机 您 现在 用 的 是 那个 新飞 啊 把 新 的 和 家庭 的 九十九 的 套餐 这个 宽带 是 多少 钱 嗯
您好 很 高兴 您 服务   您 这 张卡 流量 是 这 样子 的 一天 有 一块钱 的 五百 兆 的 省内 流量 您 当地 有用 到 流量 就 扣 一块钱 五百 兆 的 没有 用到 流量 这边 就 扣 您 钱 是 这 样子 的
您好 请问 什么 可以 帮助 您   呃 我 看 一下 本 机 查询 您 没有 另外 开 您 是 套餐 内 包含 一天 一块钱 五百 兆 省内 流量 这 样子
你好 请 说   旧 套餐 的 是 吗 您 这个 号码 是 八元 的 套餐 八块钱 一个月
恩 那 您 请 说   噢 好 的 您 稍 等 哈
嗯 您好 请 说   除了 您 的 基本 三十八 套餐 之外 有个 五十元 的 流量 包 这个 是 手机 参加 活动 的 活动 到 三月 一号 为止 明年 的 三月 一号
你好 请 讲   有 一个 家庭网 还有 个 彩印 其他 的 有 一个 来电 呃 来电 提醒 下个月 取消 了 彩印 也 取消 了 那 就 剩 一个 家庭网 和 基本 套餐 了 其他 没有 了
好 您 说 的 是 上个月 账单 是 上个月 账单 所以 您 上个月 有 一次性 的 花 六十块 钱 买 了 六个 g 的 国内 流量 然后 从 从 那天 开始 算 起 一百八十 天内用 完 一百八十 天过 它 会 自动 失效 掉   啊 您 是 您 是 说 什么 流量 吗 还是 什么
您好 请 说   今天 充值 到 八点 多 已经 到 账 了 二十四个 小时 的
什么 您好 请 说   您 套餐 是 三十 八块钱 套餐 除了 这 套餐 以外 有 一个 是 宽带 的 业务 包
好 您好 请 讲   嗯 嗯 可以 稍 等
嗯 嗯 您好 请问 什么 可以 帮助 您 哎 你好 嗯 请 说   飞享 套餐 三 十八块
嗯 嗯 您好 请 讲   呃 他 现在 是 要是 有 收费 但是 它 有 做 活动 给 您 活动期 就 说 现在 只收 您 十块钱
嗯 谢谢您 好 很 高兴 为您服务   再 加 十块 我 看 一下
很 高兴 为您服务   像 您 这 张卡 的 套餐 是 三 十八块 的 其他 收费 业务 呢 有 五块 钱 的 彩铃 三块 钱 的 彩印
嗯 你好 请 说   稍等一下 啊 你 这个 流量 目前 还有 四 g 多 啊
唉呀 您好 请 讲   就是 基本 套餐 费 一个月 十八块 钱 还有 一个 三块 钱 的 来电 提醒 手机 阅读 六元 彩印 三元 其他 的 就 没有 啦
你好 很 高兴 为您服务   我 看 一下 八十八 的
您好 请 说   嗯 您 这个 套餐 的话 是 那个 和 家庭 七九 套餐 然后 的话 有开 一个 十块钱 一 百兆 的 流量 包 然后 呢 其他 就 没有 了
你好 请 讲   有 一个 彩铃 跟 彩印 我 看 能不能够 帮 您 取消
您好 请 讲   嗯 您 现在 目前 用 的 是 一百五十 八 的 套餐 呢
帮 您 请 说 诶 你好 恩   噢 您 这 号码 的话 就是 产生 了 就是 那个 有个 来电显示 嘛 然后 彩铃 还 有些 什么 幺 二 五八 零 会员 噢 其他 业务
愉快 再见 您好 请 讲   收费 就 八十 八块钱 月租 加上 两块钱 来电 提醒 还有 六块钱 五十 兆 的 流量 这边 有 办理 一个 超级 qq 然后 手机游戏 个性化 彩铃 还有 才能 开
诶 您好 请 说   呃 稍等一下
嗯 嗯 您好 请 讲   您 现在 是 用 的 是 新 的 三十八 的 飞享 套餐 女士 三十 八块钱 套餐 费
您好 很 高兴 为您服务   有 手机 服务 密码 有 吗 的 什么 手机 数据 它 是 另外 一张 号码 卡 的 情况 要 有 密码 才 有 权限 查 没有 密码 我们 这边 是 核对 不到 的
哎 嗯 您好   嗯 帮 您 看 一下 您 稍 等 三十八 对 的
