你好 请 讲 其他   先生 嗯 请 讲   这边 帮 您 看 了 一下 有 收费 的 业务 套餐 费 一个月 八十八 然后 这边 有 一个 来电 提醒 一个月 三块 钱 然后 有 一个 彩铃 六块 彩印 三块 手机 阅读 六块 没有 其他 扣费 了   彩铃 六块钱 手机 阅读 六块 彩印 三块 这些 业务 要 取消 吗
我 看 一下 账单 了 稍等一下   哦 哦   哎 女士 您好 刚 呃 刚刚 给 您 看 了 一下 啊 您 上个月 是 流量 超 了 二十九 块 七 毛 一 然后 基本 套餐 八十八   嗯 因为 您 套餐 五个 g 都 是 福建省 流量 上个月 都 超出 了然 您 家庭网 有个 三块 钱 来电 提醒 两块 您 本来 固定 的 费用 只有 九十三 嘛 就是 流量 超 了 二十九 块 多
还 好像 又 改成 那个 幺 八八 的 套餐 吗   对 对 就是 还有 问题 吗   可以 呀 您 别 挂机 我 帮 您 转 宽带 不行 啊 您 把 地址 报给 他 现在 为 您 转接
您好 请 讲   是 的 是 幺 八八 套餐   对 是 幺 八八 的   是 的 没错
您好 请 讲   二 幺   不想 捆绑 了   我 帮 您 看到 您 的 宽带 它 有 限制 您 有用 多长时间 吗
您好 请 说   本机 您 现在 用 的 是 那个 新飞 啊 把 新 的 和 家庭 的 九十九 的 套餐 这个 宽带 是 多少 钱 嗯   这个 我 看 一下 有 绑定 了 两年 的 时间   呃 这个 月 开始 的 他 不是 有 送 了 一百八十 元 话费 吗 跟 一千块 钱 呃 一千 分钟 的 分钟 数 吗 这 两个 活动 绑定 两年
您好 很 高兴 您 服务   您 这 张卡 流量 是 这 样子 的 一天 有 一块钱 的 五百 兆 的 省内 流量 您 当地 有用 到 流量 就 扣 一块钱 五百 兆 的 没有 用到 流量 这边 就 扣 您 钱 是 这 样子 的   有 啊 您 这边 已经 流量 都 开通 了 您 如果 您 把 上网 功能 关闭 掉 所以 您 不能 上网   那 可以 您 本机 服务 密码 知道 吗
您好 请问 什么 可以 帮助 您   呃 我 看 一下 本 机 查询 您 没有 另外 开 您 是 套餐 内 包含 一天 一块钱 五百 兆 省内 流量 这 样子   给 我 三百 兆 省内 流量   对 是 的
你好 请 说   旧 套餐 的 是 吗 您 这个 号码 是 八元 的 套餐 八块钱 一个月   是 的 没错   十八块 钱 的
恩 那 您 请 说   噢 好 的 您 稍 等 哈   呃 这边 查询 主要 是 来电 提醒 扣 两块 然后 打电话 打 了 一块 七毛多   呃 对 是 的
嗯 您好 请 说   除了 您 的 基本 三十八 套餐 之外 有个 五十元 的 流量 包 这个 是 手机 参加 活动 的 活动 到 三月 一号 为止 明年 的 三月 一号   现在 没 办法 取消 然后 还有 一个 是 两块钱 的 来电 提醒 跟 一个 宽带 电视 的 一个 服务   对 然后 其他 没 了
你好 请 讲   有 一个 家庭网 还有 个 彩印 其他 的 有 一个 来电 呃 来电 提醒 下个月 取消 了 彩印 也 取消 了 那 就 剩 一个 家庭网 和 基本 套餐 了 其他 没有 了   对 下个月 就 没有 了   三块 的 就是 来电 提醒 啊
好 您 说 的 是 上个月 账单 是 上个月 账单 所以 您 上个月 有 一次性 的 花 六十块 钱 买 了 六个 g 的 国内 流量 然后 从 从 那天 开始 算 起 一百八十 天内用 完 一百八十 天过 它 会 自动 失效 掉   啊 您 是 您 是 说 什么 流量 吗 还是 什么   那个 是 比如 那 是 比如说 二十块 钱 那 我 用 套餐 那个 资料 有 接到 通知 客户 才能 办 的 平时 我们 是 办 不了 的 这个 业务 的   这样 的 对 是 的
您好 请 说   今天 充值 到 八点 多 已经 到 账 了 二十四个 小时 的   通过 其他 方式 购买 的 这个 吧   套餐 上 找 我 的 恩 对
什么 您好 请 说   您 套餐 是 三十 八块钱 套餐 除了 这 套餐 以外 有 一个 是 宽带 的 业务 包   宽带 是 吗 我 帮 您 看 一下 宽带 的话 您 这边 享受 的 是 有 一年 一年 收费 一年 后 免费 的 活动 一个月 四十一   您 对 是 今年 的话 还是 免费 期 吗 然后 明年 开始 才 收费 啊
好 您好 请 讲   嗯 嗯 可以 稍 等   呃 您 的 月租 目前 就是 十块钱 每个 月 保底 消费 十块 的 那个 叫 呃 神州行 畅听卡 额外 收 您 的 费用 啊 是 您 当时 有 两块 来电 提醒 还有 六块钱 彩铃 三块 钱 彩印 这三项   对
嗯 嗯 您好 请问 什么 可以 帮助 您 哎 你好 嗯 请 说   飞享 套餐 三 十八块   就 这个 套餐 其他 没 开 别的 啦   五百 兆 分钟 数
嗯 嗯 您好 请 讲   呃 他 现在 是 要是 有 收费 但是 它 有 做 活动 给 您 活动期 就 说 现在 只收 您 十块钱   嗯 还 没有 到期 要 到 二零一 八年 三月 一号 到期 到 二 月底   嗯 嗯 活动 期间 不能取消 啊 您 要 我们 只能 帮 您 预约 下 活动 到期 自动 取消
