您好请问需要办理新装宽带吗嗯是 噢好的那麻烦您告诉我一下您安装的地址在哪里我帮您查查一下地址是在那个呃将军大的 
您好请讲 我帮您登记到时候会有人给您回复电话您是本机号的宽带还是他机的 
标准本机新装宽带吗 你是说其他号码吗 
您好请问新装宽带是吗 那您是想您这号码套餐刚刚有送地址告诉我帮您办 
您好请讲 噢我帮您转到宽带专家会有专人帮您申请然后介绍资费好吗 
你好有什么可以帮您 要新牵一条移动的宽带是吗 
您好请说喂你好呃 免费是不是现在可以免费版的呃申请宽带的话那我这边给您转接宽带客服咨询一下具体资费情况您电话不要挂好吗恩好请您稍等 
您好请说 诶您好您说嗯 
嗯嗯没有您好您说请讲 宽带取消吗我查一下您稍等一下那这样子的宽带如果不要的话得带您身份证到移动营业厅的话取消一下 
您好请问是本机号码新装宽带是吗 呃稍等一下 
早上好请讲您好请说 您好请说 
您好请讲 是您这个号码要再办一个三明地区的宽带不是不是这个 
没您好请讲 噢马上帮您转宽带客服哈您不要挂电话 
您好请说 移动宽带那这边的话要为您转接到我们的宽带客服然后这边有工作人员可以帮您处理我帮您转接请不要挂电话好吗好好请不要挂电话我马上为您转接好吧知道吗 
您好很高兴为您服务 宽带要取消是吧哎呃这面活动绑定的时候本人带身份证到营业厅取消可是您这个宽带有活动绑定还没到期啊 
您好请讲你好我 您是现在您家里想需要装调家庭宽带是吧 
早上好请说 噢刚才到这个月的月底面是下个月开始不想要是吧 
您好请说 您想本机安装安装宽带是吧 
您好请讲 迁移 
嗯嗯您好有需要新装宽带吗 好的您跟我说下呃 
您好很高兴为您服务 您说宽带移机是吗 
早上好 宽带移机是吗 
您好请说 您宽带要移机是吗您本机号码办理的移动宽带吗 
您好请问需要新装宽带什么噢对是呃本机办啊嗯对行那您这个地址告诉我帮您看一下每次呀 对呀你说噢那泉州号码办啊您这个是莆田的号码那只能充值多少钱啊 
嗯您好很高兴您服务 呃要新装宽带是吗对对是恩好那您不要挂机我帮您转接宽带专席这边请稍等一下啊 
大学 不好意思先生我这边取消不了不好意思 
你好啊你好 噢宽带移机噢 
您好请问本机新装宽带吗 宽带移机好的那我先麻烦您说一下新的地址我登记一下 
您好请说你好 宽带移机是本机号码办的宽带移机吗 
您好 我看一下本机申请的是吗 
您好很高兴为您服务 嗯你这部手机他当时叫我办的那个 
不客气您好请讲取消你好 宽带要移机的吗 
您好请问是本机新装宽带吗 噢有它最低的话是每个月七十九的套餐 
您好请问新装宽带吗 呃对那您安装的地址提供一下 
嗯您好很高兴您服务您好 哎您好请讲 
您好请说 呃是本机的宽带要移机是吧 
您好请问需要办理新装宽带吗 买一年送一年这个活动已经结束没有办这个活动我们现在是办套餐送宽带的但最低的是有一个七十九套餐七十九块一个月有两百分钟本地拨打国内电话然后有一g的流量五百兆国内五百兆省内总共是一个g还有包含五十兆的宽带跟互联网电视这样子 
拜拜 服务请问是本机号码新装宽带是吗 
您好您需要新装宽带吗 呃地址是哪里 
您好您是要新装宽带吗 您好 
二百条 恩你好 
你好喂你好 噢宽带取消只能在营业厅办理人工台是办理不了的 
您好请说吧你好帮我那个这个手机的那个宽带给我取消掉了不好意思我们这个电话中的话取消不了宽带而且您这号码有绑定宽带合约还没到期您可以等宽带活动到期后再去营业厅让他们给您取消宽带 我看一下这个是到明年吧明年的十月一号两年啊对 
嗯哼您好请讲 呃什么没啦机顶盒是吗 
您好很高兴您服务 嗯您是说您这张卡当中所申请的宽带要移机是吗 
您好请讲 要移机是吗好的那这边的话不要挂机我帮您转接到专家专家这边帮您联系一下您稍等 
您好请说 什么是办理那个宽带啊办理关就是登记宽带是吧 
你好请问是要宽带移机吗 噢好的那我帮您登记一下新地址是哪里呢 
为您服务 您好很高兴为您服务诶我 
再见你好请讲 可以的那我这边给您转宽带专席登记不要挂电话好吗 
您好请问需要新装移动宽带吗 好的没有问题您这边的话要移机的新的地址在哪里我来帮您做申请 
可以呀那移机是吧 那您不要挂机我这边帮您转接咨询一下直接帮您登记好吗 
您好请问是要办宽带移机是吗 之前我这个月就只有流量这边是没有装电视的只办了一个宽带那您现在的话需要办电视电视的话要去营业厅进行申请办理 
工号请问是办宽带移机吗 哎您要移机新的地址是哪里我看下有没有线路啊 
你好你好您好 呃您要新装宽带是吧二 
您好请讲 真的宽带清零 
您好本机要新装宽带吗 呃有啊我们如果五十兆包年是七百二十块噢五十兆是八百四十块一年二百四十块呃我是建议您办套餐会比较合算您这种是二十八的吗只要涉及到我们七十九套餐就会收您一条五十兆的宽带 
很高兴为您服务您好 需要新装宽带是吗啊对 
你好本机新装宽带吗 噢两百多没有检查您看一下您要安装的地址在哪里我帮您查一下其他端口地址在哪里 
您好请讲呵呵 喂你好 
您好很高兴为您服务 对嗯您好什么可以感谢您说 
您好请讲 我我我装的 
您好请问本机要办理宽带移机吗 移机的地址新的地址知道在哪里吗 
您好请说 你是说你要保留宽带宽带的那个地址移一个是吗 
请问是本机号码新装宽带是吗 给您安装宽带的地址给您装哪里呢 
您好请讲 诶你好 
您好您需要什么宽带吗 噢好就本机的噢 
您好请讲 本机要办移动宽带是吗 
您好请说 诶您好 
您好请说 帮您查一下请稍等 
您好很高兴为您服务 呃要办宽带移机是吗对对对嗯可以您这边是本机号码绑定非常吗还是对嗯本机号码呃本机号码我后台查了一下您现在是在尽管声音服务在那边是不是就的 
哎请讲 诶您好请问什么可以帮到您我说呃 
您好请讲 嗯嗯 
您好请说 请稍等移到什么地方呢您把新的地址报给我一下 
嗯很高兴服务没有我是想这边移机过来我说我打电话手机停电过来嗯他们过来好我马上帮您查一下恩没看到有申请移机啊您是直接联系他个人吗什么所以我一个人他这个他也不九呃因为现在过来还差明白好那我这边重新帮您申请请稍等嗯嗯 
您好很高兴为您服务 可能是宽带已经装了然后机顶盒还没装是吗 
再联系啊 诶你好 
你好请说 呃对 
您好请说 您要办宽带移机是吗 
很高兴为您服务您好 请您稍等新地址已经都确定好了吗 
您好请讲 呃您这个套餐目前没有送宽带您要送宽带可以改比如说七十九或者九十九那些套餐那个套餐会有送宽带我这个是多少的套餐噢现在目前是八十八的它没有送啊 
您好请说 就本机号码想安装我们的移动宽带对吗 
您好有什么可以帮您 嗯嗯对 
您好请讲 喂诶您好诶您好先生请讲有什么可以帮您的吗你好 
好请问是本机新装宽带吗 噢宽带移机是吗 
幺五零您好请说 那您别挂机我帮您转到宽带新装的客服 
中午好很高兴为您服务 噢宽带要退订那先生是这样子宽带这边的话您不需要持本人身份证然后去当地营业厅这边才能取消啊 
你好请问什么可以帮您 你说要用本机号码申请一条宽带业务在厦门地区是吗 
您好很高兴为您服务哎你好你这是是怎么样 呃对对对我帮您转接宽带专席登记一下请稍等哎 
您是要办理我们这边的那个宽带啊 那您现在不要挂机我帮您转接到那个宽带专家为您查询受理一下哈 
您好请讲 你能不能安排能帮我线迁一下对按申请一次好那不要挂机我们要转宽带客服这边帮您办理 
比较记录下本机号码申请宽带移机吗 改新的地区 
您好请说 宽带要移机是吧 
您好很高兴为您服务 诶您好 
噢您好请讲 嗯 
您好什么可以帮您 宽带移地方是吗 
您好请讲 宽带移机啊稍等一下新的地址在哪里我帮您报上去处理 
嗯请讲 宽带怎么了 
哎唉呀您好请讲 是本机的是啊 
行请问是宽带移机吗 这边显示原来地址在那个嗯同安区翔桥后沟村的翔桥路林立一百八十号这里是吧 
很高兴为您服务你好 嗯 
您好请讲 好您稍等有没有师傅跟您联系的呢现在 
您好请说 宽带业务然后现在什么问题呢 
再见 您好请讲 
您好请讲 嗯六二 
您好请问您是办理宽带移机吗 噢那移机新地址哪里报一下 
好请讲 噢好宽带故障吗 
您好高兴您服务您好嗯 嗯宽带什么问题先生 
哎对您好请说 噢您是说您家里的宽带不能用了是吗 
但是您好您是要新装宽带吗 嗯您现在每个月套餐八十八块钱可以考虑下个月改一个九十九的会送一条一百兆宽带 
你好你好请讲 呃本机办理的宽带移机是吗 
您好我本机要新装宽带吗 呃安装宽带地址在哪里我给您查一下 
您好请说您好喂你好诶你好 很抱歉电话声音断断续续的您说预约宽带怎么了 
您好请讲诶你们刚 呃账号是先本机吗 
呃您好请讲 呃您是要办理宽带是吗是是是是嗯那您不要挂机我帮您转接我们的新装宽带专席您更好的咨询一下 
您好请讲 嗯宽带需要申请多少兆的啊您这边本机要昨天三十八块 
您好请问什么可以帮到您 宽带移机的好的宽带移机是吧那您稍等不要挂机我帮您转接祝您 
您好请问新装宽带是吗 我这边就是专门办宽带业务的如果您想办的话像您这个号码你可以办一个一个月改成七十九套餐它有送两百分钟本地打国内通话还有一千兆的流量在福建省都能用还有一条五十兆光纤的速度 
您好请讲 嗯请讲 
哎您好什么可以帮您 是您本机办理的宽带还是其他号码 
什么你好请问是本机要新装宽带吗 宽带套餐的话我看一下您现在是十八元的手机套餐可以考虑换成七十九元的手机套餐 
您好您说 需要新装吗 
您好请说 嗯宽带什么问题呢 
您好请问是本机要新装宽带吗 是没错 
高兴为您服务 有什么可以帮您的 
你好请讲 宽带人工台无法取消需要带身份证营业厅柜台才可以关的 
请问您想要新申请安装宽带的地方是在哪里呢 哪里的二百四十二 
早上好 充到营业厅我们直接帮您登记一下您告诉我一g的新的地址要移到什么地址过去地址告诉我一下 
您好 您是要新装宽带是吗 
好讲 宽带如果是不用完二去营业厅那边取消 
噢请讲 你好 
您好请问本机新装宽带吗 稍等一下哦嗯先生这边要移机对吧换一个位置是吗 
您好请说 嗯嗯然后现在做什么 
您好请问新装宽带是吗 噢还是岗区镇噢 
您好请说 噢要装修是吧那您是在那个会儿是不是 
您好请讲你好可以听到吗 哎你好嗯 
中午好请说 是需要办宽带是吗 
您好请问新装宽带吗 您好您要在哪里我们帮您帮您申请啊 
您好请讲其他款 宽带您这个九十九套餐我们这边人工台取消不了您如果不用的话这个要到营业厅把这个宽带的就是套餐取消掉反正其他的呃 
您好喂您好请讲 嗯那您现在不用挂电话马上帮您转我们宽带专线那边给您登记办理移机一下噢请稍等 
您好请说 你好 
查询你好请讲 呃您说本机号码要申请宽带是吗 
你好什么可以帮您 我这边申请的宽带是吗 
您好请说您好 唉 
您好请说 诶您说 
啊对 就是 
您好很高兴为您服务 是本机要办理是吗哎对的恩好那您不要挂机我帮您转接到宽带就是迁移的专门工作人员帮您核实处理您稍等一下 
你好 装宽带我帮您看一下 
好 
您好请讲 宽带移机是吧 
您好请讲 您好请讲 
您好请讲 有什么可以帮助到您 
好的您好请问新装宽带是吗 移动 
您好请讲 呃本机号装移动宽带是吧 
你好您好很很高兴为您服务 你说这个来电号码办的宽带是吧 
您好很高兴服务 
您好很高兴为您服务唉 行宽带解绑 
您好高兴为您服务 好的您稍等我看一下 
您好很高兴为您服务 噢就是安装时间要改一下是吗 
您好很高兴为您服务 噢那小姐你把这边的门牌地址报一下我帮您查一下能不能装移动这边的 
高兴为您服务 嗯嗯 
您好很高兴为您服务 呃这个要带好身份证和宽带设备去所在区的营业厅 
您好很高兴为您服务 办理了为期 
您好兴您服务 已经话就是要去营业厅办理你那个手机的一个密码知道吗噢地址报一下好吧我帮您 
为您服务您好 那报一下您家里宽就想要装宽带这个地址嘛我给您查询能不能装好了 
您好很高兴为您服务 承诺消费送宽带是吧 
嗯要办移机是吗 您说的是高清节目包报停的是吗 
您好很高兴为您服务 过来行好的为了更好解决问题为您转接宽带专席有专人为您请稍等 
您好很高兴为您服务 我 
您好很高兴为您服务 然后再说 
兴为您服务 呃家庭用的宽带那你把地址报一下我帮您查一下有没有线路能不能装小姐 
您好很高兴为您服务 噢好呃是这个手机号码之前办的移动宽带和地址呢 
您好很高兴为您服务 稍等一下那个宽带地址先报一下 
您好很高兴为您服务 唉我不是这个手机吗还是别的手机 
您好很高兴为您服务 就这样 
您好很高兴为您 请问是看您地址有没有资源地址报一下 
您好兴您服务你好唉 四 
是您移动宽带要移机啊这个要去营业厅办的您要移到哪里我先帮您查一下有没有资源 什么路 
