您好 请问 需要 办理 新装 宽带 吗 嗯 是   噢 好 的 那 麻烦 您 告诉 我 一下 您 安装 的 地址 在 哪里 我 帮 您 查查 一下 地址 是 在 那个 呃 将军 大 的
您好 请 讲   我 帮 您 登记 到时候 会 有人 给 您 回复 电话 您 是 本机 号 的 宽带 还是 他机 的
标准 本 机 新装 宽带 吗   你 是 说 其他 号码 吗
您好 请问 新装 宽带 是 吗   那 您 是 想 您 这 号码 套餐 刚刚 有 送 地址 告诉 我 帮 您 办
您好 请 讲   噢 我 帮 您 转到 宽带 专家 会 有 专人 帮 您 申请 然后 介绍 资费 好 吗
你好 有 什么 可以 帮 您   要 新 牵 一条 移动 的 宽带 是 吗
您好 请 说 喂 你好 呃   免费 是不是 现在 可以 免费版 的 呃 申请 宽带 的话 那 我 这边 给 您 转接 宽带 客服 咨询 一下 具体 资费 情况 您 电话 不要 挂 好 吗 恩 好 请 您 稍 等
您好 请 说   诶 您好 您 说 嗯
嗯 嗯 没有 您好 您 说 请 讲   宽带 取消 吗 我查 一下 您 稍等一下 那 这 样子 的 宽带 如果 不要 的话 得 带 您 身份证 到 移动 营业厅 的话 取消 一下
您好 请问 是 本 机号码 新装 宽带 是 吗   呃 稍等一下
早上好 请 讲 您好 请 说   您好 请 说
您好 请 讲   是 您 这个 号码 要 再 办 一个 三明 地区 的 宽带 不是 不是 这个
没 您好 请 讲   噢 马上 帮 您 转 宽带 客服 哈 您 不要 挂 电话
您好 请 说   移动 宽带 那 这边 的话 要 为 您 转接 到 我们 的 宽带 客服 然后 这边 有 工作人员 可以 帮 您 处理 我 帮 您 转接 请 不要 挂 电话 好 吗 好好 请 不要 挂 电话 我 马上 为 您 转接 好 吧 知道 吗
您好 很 高兴 为您服务   宽带 要 取消 是 吧 哎 呃 这面 活动 绑定 的 时候 本人 带 身份证 到 营业厅 取消 可是 您 这个 宽带 有 活动 绑定 还 没 到期 啊
您好 请 讲 你好 我   您 是 现在 您 家里 想 需要 装调 家庭 宽带 是 吧
早上好 请 说   噢 刚才 到 这个 月 的 月 底面 是 下个月 开始 不想 要是 吧
您好 请 说   您 想 本机 安装 安装 宽带 是 吧
您好 请 讲   迁移
嗯 嗯 您好 有 需要 新装 宽带 吗   好 的 您 跟 我 说 下 呃
您好 很 高兴 为您服务   您 说 宽带 移机 是 吗
早上好   宽带 移机 是 吗
您好 请 说   您 宽带 要 移机 是 吗 您 本 机号码 办理 的 移动 宽带 吗
您好 请问 需要 新装 宽带 什么 噢 对 是 呃 本 机办 啊 嗯 对行 那 您 这个 地址 告诉 我 帮 您 看 一下 每次 呀   对 呀 你 说 噢 那 泉州 号码 办 啊 您 这个 是 莆田 的 号码 那 只能 充值 多少 钱 啊
嗯 您好 很 高兴 您 服务   呃 要 新装 宽带 是 吗 对 对 是 恩 好 那 您 不要 挂机 我 帮 您 转接 宽带 专席 这边 请 稍等一下 啊
大学   不好意思 先生 我 这边 取消 不了 不好意思
你好 啊 你好   噢 宽带 移机 噢
您好 请问 本 机 新装 宽带 吗   宽带 移机 好 的 那 我 先 麻烦 您 说 一下 新 的 地址 我 登记 一下
您好 请 说 你好   宽带 移机 是 本 机号码 办 的 宽带 移机 吗
您好   我 看 一下 本 机 申请 的 是 吗
您好 很 高兴 为您服务   嗯 你 这 部手机 他 当时 叫 我 办 的 那个
不 客气 您好 请 讲 取消 你好   宽带 要 移机 的 吗
您好 请问 是 本机 新装 宽带 吗   噢 有 它 最低 的话 是 每个 月 七十九 的 套餐
您好 请问 新装 宽带 吗   呃 对 那 您 安装 的 地址 提供 一下
嗯 您好 很 高兴 您 服务 您好   哎 您好 请 讲
您好 请 说   呃 是 本机 的 宽带 要 移机 是 吧
您好 请问 需要 办理 新装 宽带 吗   买 一年 送 一年 这个 活动 已经 结束 没有 办 这个 活动 我们 现在 是 办 套餐 送 宽带 的 但 最低 的 是 有 一个 七十九 套餐 七十九 块 一个月 有 两百 分钟 本地 拨打 国内 电话 然后 有 一 g 的 流量 五百 兆 国内 五百 兆 省内 总共 是 一个 g 还有 包含 五十 兆 的 宽带 跟 互联网 电视 这 样子
拜拜   服务 请问 是 本 机号码 新装 宽带 是 吗
您好 您 需要 新装 宽带 吗   呃 地址 是 哪里
您好 您 是 要 新装 宽带 吗   您好
二百 条   恩 你好
你好 喂 你好   噢 宽带 取消 只能 在 营业厅 办理 人工 台 是 办理 不了 的
您好 请 说 吧 你好 帮 我 那个 这个 手机 的 那个 宽带 给 我 取消 掉 了 不好意思 我们 这个 电话 中 的话 取消 不了 宽带 而且 您 这 号码 有 绑定 宽带 合约 还 没 到期 您 可以 等 宽带 活动 到期 后 再 去 营业厅 让 他们 给 您 取消 宽带   我 看 一下 这个 是 到 明年 吧 明年 的 十月 一号 两年 啊 对
嗯 哼 您好 请 讲   呃 什么 没 啦 机顶盒 是 吗
您好 很 高兴 您 服务   嗯 您 是 说 您 这 张卡 当中 所 申请 的 宽带 要 移机 是 吗
您好 请 讲   要 移机 是 吗 好 的 那 这边 的话 不要 挂机 我 帮 您 转接 到 专家 专家 这边 帮 您 联系 一下 您 稍 等
您好 请 说   什么 是 办理 那个 宽带 啊 办理 关 就是 登记 宽带 是 吧
你好 请问 是 要 宽带 移机 吗   噢 好 的 那 我 帮 您 登记 一下 新 地址 是 哪里 呢
为您服务   您好 很 高兴 为您服务 诶 我
再见 你好 请 讲   可以 的 那 我 这边 给 您 转 宽带 专席 登记 不要 挂 电话 好 吗
您好 请问 需要 新装 移动 宽带 吗   好 的 没有 问题 您 这边 的话 要 移机 的 新 的 地址 在 哪里 我来 帮 您 做 申请
可以 呀 那 移机 是 吧   那 您 不要 挂机 我 这边 帮 您 转接 咨询 一下 直接 帮 您 登记 好 吗
您好 请问 是 要 办 宽带 移机 是 吗   之前 我 这个 月 就 只有 流量 这边 是 没有 装 电视 的 只 办 了 一个 宽带 那 您 现在 的话 需要 办 电视 电视 的话 要 去 营业厅 进行 申请 办理
工号 请问 是 办 宽带 移机 吗   哎 您 要 移机 新 的 地址 是 哪里 我 看 下 有没有 线路 啊
你好 你好 您好   呃 您 要 新装 宽带 是 吧 二
您好 请 讲   真的 宽带 清零
您好 本 机要 新装 宽带 吗   呃 有 啊 我们 如果 五十 兆 包年 是 七百 二十块 噢 五十 兆 是 八百 四十块 一年 二百四十 块 呃 我 是 建议您 办 套餐 会 比较 合算 您 这种 是 二十八 的 吗 只要 涉及 到 我们 七十九 套餐 就 会 收 您 一条 五十 兆 的 宽带
很 高兴 为您服务 您好   需要 新装 宽带 是 吗 啊 对
你好 本 机 新装 宽带 吗   噢 两百多 没有 检查 您 看 一下 您 要 安装 的 地址 在 哪里 我 帮 您 查 一下 其他 端口地址 在 哪里
您好 请 讲 呵呵   喂 你好
您好 很 高兴 为您服务   对 嗯 您好 什么 可以 感谢您 说
您好 请 讲   我 我 我 装 的
您好 请问 本 机要 办理 宽带 移机 吗   移机 的 地址 新 的 地址 知道 在 哪里 吗
您好 请 说   你 是 说 你 要 保留 宽带 宽带 的 那个 地址 移 一个 是 吗
请问 是 本 机号码 新装 宽带 是 吗   给 您 安装 宽带 的 地址 给 您 装 哪里 呢
您好 请 讲   诶 你好
您好 您 需要 什么 宽带 吗   噢 好 就 本机 的 噢
您好 请 讲   本 机要 办 移动 宽带 是 吗
您好 请 说   诶 您好
您好 请 说   帮 您 查 一下 请稍等
您好 很 高兴 为您服务   呃 要 办 宽带 移机 是 吗 对 对 对 嗯 可以 您 这边 是 本 机号码 绑定 非常 吗 还是 对 嗯 本 机号码 呃 本 机号码 我 后台 查 了 一下 您 现在 是 在 尽管 声音 服务 在 那边 是不是 就 的
哎 请 讲   诶 您好 请问 什么 可以 帮到 您 我 说 呃
您好 请 讲   嗯 嗯
您好 请 说   请稍等 移 到 什么 地方 呢 您 把 新 的 地址 报给 我 一下
嗯 很 高兴 服务 没有 我 是 想 这边 移机 过来 我 说 我 打电话 手机 停电 过来 嗯 他们 过来 好 我 马上 帮 您 查 一下 恩 没 看到 有 申请 移机 啊 您 是 直接 联系 他 个人 吗 什么 所以 我 一个 人 他 这个 他 也 不 九 呃 因为 现在 过来 还 差 明白 好 那 我 这边 重新 帮 您 申请 请稍等 嗯 嗯
您好 很 高兴 为您服务   可能 是 宽带 已经 装 了 然后 机顶盒 还 没装 是 吗
再 联系 啊   诶 你好
你好 请 说   呃 对
您好 请 说   您 要 办 宽带 移机 是 吗
很 高兴 为您服务 您好   请 您 稍 等 新 地址 已经 都 确定 好了吗
您好 请 讲   呃 您 这个 套餐 目前 没有 送 宽带 您 要 送 宽带 可以 改 比如说 七十九 或者 九十九 那些 套餐 那个 套餐 会 有 送 宽带 我 这个 是 多少 的 套餐 噢 现在 目前 是 八十八 的 它 没有 送 啊
您好 请 说   就 本 机号码 想 安装 我们 的 移动 宽带 对 吗
您好 有 什么 可以 帮 您   嗯 嗯 对
您好 请 讲   喂 诶 您好 诶 您好 先生 请 讲 有 什么 可以 帮 您 的 吗 你好
好 请问 是 本机 新装 宽带 吗   噢 宽带 移机 是 吗
幺 五零 您好 请 说   那 您 别 挂机 我 帮 您 转到 宽带 新装 的 客服
中午 好 很 高兴 为您服务   噢 宽带 要 退订 那 先生 是 这 样子 宽带 这边 的话 您 不 需要 持 本人 身份证 然后 去 当地 营业厅 这边 才能 取消 啊
你好 请问 什么 可以 帮 您   你 说 要 用 本 机号码 申请 一条 宽带 业务 在 厦门 地区 是 吗
您好 很 高兴 为您服务 哎 你好 你 这 是 是 怎么样   呃 对 对 对 我 帮 您 转接 宽带 专席 登记 一下 请稍等 哎
您 是 要 办理 我们 这边 的 那个 宽带 啊   那 您 现在 不要 挂机 我 帮 您 转接 到 那个 宽带 专家 为 您 查询 受理 一下 哈
您好 请 讲   你 能 不能 安排 能帮 我线 迁 一下 对 按 申请 一次 好 那 不要 挂机 我们 要 转 宽带 客服 这边 帮 您 办理
比较 记录 下本 机号码 申请 宽带 移机 吗   改新 的 地区
您好 请 说   宽带 要 移机 是 吧
您好 很 高兴 为您服务   诶 您好
噢 您好 请 讲   嗯
您好 什么 可以 帮 您   宽带 移 地方 是 吗
您好 请 讲   宽带 移机 啊 稍等一下 新 的 地址 在 哪里 我 帮 您 报上去 处理
嗯 请 讲   宽带 怎么 了
哎 唉呀 您好 请 讲   是 本机 的 是 啊
行 请问 是 宽带 移机 吗   这边 显示 原来 地址 在 那个 嗯 同安区 翔桥 后 沟村 的 翔 桥路 林立 一百八十 号 这里 是 吧
很 高兴 为您服务 你好   嗯
您好 请 讲   好 您 稍 等 有没有 师傅 跟 您 联系 的 呢 现在
您好 请 说   宽带 业务 然后 现在 什么 问题 呢
再见   您好 请 讲
您好 请 讲   嗯 六二
您好 请问 您 是 办理 宽带 移机 吗   噢 那 移机 新 地址 哪里 报 一下
好 请 讲   噢 好 宽带 故障 吗
您好 高兴 您 服务 您好 嗯   嗯 宽带 什么 问题 先生
哎 对 您好 请 说   噢 您 是 说 您 家里 的 宽带 不能 用 了 是 吗
但是 您好 您 是 要 新装 宽带 吗   嗯 您 现在 每个 月 套餐 八十 八块钱 可以 考虑 下个月 改 一个 九十九 的 会 送 一条 一 百兆 宽带
你好 你好 请 讲   呃 本机 办理 的 宽带 移机 是 吗
您好 我本 机要 新装 宽带 吗   呃 安装 宽带 地址 在 哪里 我 给 您 查 一下
您好 请 说 您好 喂 你好 诶 你好   很 抱歉 电话 声音 断断续续 的 您 说 预约 宽带 怎么 了
您好 请 讲 诶 你们 刚   呃 账号 是 先本机 吗
呃 您好 请 讲   呃 您 是 要 办理 宽带 是 吗 是 是 是 是 嗯 那 您 不要 挂机 我 帮 您 转接 我们 的 新装 宽带 专席 您 更好 的 咨询 一下
您好 请 讲   嗯 宽带 需要 申请 多少 兆 的 啊 您 这边 本 机要 昨天 三 十八块
