一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
您好请讲 你好 什么服务套餐 您是不是有购买手机它就是一个什么呃如果说你有子换手机的话它这边是有一个什么手续费四百元 
您好请讲 省内流量是吧对返四百八十八元套餐五g流量现在办理通话 对没错 好的现在更改是下个月生效的 
诶您好呃您好我想咨询一下就说你们到香港是不是有一种业务是流量加那个分钟的那种套餐的包有啊那您去香港几天呢 两天那边的话是这样的如果您需要加语音的话五天是一百二十八块钱 一百二十八块就等于说在香港那边噢使用流量那只密码不限制然后另外的话它有送给您三十分钟打电话三十分钟是接和打都算的 噢 
您好很高兴为您服务 您好有什么需要帮助的嗯 vip是还是对我看一下呃帮您查看了一个什么营销是海车的一个集团网为这个问题用的话是跟您的朋友家人同一天付打有三百分钟通话优惠然后这个微信看一下它是不收费 对不收费的 
你好有什么可以帮您诶你好 流量包现在是您听一下公司有做一个活动是这样的里面六十块钱有六g六g在办里面都可以使用 二对 那您使用的话就像您比如说用您套餐三十八这种的是您每个月三十八的就是一直用那个六十元六个g您用完之后只要有活动你还可以开呀其实开活动的流量会更划算 
呃流量包在香港不能用在香港是要另外计费的您是要去香港是吗 呃两两天就不用开了您到那边有用它是按按照三块钱一天是封顶三十块的然后在当地使用流量不限量 呃对没有因为你开的流量包是我们那个大陆这边的 就说让您过去流量就直接用就好了 
嗯哼你好请说 嗯你好 呃您是这个号码要办宽带吗还是别的号码 再办一条是吧那我给您转宽带专席给您详细介绍您不要挂电话好吧 
流量套餐比较优惠有个六十块钱六个g的流量它这个一百八十天之内都可以使用 你如果说自动取消呢只有加油包啦加油包只有一种十块钱一百兆下个月一号会自动取消 其他就正常的包月套餐三十元一g无线两g然后七十元两个g都可以办对 对 
诶您好很高兴为您服务请说 噢就是说先生您好下个月他帮您改为那个新飞享三十八了就流量增加了输入也增加了就是帮您换一种升级版的新飞享三十八了价格不变就帮您全部都已经升级到了 一次三十八的呀嗯 对先十九元不是到期了嘛下个月它不是要恢复到三十八元吗那就帮您免费升级到最新版本了 
您好请讲 它是国内三百分钟本地打国内九百分钟 对对是的那还什么原因吗流量的话它是国内流量五百兆省内流量四千六百二十兆 嗯您是说我们之前三十八是一百分钟五百兆的流量的 
很高兴您服务您好 呃他每个月会送给您四百分钟打电话三个g流量对 三g啊 它是有五百兆是国内的二点五g是省内的总共是三个g 
您好请说 香港套餐没有车去香港漫游让你自己过来啊香港漫游的这些好您先生 两三天噢我现在把国际权限先打开了那女士国际打算上网吗还是 流量有它刚好三天的那个是呃六十八块钱三个月是六十八诶对的 
您好请说喂你好 现在有三百分钟 您现在人在哪儿呢在莆田吗 在涵江 
您好请讲 呃您现在这个五十八套餐里面一百分钟五百兆流量都是全国通用的 五五百兆流量 不需要 
您好请讲有 不用开两城一家因为现在已经取消全国漫游费了 对现在您接听电话都是免费的拨打电话每分钟都是两毛钱 对 
