一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   请问 好好 静安区 金 山路
您好 请 讲   你好
您好 请 讲   省内 流量 是 吧 对 返 四百八十 八元 套餐 五 g 流量 现在 办理 通话
诶 您好 呃 您好 我 想 咨询 一下 就 说 你们 到 香港 是不是 有 一种 业务 是 流量 加 那个 分钟 的 那种 套餐 的 包有 啊 那 您 去 香港 几天 呢   两天 那边 的话 是 这样 的 如果 您 需要 加 语音 的话 五天 是 一百二十八 块钱
您好 很 高兴 为您服务   您好 有 什么 需要 帮助 的 嗯
你好 有 什么 可以 帮 您 诶 你好   流量 包 现在 是 您 听 一下 公司 有 做 一个 活动 是 这样 的 里面 六十块 钱 有 六 g 六 g 在 办 里面 都 可以 使用
呃 流量 包 在 香港 不能 用 在 香港 是 要 另外 计费 的 您 是 要 去 香港 是 吗   呃 两 两天 就 不用 开 了 您 到 那边 有用 它 是 按 按照 三块 钱 一天 是 封顶 三十块 的 然后 在 当地 使用 流量 不 限量
嗯 哼 你好 请 说   嗯 你好
流量 套餐 比较 优惠 有个 六十块 钱 六个 g 的 流量 它 这个 一百八十 天 之内 都 可以 使用   你 如果说 自动 取消 呢 只有 加油 包啦 加油 包 只有 一种 十块钱 一 百兆 下个月 一号 会 自动 取消
诶 您好 很 高兴 为您服务 请 说   噢 就是说 先生 您好 下个月 他 帮 您 改为 那个 新飞 享 三十八 了 就 流量 增加 了 输入 也 增加 了 就是 帮 您 换 一种 升级版 的 新飞 享 三十八 了 价格 不变 就 帮 您 全部 都 已经 升级 到 了
您好 请 讲   它 是 国内 三百 分钟 本地 打 国内 九百 分钟
很 高兴 您 服务 您好   呃 他 每个 月 会 送给 您 四百 分钟 打电话 三个 g 流量 对
您好 请 说   香港 套餐 没有 车去 香港 漫游 让 你 自己 过来 啊 香港 漫游 的 这些 好 您 先生
您好 请 说 喂 你好   现在 有 三百 分钟
您好 请 讲   呃 您 现在 这个 五十八 套餐 里面 一百 分钟 五百 兆 流量 都 是 全国 通用 的
您好 请 讲 有   不用 开 两城 一家 因为 现在 已经 取消 全国 漫游费 了
啊 你好 请 讲   套餐 自带 只有 六百 兆 流量
早上好 很 高兴 为您服务   流量 包 那 您 这边 的话 今天 开 的话 您 可以 按天 折算 开 原价 是 三十元 那 今天 开 的话 是 赠送 您 大概 六百多 兆 就 收 您 十几块 钱 也 是 大概 要 多少 多少 兆 流量 的 是 这个 月 用 还是 说 接下来 每个 月 都 要
早上好   有 什么 可以 帮 您
很 高兴 为您服务   恩 你好
您好 请 讲   语音 通话 跟 国内 主叫 通话 没 区别 一样 的 呀 怎么 了 吗
您好 您 请 讲   无限 流量 它 只有 校园 服务区 才 有 了 向阳 您 校园 套餐 有个 二十块 钱 的
下午 好 请 讲   恩
你好 请 讲   流量 优惠 的 呃 是 有 有 一个 是 流量 做 活动 的 有 六十元 有 六个 g 的 流量 您 这 已经 开过 了
您好   嗯 二十八 的 一个 飞享 套餐 每月 一百 分钟 三百 兆 流量 然后 下个月 转 了 一个 三十八 的 新飞 享 套餐
你好   请 稍等一下 这个 月 使用 的 家园 卡 本身 这个 家园 卡 套餐 里头 没有 流量 那 下个月 开始 我 看到 您 改为 三十 八块钱 的 套餐 了 下个月 开始 呢 您 每个 月 就 有 一点 五个 g 的 流量 了
哎 您好 请 讲   嗯 是 啊 有 这个 套餐 的
