一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   请问 好好 静安区 金 山路   睡觉 了 对   过 那个 没有
您好 请 讲   你好   什么 服务 套餐   您 是不是 有 购买 手机 它 就是 一个 什么 呃 如果说 你 有子 换 手机 的话 它 这边 是 有 一个 什么 手续费 四百元
您好 请 讲   省内 流量 是 吧 对 返 四百八十 八元 套餐 五 g 流量 现在 办理 通话   对 没错   好 的 现在 更改 是 下个月 生效 的
诶 您好 呃 您好 我 想 咨询 一下 就 说 你们 到 香港 是不是 有 一种 业务 是 流量 加 那个 分钟 的 那种 套餐 的 包有 啊 那 您 去 香港 几天 呢   两天 那边 的话 是 这样 的 如果 您 需要 加 语音 的话 五天 是 一百二十八 块钱   一百二十八 块 就 等于 说 在 香港 那边 噢 使用 流量 那 只 密码 不 限制 然后 另外 的话 它 有 送给 您 三十分钟 打电话 三十分钟 是 接 和 打 都 算 的   噢
您好 很 高兴 为您服务   您好 有 什么 需要 帮助 的 嗯   vip 是 还是 对 我 看 一下 呃 帮 您 查看 了 一个 什么 营销 是 海车 的 一个 集团 网为 这个 问题 用 的话 是 跟 您 的 朋友家 人 同一天 付打 有 三百 分钟 通话 优惠 然后 这个 微信 看 一下 它 是 不 收费   对 不 收费 的
你好 有 什么 可以 帮 您 诶 你好   流量 包 现在 是 您 听 一下 公司 有 做 一个 活动 是 这样 的 里面 六十块 钱 有 六 g 六 g 在 办 里面 都 可以 使用   二对   那 您 使用 的话 就 像 您 比如说 用 您 套餐 三十八 这种 的 是 您 每个 月 三十八 的 就是 一直 用 那个 六十元 六个 g 您 用 完 之后 只要 有 活动 你 还 可以 开 呀 其实 开 活动 的 流量 会 更 划算
呃 流量 包 在 香港 不能 用 在 香港 是 要 另外 计费 的 您 是 要 去 香港 是 吗   呃 两 两天 就 不用 开 了 您 到 那边 有用 它 是 按 按照 三块 钱 一天 是 封顶 三十块 的 然后 在 当地 使用 流量 不 限量   呃 对 没有 因为 你 开 的 流量 包是 我们 那个 大陆 这边 的   就 说 让 您 过去 流量 就 直接 用 就 好 了
嗯 哼 你好 请 说   嗯 你好   呃 您 是 这个 号码 要 办 宽带 吗 还是 别的 号码   再办 一条 是 吧 那 我 给 您 转 宽带 专席 给 您 详细 介绍 您 不要 挂 电话 好 吧
流量 套餐 比较 优惠 有个 六十块 钱 六个 g 的 流量 它 这个 一百八十 天 之内 都 可以 使用   你 如果说 自动 取消 呢 只有 加油 包啦 加油 包 只有 一种 十块钱 一 百兆 下个月 一号 会 自动 取消   其他 就 正常 的 包月 套餐 三十元 一 g 无线 两 g 然后 七十 元 两个 g 都 可以 办对   对
诶 您好 很 高兴 为您服务 请 说   噢 就是说 先生 您好 下个月 他 帮 您 改为 那个 新飞 享 三十八 了 就 流量 增加 了 输入 也 增加 了 就是 帮 您 换 一种 升级版 的 新飞 享 三十八 了 价格 不变 就 帮 您 全部 都 已经 升级 到 了   一次 三十八 的 呀 嗯   对 先 十九元 不是 到期 了 嘛 下个月 它 不是 要 恢复 到 三十八 元 吗 那 就 帮 您 免费 升级 到 最新 版本 了
您好 请 讲   它 是 国内 三百 分钟 本地 打 国内 九百 分钟   对 对 是 的 那 还 什么 原因 吗 流量 的话 它 是 国内 流量 五百 兆 省内 流量 四千 六百 二十 兆   嗯 您 是 说 我们 之前 三十八 是 一百 分钟 五百 兆 的 流量 的
