为您您好很高兴为您服务喂 幺五零五九幺六四九幺六 
有什么可以帮到您 噢那我打错了我我因为两张卡嘛那那没事了 
您好请说 呃幺五零五九六七二零幺零嗯 
高兴服务 稍等本机的 
你好请说 您好请说 
好 哎你好帮我查一下我的手机号是多少 
你好 嗯先生您这个密码已经在今年年初的时候获取走了呀 
您好请讲 这个的话因为是您的隐私我们这里查不到您在您可以下载我们幺零零八六的app登录以后查询查询详单就可以查询您的通话记录 
你好请说 手机服务密码是吗 
行高兴为您服务 呃您好很高兴您服务您好 
您好请讲 噢我帮您重置一下系统把新的密码通过短信发给您账号是您手机号码好吗 
您好请说 五五四嘛这边没有五五四的嗯嗯您这里没有五五四的号码没有吗是的 
您好请讲 本机号码是吧 
您好请讲 我帮您查询一下请稍等 
嗯嗯啊很高兴服务您好 好的请稍等您好帮您查询是您手机号码后面加零幺 
你好 本机的服务密码呀不知道吗 
很高兴为您服务 诶您好 
您好 嗯稍等一下啊您这边如果说服务密码那个就是嗯查询的话是因为我们人工台是没办法看到您属于您的个人隐私您现在人在福建省内吗如果在福建省内可以拨打一个电话可以直接获得您的初始的密码 
您好高兴为您服务 您要提供一下号码我帮您查询归属地 
请您好请讲很高兴为您服务您好很高兴为您服务诶 呃什么密码是卡的密码 
您好你说 噢密码如果忘记了要通过短信去重置啊我把那个重置的方式发给您您手机这边重置一下好吗 
嗯你好很高兴为您服务喂你好 好的您号码说一下 
您好请讲 可以呀时间是二零一五年的二月二十一号 
您好请说 好您记录一下我报给您噢幺五幺六五四诶六零五四五七幺二就好了嘛 
您好诶 呃我们人工台这边这个没办法用身份验证啊 
您好什么帮助您 你说这个号码是泉州号码的时候是本机吗 
您好请讲 服务密码您如果不记得要重新设置一个我把那个设置方式发给您这个您要发短信设置一下或者您现在在省内吗 
您好请讲 您您现在有几张号码是吗 
早上好好的 哎 
七二七七支付宝这边 不好意思 
您好请讲 固定电话的服务密码您是说铁通的吗 
您好请讲 就像这张卡的话是刚刚购买的我们会给您下发这种提醒信息请您修改密码以后才业务啊办业务在用的解决 
您好请说 对 
你好 不好意思密码属于顾客隐私我们系统看不到那您密码如果忘记了可以重新设置啊这张卡当时登记的身份证号码知道吗 
您好什么帮到您 密码是属于您的个人隐私我们这边看不着呀您说密码不知道多少是吗 
您好什么需要帮助 您好请说 
诶您好您麻烦您帮我查一下西湖国际学校的电话 对请稍等转接没有登记 
嗯我您好请讲 这款是全球通幺八八的套餐它有享受全国通话一千二百分钟流量六百兆接听是全国免费的 
您好请讲 手机服务密码是吗 
嗯嗯您好什么可以帮您 你本机号码是幺三六 
您好请讲您好 是一呃是那个神州行的还是说是您这个全球全球通的套餐呐 
你好请讲喂你好你说一下 呃密码忘记了是吧稍等一下噢我看你有没有获取过稍等一下噢您现在人在省内还省外呢就在福州福州噢好那您那个获取一下就好了我稍后把那个获取的方式发给您它会让您找一个电话过去获取然后呃打过去之后它就会把通话挂断挂断之后的话呢它就会把密码发到您的手机上面好谢谢哈嗯没事还有什么需要帮助您呢嗯没有了谢谢呃祝您阖家幸福 
你好请说 您好 
好好您好请讲你好 很抱歉知道属于个人隐私我们无法查询然后如果您提供身份证号码可以帮您验证一下 
您好请讲 嗯宽带密码这个我们查看不到那我给您重新设置一个呃将新的密码发给您可以吗 
