为 您 您好 很 高兴 为您服务 喂   幺 五零 五九 幺 六 四九 幺 六
有 什么 可以 帮到 您   噢 那 我 打错 了 我 我 因为 两张 卡嘛 那 那 没事 了
您好 请 说   呃 幺 五零 五九 六七 二零 幺 零 嗯
高兴 服务   稍 等 本机 的
你好 请 说   您好 请 说
好   哎 你好 帮 我查 一下 我 的 手机号 是 多少
你好   嗯 先生 您 这个 密码 已经 在 今年年初 的 时候 获取 走 了 呀
您好 请 讲   这个 的话 因为 是 您 的 隐私 我们 这里 查不到 您 在 您 可以 下载 我们 幺 零零 八六 的 app 登录 以后 查询 查询 详单 就 可以 查询 您 的 通话记录
你好 请 说   手机 服务 密码 是 吗
行 高兴 为您服务   呃 您好 很 高兴 您 服务 您好
您好 请 讲   噢 我 帮 您 重置 一下 系统 把 新 的 密码 通过 短信 发给您 账号 是 您 手机号码 好 吗
您好 请 说   五 五四 嘛 这边 没有 五 五四 的 嗯 嗯 您 这里 没有 五 五四 的 号码 没有 吗 是 的
您好 请 讲   本 机号码 是 吧
您好 请 讲   我 帮 您 查询 一下 请稍等
嗯 嗯 啊 很 高兴 服务 您好   好 的 请稍等 您好 帮 您 查询 是 您 手机号码 后面 加零 幺
你好   本机 的 服务 密码 呀 不 知道 吗
很 高兴 为您服务   诶 您好
您好   嗯 稍等一下 啊 您 这边 如果说 服务 密码 那个 就是 嗯 查询 的话 是因为 我们 人工 台 是 没 办法 看到 您 属于 您 的 个人隐私 您 现在 人 在 福建省 内 吗 如果 在 福建省 内 可以 拨打 一个 电话 可以 直接 获得 您 的 初始 的 密码
您好 高兴 为您服务   您 要 提供 一下 号码 我 帮 您 查询 归属 地
请 您好 请 讲 很 高兴 为您服务 您好 很 高兴 为您服务 诶   呃 什么 密码 是 卡 的 密码
您好 你 说   噢 密码 如果 忘记 了 要 通过 短信 去 重置 啊 我 把 那个 重置 的 方式 发给您 您 手机 这边 重置 一下 好 吗
嗯 你好 很 高兴 为您服务 喂 你好   好 的 您 号码 说 一下
您好 请 讲   可以 呀 时间 是 二零一 五年 的 二月 二十一 号
您好 请 说   好 您 记录 一下 我报 给 您 噢 幺 五 幺 六 五四 诶 六零 五四 五七 幺 二 就 好 了 嘛
您好 诶   呃 我们 人工 台 这边 这个 没 办法 用 身份验证 啊
您好 什么 帮助 您   你 说 这个 号码 是 泉州 号码 的 时候 是 本机 吗
您好 请 讲   服务 密码 您 如果 不 记得 要 重新 设置 一个 我 把 那个 设置 方式 发给您 这个 您 要 发短信 设置 一下 或者 您 现在 在 省内 吗
您好 请 讲   您 您 现在 有 几张 号码 是 吗
早上 好好 的   哎
七 二七 七 支付宝 这边   不好意思
您好 请 讲   固定 电话 的 服务 密码 您 是 说 铁通 的 吗
您好 请 讲   就 像 这 张卡 的话 是 刚刚 购买 的 我们 会 给 您 下发 这种 提醒 信息 请 您 修改 密码 以后 才 业务 啊 办 业务 在 用 的 解决
您好 请 说   对
你好   不好意思 密码 属于 顾客 隐私 我们 系统 看不到 那 您 密码 如果 忘记 了 可以 重新 设置 啊 这 张卡 当时 登记 的 身份证 号码 知道 吗
您好 什么 帮到 您   密码 是 属于 您 的 个人隐私 我们 这边 看 不 着 呀 您 说 密码 不 知道 多少 是 吗
您好 什么 需要 帮助   您好 请 说
