您好请说你好可以听得到吗嗯您说 这个号码吗 
您好请说您好 哪个号码有送宽带 
早上好 呃先生您这个套餐就是七十九的您是下个月改成三十八的 
就是中国移动的但是是手机号的就推销那些套餐的服务不知道说 座机或者一般都是幺零零八六干嘛就是说你能不能说主要是我的营销了因为我自己以前上过套餐了那有一些新的资费的话我觉得就不要重复营销因为确实倒是上门的时候接到挺多的 
你好为您服务 今天早上比较多用同时间拨打人工台新咨询问题那非常抱歉让您久等 
您好请说 是说您登记的移动宽带但是还没给您装是吧 
您好请讲 有什么可以帮您 
您好请说 噢先生我帮您看一下啊您是说它短信发给您还是说电话还是给您打呢 
您好请说 嗯嗯 
您好很高兴为您服务 都好几天的密码知道吗 
您好很高兴服务 嗯 
您好高兴为您服务 呃我帮您查询一下您稍等一下呃都就是反映的这个移动线路的那个问题他那边现在还没给您处理好吗还是 
你好请说 你好 
什么很高兴您服务您好 嗯嗯 
您好很高兴为您服务 呃另外就呃宽带不能用还是什么问题机你才查询知道了我以为我天天晚你们这个现在要不要不要给我处理的都没出去嗯很抱歉给您带来不便那部手机的号码跟密码会知道吗 
您好很高兴为您服务 噢您是说宽带之前有故障了我们工作人员到到现在都还没有去厦门帮您服务是吧 
您好请说 呃您投诉什么问题我给您查询一下 
您好请讲 请稍等帮您查一下您的反馈记录 
您好请说 嗯嗯好的那我们帮您申请去取消掉您稍等 
嗯挺好请说 嗯稍等一下之前有说是什么原因不能装吗 
你好有什么需要帮助 嗯嗯 
您好很高兴为您服务 好的那您稍等我帮您查询一下 
您好请讲 有什么可以帮您 
您好请讲 那我跟移动宽带啊 
哎您好请说 嗯嗯嗯嗯 
你好 可以那您这边要移到哪里呢 
您好请说 什么问题呀 
很高兴您服务 我这边给您转到我们宽带您是互联网电视现在用不了是不是 
你好 您是说宽带是不是不能用 
啊您好很高兴您服务 比如说宽带是吗这样他没有可以看到给您登记安装的记录您稍等一下我帮您查本机号码是吗 
边嗯嗯您好请讲 好稍等一下我看一下是本机号码办的宽带是吗嗯嗯噢好那您等我一下 
很高兴为您服务您好请讲这是幺零零八六 呃您好请问 
嗯您好请说 啊您好请讲 
嗯您好很高兴为您服务 嗯宽带是吗你说移机是吗 
嗯您好有什么可以帮您 嗯稍等先生我帮您查询 
