您好请说你好可以听得到吗嗯您说 这个号码吗 是这样的先生我帮您看了一下您这个号码没有宽带了如果您想安装宽带我们有个宽带新装部门我可以帮您转接 
您好请说您好 哪个号码有送宽带 什么号码有送宽带给您就您现在这个号码吗 
早上好 呃先生您这个套餐就是七十九的您是下个月改成三十八的 二就是没有人来装然后您下个月改成三十八元的这种套餐了 
就是中国移动的但是是手机号的就推销那些套餐的服务不知道说 座机或者一般都是幺零零八六干嘛就是说你能不能说主要是我的营销了因为我自己以前上过套餐了那有一些新的资费的话我觉得就不要重复营销因为确实倒是上门的时候接到挺多的 来推销那些 
你好为您服务 今天早上比较多用同时间拨打人工台新咨询问题那非常抱歉让您久等 在 
您好请说 是说您登记的移动宽带但是还没给您装是吧 反正没听那你有没有师傅跟你联系过了都没有联系过银行找联系过后面都不联系了 
您好请讲 有什么可以帮您 帮您转接我们宽带专家本机号码是吗二六嗯稍等一下转接中 
您好请说 噢先生我帮您看一下啊您是说它短信发给您还是说电话还是给您打呢 噢那您放心这边我帮您提呃就是修改一下因为他可能就是说有电话提醒这样的我帮您把它关掉就没有了好吗首先跟您道歉一下的啊 
您好请说 嗯嗯 为您联系过是吗具体的本机号码办的申请的是吗好我马上看一下您稍等 
您好很高兴为您服务 都好几天的密码知道吗 密码知不知道 
您好很高兴服务 嗯 对方这个交城区副号是家这边的话没信号的问题啊稍等一下 
您好高兴为您服务 呃我帮您查询一下您稍等一下呃都就是反映的这个移动线路的那个问题他那边现在还没给您处理好吗还是 呃它是说已经是正在处理当中他是说在正在重新申请的改到但是的话可能这个在十月底的时候的话估计然后再去做一个处理可能没有那么快 
你好请说 你好 您现在不要挂机我马上帮您转接我们电视专席咨询一下我们工作人员好吗 
什么很高兴您服务您好 嗯嗯 那您有没有通过积分商城上面去查一下他订单号记录套餐派送情况有查过吗 
您好很高兴为您服务 呃另外就呃宽带不能用还是什么问题机你才查询知道了我以为我天天晚你们这个现在要不要不要给我处理的都没出去嗯很抱歉给您带来不便那部手机的号码跟密码会知道吗 幺五九五九六 
您好很高兴为您服务 噢您是说宽带之前有故障了我们工作人员到到现在都还没有去厦门帮您服务是吧 嗯好的女士您不用着急我这边帮您转到宽带专席那边去可以吗噢好的好的您稍等为您转接 
您好请说 呃您投诉什么问题我给您查询一下 呃您之前来电投诉过是吗 
您好请讲 请稍等帮您查一下您的反馈记录 行您好我帮您查询到系统提示您是有反映说上个月接到就是一个那种推销的电话打电话给您帮您改成那个是指校园四十八g二零一六版的那个套餐然后他说您说改的时候有干告诉您资费是没有变的然后现在查询本地的剩余流量是没办法使用对就对是看到有反映的记录了嗯那如果现在还没有接到电话的话我们这边稍后帮您尽快催促一下这边的工作人员我看是一个g没错 
您好请说 嗯嗯好的那我们帮您申请去取消掉您稍等 已经帮您申请下去请您耐心等待如果有工作人员给您回复您直接说您这边不需要装了就可以了 
嗯挺好请说 嗯稍等一下之前有说是什么原因不能装吗 嗯稍等一下啊 
你好有什么需要帮助 嗯嗯 是本机号码要安装是吗 
您好很高兴为您服务 好的那您稍等我帮您查询一下 啊啊吧号码多少啊反正是这个流量提醒的是吗没有收到 
您好请讲 有什么可以帮您 帮您转接我们宽带专家本机号码是吗二六嗯稍等一下转接中 
您好请讲 那我跟移动宽带啊 好吧我帮您转到宽带那边给您处理您稍等一下 
哎您好请说 嗯嗯嗯嗯 卡里面设置那您这个要看一下您的手机说明书 
你好 可以那您这边要移到哪里呢 还是设置条件您稍等一下 
您好请说 什么问题呀 一个 
很高兴您服务 我这边给您转到我们宽带您是互联网电视现在用不了是不是 我帮您转到我们互联网电视有个专门客服我帮您转过去问一下您别挂机噢给您转过去问一下好吗 
你好 您是说宽带是不是不能用 那您这边不要挂断我马上帮您转接宽带专家先帮您催一下您不要挂断了好的帮您转接请稍等噢是移动的宽带没错嗯来扣费没好帮您转了祝您 
啊您好很高兴您服务 比如说宽带是吗这样他没有可以看到给您登记安装的记录您稍等一下我帮您查本机号码是吗 然后大概什么时候跟您联系的 
边嗯嗯您好请讲 好稍等一下我看一下是本机号码办的宽带是吗嗯嗯噢好那您等我一下 先生您好我帮您看了一下是十月十四号登记的这个登记的话到今天只过了两天然后这两天刚好是星期六星期天所以的话可能没有师傅过去帮您安装你明后两天留意一下他们那边过去帮您安装到时候的话会打电话给您的 
很高兴为您服务您好请讲这是幺零零八六 呃您好请问 啊您好不是这边是有在帮您处理问题的他只是说在转那个其他部门在核实当中非常保险单个了一定的时间那这边话我们会到时候那边会有这边有说会给您进行到时候那边就进行特殊处理然后具体的话我们工作人员到时候他会直接联系您我这边也给您催证一家的情况好吗 
嗯您好请说 啊您好请讲 呃我给您看一下稍等 
嗯您好很高兴为您服务 嗯宽带是吗你说移机是吗 噢您稍等一下 
嗯您好有什么可以帮您 嗯稍等先生我帮您查询 嗯先生我们这边的话帮您查看到您这边的话投诉问题我们这个就工作人员的话是昨天正好在两点多的时候有跟您联系过那您是这里开的这个处理意见不满意是吗 
喂你好请讲呃您好就是 机顶盒噢刚才系统的记录啊稍等一下啊最低只负责今天早上诶早上我输您的号码早上您是几点来电呢呃是十一点多吗还是几点多 呃我看到是不是九点多打给你的嗯对对对对如果是九点多少给您的话它确实有发给你了我们有超出下发记录 
哎您好请讲 我看看麻烦您稍等一下是关于那个流量包的问题是吧 嗯先生我理解那这个情况我这边给您看我们工作人员的话在处理当中我再去帮您催一下让他们尽快给您联系好吧 
您好请说 呃它您是要和包什么问题要咨询呢 就可以了那没人接他也有选择预约专席人员回电的你有没有选择预约一下呢 
您好请说对 你好 套餐外流量我看一下您是之前有参加流量送赠送活动是吗 
您好很高兴为您服务 噢 中午的一般来说他这边应该手头忙完了才对有没有跟他在联系一下 
您好请讲 嗯什么问题要咨询 他是说与没有啊他有帮您去核实了是因为您这边的话实际上故障就要尽快处理您稍等因为是设备正确所以的话公司公司的话延后了他是说预计十二月二十九号二零一七年十二月二十九号时间可以恢复 
