您好 请 说 你好 可以 听 得到 吗 嗯 您 说   这个 号码 吗
您好 请 说 您好   哪个 号码 有 送 宽带
早上好   呃 先生 您 这个 套餐 就是 七十九 的 您 是 下个月 改成 三十八 的
就是 中国移动 的 但是 是 手机号 的 就 推销 那些 套餐 的 服务 不 知道 说   座机 或者 一般 都 是 幺 零零 八六 干嘛 就是说 你 能 不能 说 主要 是 我 的 营销 了 因为 我 自己 以前 上 过 套餐 了 那 有 一些 新 的 资费 的话 我 觉得 就 不要 重复 营销 因为 确实 倒 是 上门 的 时候 接到 挺 多 的
你好 为您服务   今天 早上 比较 多用 同 时间 拨打 人工 台新 咨询 问题 那 非常 抱歉 让 您 久等
您好 请 说   是 说 您 登记 的 移动 宽带 但是 还 没 给 您 装 是 吧
您好 请 讲   有 什么 可以 帮 您
您好 请 说   噢 先生 我 帮 您 看 一下 啊 您 是 说 它 短信 发给您 还是 说 电话 还是 给 您 打 呢
您好 请 说   嗯 嗯
您好 很 高兴 为您服务   都 好 几天 的 密码 知道 吗
您好 很 高兴 服务   嗯
您好 高兴 为您服务   呃 我 帮 您 查询 一下 您 稍等一下 呃 都 就是 反映 的 这个 移动 线路 的 那个 问题 他 那边 现在 还 没 给 您 处理 好 吗 还是
你好 请 说   你好
什么 很 高兴 您 服务 您好   嗯 嗯
您好 很 高兴 为您服务   呃 另外 就 呃 宽带 不能 用 还是 什么 问题 机 你 才 查询 知道 了 我 以为 我 天天 晚 你们 这个 现在 要 不要 不要 给 我 处理 的 都 没 出去 嗯 很 抱歉 给 您 带来 不便 那 部手机 的 号码 跟 密码 会 知道 吗
您好 很 高兴 为您服务   噢 您 是 说 宽带 之前 有 故障 了 我们 工作人员 到 到 现在 都 还 没有 去 厦门 帮 您 服务 是 吧
您好 请 说   呃 您 投诉 什么 问题 我 给 您 查询 一下
您好 请 讲   请稍等 帮 您 查 一下 您 的 反馈 记录
您好 请 说   嗯 嗯 好 的 那 我们 帮 您 申请 去 取消 掉 您 稍 等
嗯 挺 好 请 说   嗯 稍等一下 之前 有 说 是 什么 原因 不能 装 吗
你好 有 什么 需要 帮助   嗯 嗯
您好 很 高兴 为您服务   好 的 那 您 稍 等 我 帮 您 查询 一下
您好 请 讲   有 什么 可以 帮 您
您好 请 讲   那 我 跟 移动 宽带 啊
哎 您好 请 说   嗯 嗯 嗯 嗯
