您好 请 说 你好 可以 听 得到 吗 嗯 您 说   这个 号码 吗   是 这样 的 先生 我 帮 您 看 了 一下 您 这个 号码 没有 宽带 了 如果 您 想 安装 宽带 我们 有个 宽带 新装 部门 我 可以 帮 您 转接
您好 请 说 您好   哪个 号码 有 送 宽带   什么 号码 有 送 宽带 给 您 就 您 现在 这个 号码 吗
早上好   呃 先生 您 这个 套餐 就是 七十九 的 您 是 下个月 改成 三十八 的   二 就是 没有 人来 装 然后 您 下个月 改成 三十八 元 的 这种 套餐 了
就是 中国移动 的 但是 是 手机号 的 就 推销 那些 套餐 的 服务 不 知道 说   座机 或者 一般 都 是 幺 零零 八六 干嘛 就是说 你 能 不能 说 主要 是 我 的 营销 了 因为 我 自己 以前 上 过 套餐 了 那 有 一些 新 的 资费 的话 我 觉得 就 不要 重复 营销 因为 确实 倒 是 上门 的 时候 接到 挺 多 的   来 推销 那些
你好 为您服务   今天 早上 比较 多用 同 时间 拨打 人工 台新 咨询 问题 那 非常 抱歉 让 您 久等   在
您好 请 说   是 说 您 登记 的 移动 宽带 但是 还 没 给 您 装 是 吧   反正 没 听 那 你 有没有 师傅 跟 你 联系 过 了 都 没有 联系 过 银行 找 联系 过 后面 都 不 联系 了
您好 请 讲   有 什么 可以 帮 您   帮 您 转接 我们 宽带 专家 本 机号码 是 吗 二六 嗯 稍等一下 转接 中
您好 请 说   噢 先生 我 帮 您 看 一下 啊 您 是 说 它 短信 发给您 还是 说 电话 还是 给 您 打 呢   噢 那 您 放心 这边 我 帮 您提 呃 就是 修改 一下 因为 他 可能 就是说 有 电话 提醒 这样 的 我 帮 您 把 它 关掉 就 没有 了 好 吗 首先 跟 您 道歉 一下 的 啊
您好 请 说   嗯 嗯   为 您 联系 过 是 吗 具体 的 本 机号码 办 的 申请 的 是 吗 好 我 马上 看 一下 您 稍 等
您好 很 高兴 为您服务   都 好 几天 的 密码 知道 吗   密码 知不知道
您好 很 高兴 服务   嗯   对方 这个 交 城区 副 号 是 家 这边 的话 没 信号 的 问题 啊 稍等一下
您好 高兴 为您服务   呃 我 帮 您 查询 一下 您 稍等一下 呃 都 就是 反映 的 这个 移动 线路 的 那个 问题 他 那边 现在 还 没 给 您 处理 好 吗 还是   呃 它 是 说 已经 是 正在 处理 当中 他 是 说 在 正在 重新 申请 的 改到 但是 的话 可能 这个 在 十月底 的 时候 的话 估计 然后 再 去 做 一个 处理 可能 没有 那么 快
你好 请 说   你好   您 现在 不要 挂机 我 马上 帮 您 转接 我们 电视 专席 咨询 一下 我们 工作人员 好 吗
什么 很 高兴 您 服务 您好   嗯 嗯   那 您 有没有 通过 积分 商城 上面 去查 一下 他 订单号 记录 套餐 派送 情况 有查 过 吗
您好 很 高兴 为您服务   呃 另外 就 呃 宽带 不能 用 还是 什么 问题 机 你 才 查询 知道 了 我 以为 我 天天 晚 你们 这个 现在 要 不要 不要 给 我 处理 的 都 没 出去 嗯 很 抱歉 给 您 带来 不便 那 部手机 的 号码 跟 密码 会 知道 吗   幺 五 九五 九六
您好 很 高兴 为您服务   噢 您 是 说 宽带 之前 有 故障 了 我们 工作人员 到 到 现在 都 还 没有 去 厦门 帮 您 服务 是 吧   嗯 好 的 女士 您 不用 着急 我 这边 帮 您 转到 宽带 专席 那边 去 可以 吗 噢 好 的 好 的 您 稍 等 为 您 转接
您好 请 说   呃 您 投诉 什么 问题 我 给 您 查询 一下   呃 您 之前 来电 投诉 过 是 吗
您好 请 讲   请稍等 帮 您 查 一下 您 的 反馈 记录   行 您好 我 帮 您 查询 到 系统 提示 您 是 有 反映 说 上个月 接到 就是 一个 那种 推销 的 电话 打电话 给 您 帮 您 改成 那个 是 指 校园 四十八 g 二零一 六版 的 那个 套餐 然后 他 说 您 说 改 的 时候 有 干 告诉您 资费 是 没有 变 的 然后 现在 查询 本地 的 剩余 流量 是 没 办法 使用 对 就 对 是 看到 有 反映 的 记录 了 嗯 那 如果 现在 还 没有 接到 电话 的话 我们 这边 稍后 帮 您 尽快 催促 一下 这边 的 工作人员 我 看 是 一个 g 没错
您好 请 说   嗯 嗯 好 的 那 我们 帮 您 申请 去 取消 掉 您 稍 等   已经 帮 您 申请 下去 请 您 耐心 等待 如果 有 工作人员 给 您 回复 您 直接 说 您 这边 不 需要 装 了 就 可以 了
嗯 挺 好 请 说   嗯 稍等一下 之前 有 说 是 什么 原因 不能 装 吗   嗯 稍等一下 啊
你好 有 什么 需要 帮助   嗯 嗯   是 本 机号码 要 安装 是 吗
您好 很 高兴 为您服务   好 的 那 您 稍 等 我 帮 您 查询 一下   啊 啊 吧 号码 多少 啊 反正 是 这个 流量 提醒 的 是 吗 没有 收到
您好 请 讲   有 什么 可以 帮 您   帮 您 转接 我们 宽带 专家 本 机号码 是 吗 二六 嗯 稍等一下 转接 中
您好 请 讲   那 我 跟 移动 宽带 啊   好 吧 我 帮 您 转到 宽带 那边 给 您 处理 您 稍等一下
哎 您好 请 说   嗯 嗯 嗯 嗯   卡 里面 设置 那 您 这个 要 看 一下 您 的 手机 说明书
你好   可以 那 您 这边 要 移到 哪里 呢   还是 设置 条件 您 稍等一下
您好 请 说   什么 问题 呀   一个
很 高兴 您 服务   我 这边 给 您 转到 我们 宽带 您 是 互联网 电视 现在 用 不了 是不是   我 帮 您 转到 我们 互联网 电视 有个 专门 客服 我 帮 您 转过 去 问 一下 您 别 挂机 噢 给 您 转过 去 问 一下 好 吗
你好   您 是 说 宽带 是不是 不能 用   那 您 这边 不要 挂断 我 马上 帮 您 转接 宽带 专家 先帮 您 催 一下 您 不要 挂断 了 好 的 帮 您 转接 请稍等 噢 是 移动 的 宽带 没错 嗯 来 扣费 没 好 帮 您 转 了 祝您
啊 您好 很 高兴 您 服务   比如说 宽带 是 吗 这样 他 没有 可以 看到 给 您 登记 安装 的 记录 您 稍等一下 我 帮 您 查本 机号码 是 吗   然后 大概 什么 时候 跟 您 联系 的
