您好 很 高兴 为您服务   四 g 卡 的话 如果说 你 要 那个 跟 要 升级 的话 要 带 身份证 原件 到 营业厅 更换 才 可以 啊   这个 是 不能 升级 的 只能 到 银行 换成 换新卡 才 可以 噢
您好 什么 可以 帮到 您 的   好 的 帮 您 核对 先生 您好 我 帮 您 查看 到 这 张卡 的话 是 二 g 卡   嗯 这边 申请 不了 现在 升级 的话 是 四 g 卡要 到 营业厅 才能 操作 的   嗯 是 的 是 的 因为 这边 卡 的 业务 等于 说 重新 换张 新卡
你好   对 移动 号码 那 您 这个 带上 身份证 到 营业厅 去 重新 补 一个 密码   一家 在 哪里 呀   中亭街 吗
呃 您好 很 高兴 您 服务   诶 喂 你好   噢 那 这个 有个 他们 当地 那边 的 幺 零零 八六 联系 一下 我们 现在 我们 福建省 的话 是 有 提供 外省 的 这个 补卡 操作 情况 那 它 都 要 到 指定 的 一些 营业厅 去 然后 提供 那个 就 说 他 资料 已经 登记 核实 过 了 并且 提供 一下 密码 情况 去 操作 才 可以 的 嗯 所以 说 可能 是 当地 的 幺 零零 八六 自己 没有 这个 要求 情况 的   那 就 那 你 没有 设置
诶 你好 你好 请问 什么 可以 帮到 您 的 二   呃 你好 您 的 这个 手机 上 什么 东西 要 换掉 噢   您 的 芯片 卡要 换 一张 是不是   噢 那 可以 啊 您 带上 您 的 身份证 我们 到 营业厅 前台 可以 换 一个 芯片 免费 帮 您 换 噢 免费 两个 月 的 免费 通话 没错
四 g 卡 您 目前 的话 那个 wifi 时 没有 取消 我 这边 无法 帮 您 操作 您 要 下个月 才能   唉 对 的   对 但是 您 这个 在 我 这边 操作 不 上去 要 不 您 下个月 来电 或者 下个月 带好 您 身份证 去 营业厅 都 可以   就 帮 您 寄过来 吗 快递 吗 到时候 出示 身份证 原件 签收 就 可以 了
好 很 高兴 为您服务   这个 这 我 看不到 的 您 要 用 看 身份证 这个 身份证 登记 过 几个 移动 号码 是   这个 这个 去 营业厅 查 了 带 身份证 到 营业厅 问 一下 这边 我 不 知道 您   但 您 身份证 我 只能 说 您 试一下 我 不 确定 因为 这边 没有 这个 业务 营业厅 应该 能 看
很 高兴 为您服务   大队 有 什么 可以 帮 您 的   唉 对 昨天 是 出 问题 系统 今天 可以 帮 您 您 是 反映 什么 问题 呢   换换 卡对 吧 您 是否 清楚 对 吧 到 您 您 是 想到 营业厅 去 办理 卡对 吧
您好 很 高兴 为您服务   噢 好 之前 有没有 做 挂失 的 小姐 停机   补办 的话 你 手机卡 号 是 多少 您 先报 一下   对
您好 很 高兴 为您服务   噢 好 之前 有没有 做 挂失 的 小姐 停机   补办 的话 你 手机卡 号 是 多少 您 先报 一下   对
很 高兴 为您服务   啊 好 银行卡 通讯录 备份 了 吗   恩好 密码 知道 吗   请 不要 挂机 根据 提示 输 一下 密码 成功 了 请 报下 名字 身份证号 谢谢
您好 很 高兴 服务   关于 换新卡 对 吗 带 好 机主 身份证 原件 在 上海 给 您 换卡 就 可以 了   但   还有 什么 可以 帮 您 呢 好 祝您 生活 愉快 再见
您 说   金沙江 路   幺 六 九八 弄   这 三天 左右 送到 签收 时候 把 五元 的 身份证 原件 给 我们 快递 员 看 一下 就 可以 了
您好 很 高兴 服务   恩   要 带 好 机主 身份证 原件 机主 授权 委托书 您 要 写 一个 委托书 的 可以 委托 谁 到 营业厅 帮 您 办 什么 业务 写 清楚 签个 字 还有 代办 人 身份证 原件 三样 东西 到 上海 移动 可以 可以 吧 对   是 什么 路
很 高兴 为 您 喂   补卡 是 吧 外省 号码 在 上海 办理 业务 身份证 号码 和 密码 吗 这 两个 都 有 吗   身份证 号码 身份证 原件 加上 您 的 密码   那 不是 那 这 两个 今天 都 不是 得 这样 的 没有 的话 在 上海 那 还 它 是 服务 他 必须 得 有 密码 和 身份证 原件
您好 很 高兴 为您服务 您好 唉 把 我 一张 卡 激活 一下 呃 您 是 要 激活 四 g 卡 吗 唉 对 的 不是 本 机号码 不是 本 机 因为 我 那个 手机 啊   幺 三 六六 幺 九四 七 零六 八   七 零六 八 充电 测测 幺 三 六六 手机 密码 知道 吗 不 知道 不 知道 哎 因为 我 自己 用 老 的 那 张 卡号 那个 微信 那个 信息 收不到 看不到 要 退出 去 重新 打 我 就 又 有 密码 的话 您 非本机 来电 操作 不了 的 刚才 那个 都 可以 吗 你 跟 他 说   现在 是 您 九五
换卡 换 四 g 卡 什么 非常 看 一下 呃 换 试一下 只要 带 好 身份证 原件 到 移动 营业厅 办理 一下   嗯 现在 我们 没有 游戏 了 现在 只能 到 移动 营业厅 办理 的   和 教授 上面 您 可以 试一下 我们 现在 员工 用 申请 的 您 可以 试一下 看 一下 上面 能够 那个 手机 上面   那 可能 是 页面 问题 因为 晚一点 再试一下
