您好很高兴您服务 因为给您发过来下来就可以来很抱歉当时吧行好的那已经给您发手机上了注意查收一下嗯还有其他可以帮您的吗 
您好很高兴您服务 可以的那十月份给您下发过去就一个基本套餐三十八 发给您了 
很高兴为您服务 噢您本机欠费停机了呀这样子的话您的短信是收不到的我看一下噢那我得帮您想办法帮您复机完之后发短信过去所以我先帮您临时复机卡行不行请稍等一下噢 那我现在这边为您本机号码您时间长十二小时您是授权一百零五块服务保障已经复机成功了那现在可以发短信给您了那我现在帮您把本月的实时账单机话费欠费情况发短信过去给您看噢可以短信发过去了很高兴为您服务的吗不客气这里也把这个查询话费的方式发短信给您噢嗯行谢谢噢那不客气的祝您阖家幸福的一些 
您好请说 账单是吗 这个月我看一下它又多了一个那个宽带安装调试费三十八其余的跟您平常一样是八十八的套餐然后有个三十块流量包这个流量包是下个月自动取消嘛所以这个月它还是有算活动的实际上不用扣三十返返还二十给您哦也就是来电提醒跟那个宽带它那个是按天算吗别的没开别的呀 
您好请说 我帮您看一下您有开哪些稍等一下哈 我帮您看了一下您这号码也没有其他业务就是一个三十九块钱套餐还有互联网电视呃 
对您好请讲 嗯我们现在才用的都是电子发票了您在省外也可以操作这个打印开具电子发票用电脑的话登录到网上营业厅来进行开机我稍后把这个方式发给您 嗯对的没错福建的这个官网上 
您好很高兴为您服务 好的您稍等 我我们这边发的只是您的实时话费就是总的那副卡具体消费在哪里要用他的号码才能查您现在手机的话是欠费停机了发不过去啊 
哼您好请说 额可以把您上个月的消费账单给您发到您的手机 好的 
您好有什么可以帮助您 这个月的是吗 所以您稍后发短信给您自己查看一下噢 
很高兴您服务 可以可以嗯嗯说的是上个月的账单吗九月份 稍等 
你好请说 噢先生这个要麻烦您登陆到那个网上营业厅上面进行推送我这边没办法直接上班呀 噢那它这个到时候会自动发送到您的电子邮箱上面去 
您好请讲 噢现在目前为止这个是欠费停机状态您稍等一下噢我这边看什么开机然后发给您您稍等 噢主要话帮您看到是流量噢我帮您把那个账单发给您了解一下噢看短信 
你好 您请讲 七八九幺三 
您好请说 你好嗯您好 您好 
没 诶您好先生 八块钱吗要改那个八块套餐吗 
哎你好请讲您好没有 嗯可以的我这边有看呃在您这个发送给您的基础套餐 还有什么需要帮您的吗 
