您好 很 高兴 您 服务   因为 给 您 发过来 下来 就 可以 来 很 抱歉 当时 吧 行好 的 那 已经 给 您 发手机 上 了 注意 查收 一下 嗯 还有 其他 可以 帮 您 的 吗
您好 很 高兴 您 服务   可以 的 那 十月份 给 您 下发 过去 就 一个 基本 套餐 三十八   发给您 了
很 高兴 为您服务   噢 您 本机 欠费 停机 了 呀 这 样子 的话 您 的 短信 是 收不到 的 我 看 一下 噢 那 我 得 帮 您 想 办法 帮 您 复机 完 之后 发短信 过去 所以 我 先 帮 您 临时 复机 卡 行不行 请 稍等一下 噢   那 我 现在 这边 为 您 本 机号码 您 时间 长 十二 小时 您 是 授权 一百零五 块 服务 保障 已经 复机 成功 了 那 现在 可以 发短信 给 您 了 那 我 现在 帮 您 把 本月 的 实时 账单 机 话费 欠费 情况 发短信 过去 给 您 看 噢 可以 短信 发 过去 了 很 高兴 为您服务 的 吗 不 客气 这里 也 把 这个 查询 话费 的 方式 发短信 给 您 噢 嗯 行 谢谢 噢 那 不 客气 的 祝您 阖家幸福 的 一些
您好 请 说   账单 是 吗   这个 月 我 看 一下 它 又 多 了 一个 那个 宽带 安装 调试 费 三十八 其余 的 跟 您 平常 一样 是 八十八 的 套餐 然后 有个 三十块 流量 包 这个 流量 包是 下个月 自动 取消 嘛 所以 这个 月 它 还是 有算 活动 的 实际上 不用 扣 三十 返 返还 二十 给 您 哦 也 就是 来电 提醒 跟 那个 宽带 它 那个 是 按 天算 吗 别的 没 开 别的 呀
您好 请 说   我 帮 您 看 一下 您 有 开 哪些 稍等一下 哈   我 帮 您 看 了 一下 您 这 号码 也 没有 其他 业务 就是 一个 三十九 块钱 套餐 还有 互联网 电视 呃
对 您好 请 讲   嗯 我们 现在 才 用 的 都 是 电子 发票 了 您 在 省外 也 可以 操作 这个 打印 开具 电子 发票 用 电脑 的话 登录 到 网上 营业厅 来 进行 开机 我 稍后 把 这个 方式 发给您   嗯 对 的 没错 福建 的 这个 官 网上
您好 很 高兴 为您服务   好 的 您 稍 等   我 我们 这边 发 的 只是 您 的 实时 话费 就是 总 的 那 副 卡 具体 消费 在 哪里 要用 他 的 号码 才能 查 您 现在 手机 的话 是 欠费 停机 了 发 不 过去 啊
哼 您好 请 说   额 可以 把 您 上个月 的 消费 账单 给 您 发到 您 的 手机   好 的
您好 有 什么 可以 帮助 您   这个 月 的 是 吗   所以 您 稍后 发短信 给 您 自己 查看 一下 噢
很 高兴 您 服务   可以 可以 嗯 嗯 说 的 是 上个月 的 账单 吗 九月份   稍 等
你好 请 说   噢 先生 这个 要 麻烦 您 登陆 到 那个 网上 营业厅 上面 进行 推送 我 这边 没 办法 直接 上班 呀   噢 那 它 这个 到时候 会 自动 发送到 您 的 电子邮箱 上面 去
