噢您好请说可以 本机号码是吧 
您好很高兴为您服务请问什么帮助吗 好帮您催促一下让工作人员再次跟您联系交到时候您注意接下电话好吧 
您好很高兴为您服务您好您好您这边幺零零八六客服热线哎呀 嗯可以的我这边会马上去帮您加急一下 
您好高兴为您服务 呃可以我帮您查询我看一下噢是关于手机活动的问题吗 
您好很高兴为您服务 你刚是有幺零零八六电话没有接听到是吧 
您好请讲 你好昨天 
您好很高兴为您服务啊您好很高兴为您服务 您好 
您好请讲哎有什么需要帮助 恩是关于什么方面的问题有印象吗您好喂是关于什么方面的问题呢 
您好请讲 呃您稍等我看一下感谢您耐心等待我看到这个问题了他现在已经有专人在审核处理了我这边会帮您去催促他们加急帮您处理好第一时间内给您回复因为他那边再呃下午的时候有联系您一次你没有接到电话我这边会帮您去催促的号码您不用来电了他们到时候会第一时间联系您好吗 
您好请说 我看一下八月份反馈的是吧 
您好请说 呃这边帮您查看的话这个问题工作人员有帮您反馈上去了目前还在进行处理当中我现在这边的话帮您去催促一下让工作人员尽快落实一下给您回复 
您好请问什么可以帮您 我看一下噢您稍等卡他嗯目前我这边还看不到处理一些因为它只有点击后结束的时候我才能开了这样吧您早上没接到电话的话我这边给您重新去跟后台去联系一下让他给您重新回个电话吧好吗好好好好嗯嗯好的那还其他可以帮到您吗没有了谢谢噢那麻烦您后面后期的话留意一下幺零零八六电话噢他还会再给您回电的好好好的那祝您生活愉 
嗯嗯中午好请说 嗯 
您好请讲 嗯 
哦您好请讲 就愿办宽带嘛 
请讲请说 噢好的我帮您查询一下请稍等 
你好很高兴为您服务 噢好请稍等我看一下它是有结果出来了啊好的请稍等 
您好请讲打不通您好有什么可以帮您诶 你好 
嗯稍等一下我帮您看一下啊这边这个具体的这个情况那要到时候那个工作人员跟您联系我这边没看到它这边具体怎么个处理法然后我帮您再重新说 反馈我帮您重新反馈诶不客气然后您要保证电话要然后今天在接到不要再不接了好吗 
您好很高兴为您服务 噢之前有反映过什么问题是吗 
您好请讲 幺五九八零 
您好请讲 好的我查一下请稍等嗯它这边的话已经帮您报后台重新反映了现在的话还再重新处理那个处理好了之后的话会主动给您回复的 
你好很高兴为您服务 恩 
唉呀早上好很高兴为您服务 请稍等一下 
您好请讲 啊他这个给您打电话您没接到他说换个时间重新联系您我待会儿帮您催一下让他尽快联系您吧好吗 
您好请讲喂你好没有忘记啦嗯谢谢您的关心噢那 好稍等我查一下吧行好稍等啊有 
中午好请讲 幺零零八六给您打的是吗 
您好您请说 呃就是说之前反映的那个关于手机活动的问题是吧 
您好请讲 噢好我帮您查看一下恩您好那这边有查询到他是给您回电话然后没有接到这边显示它还会联系您如果还会再给您回复的 
嗯稍等一下我看一下 那如果是现在方便吗如果方便我叫我们工作人员重新再跟您联系一下 
嗯嗯您好请说 所以我看一下您稍等一下 
嗯嗯您好很高兴服务 呃正在处理哈我帮您催促加急一下叫他讲下午两点半如果上班赶紧给您回复我帮您去催促一下 
您好请讲 你好我帮您看一下 
您好请讲 您稍等我看一下啊嗯 
您好请讲然后我反映的问题就反正三天了怎么没给我处理这事是关于本机的问题是吗稍等一下我马上帮您查感谢您耐心等待目前我们工作人员已经有帮您核实过是说无法再帮您申请开通所以看不了了可以好个对 
您好很高兴为您服务 你说是我们这边业务经理没有恢复对吧当时谁打过的联系电话是多少我查一下这边记录 
您好很高兴为您服务 恩嗯您之前有来反映过的对吧嗯嗯 
哦 嗯你好 
您好兴您服务 那个师傅十一点时间的话只能无法查询得到那我可以帮您催你是哪个号码办的宽带报修 
您好很高兴为您服务 跟我说的时候是宽带报修记录吗线 
您好很高兴为您服务 六月份账单 
您好很高兴为您服务 好的您稍等刚才反映的是吧是本地的唉对的本机的 
你好 哪个号码 
