请您好请说 本机要申请宽带呃先新装的吗是吗 
您好请说诶我想问你一下嘞早上我问了一下他说 对 
您好请说 新买的卡发送开打呀 
可以帮您哎您好很高兴为您服务 省内不限流量那您改成了一个一百八十八的套餐那就省内流量不限用 
中午好请讲你好 不用身份证家业务密码然后跟手机因为我们查询的时候发一个那个随机验证码到您要查询那个手机上面幺幺同时输入才能查询得到的 
噢那请问下那个密码记得吗 那请问下还在福建吗 
您好请讲 现在要改一下怎么打呀就修改内容是吗还是要取消掉是 
嗯嗯您好请讲 拜拜 
嗯嗯您好请讲 嗯您好女士您可以啊你等下发送那个哦fx十八到幺零零八六就可以了我发给您就是飞享的第一个 
您好很高兴为您服务 流量的话那您要开共享功能不可以把流量分享给对方使用 
高兴为您服务 噢您要改新版的新飞享五十八是吧新飞享五十八的话呃如果您想自己办理的话我可以把它的一个呃发送的代码发短信给您看一下但是您现在超级流量王二零六八一般给您改掉之后就再也改不回来了噢哦那我把那个新飞享五十八的资费介绍其他变更的发送短信代码发短信给您本机上您注意查收一下如果您自己变更的话要以收到变更成功短信提示为准变更成功次月生效噢就是您先发过来给我看可以发给您看一下还有其他可以为您服务的吗 
您好请说 查询要怎么弄呃通话记录查询的话登录网上营业厅就可以查不过您要提供业务密码和短信验证码 
再见您好请讲 封顶最高呢四g流量他现在目前港澳台的话它流量的话是按天的三天五天跟七天了 
您好您说请讲请说 就说办理停机保号吗 
是的没有您好很高兴为您服务您好诶您好请说 那我能问下先生是只是您个人手机会出现这种情况吗周围的人也会是这样吗 
您好请讲 宽带吗稍等宽带目前状态正常 
您好很高兴为您服务 哦那您要身份证原件拿过去看一下能不能重新购买具体要到营业厅问一下您把身份证原件进行带过去 
您好请说 注销需要带身份证原件到移动营业厅去注销一下 
您好请讲 恩您说 
为您 你好 
哼您好很高兴为您服务你好诶请讲 帮您移动信息服务 
您好请讲 呃有本地版开机是吗这里这部手机转到另外一部手机吗那可以啊发送短信给您就可以操作了呼叫转移分钟一毛钱噢 
嗯嗯再见您好请讲 你好你好 
您好很高兴为您服务 噢非常抱歉我们这边流量的话没有办法进行转移过去的 
怎么样 家里开的那个宽带它 
五八您好请讲 有什么可以帮助您 
其他哎您好请讲 哎提供他的手机号和他的服务密码就可以帮他直接办理了 
您好请说诶您好是这样子 呃因为支付宝的话它这个属于第三方充值您可以联系一下支付宝客服那边 
您好请讲 请请说 
您好很高兴为您服务 国际漫游功能如果要开我这边可以直接帮您开啊然后您过去之前到时候看一下需要开什么流量套餐那些可以跟我们联系再开就行了功能可以先开始不收费的 
锦你好请讲 激活了吗 
嗯嗯 您好请讲 
您好请说 升级什么样的 
您好高兴您服务 那您最好打支付宝客服那边问一下这个功能是什么时候设置的噢哎噢行行行行噢行 
您好请讲 你说稍后详细地址的也是说平常消费的明细吗 
您好请说 您说的是校园宽带嘛 
高兴服 诶先生您好 
您好请说 呃我们现在目前的套餐你现在十二十八套餐那您需要那种提示吗还是说降低现在什么类型的套餐先生 
您好请讲 你好 
高兴为您看一下啊 加油包十块一百兆流量那如果您流量用的比较多也可以开比如说有一种是一次性的六十块六个g的有效期一百八十天全国都可以用 
哎您好很高兴为您服务 共享流量您是做户主给别人使用吗 
您好请说 呃您说 
嗯您好您讲 密码忘记的话只能进行重置了那这边我帮您把这个重置的一个方式给您发送下短信您这边话直接根据短信用身份证号码重置一下可以吗 
您好请讲 没有到期啊女士您是一六年九月份办的嘛到一八年九月一号到期啊块钱是第一年呢是有送您三十元的宽带费吗您不用付费的第二年的话呢从今年九月份开始就要自己付费了所以现在还没有到啊关我一六年办的我所以没错呃一六年办的到明年的九月份才到期 
你好 呃我这边可以帮您登记到时具体办理手续我们工作人员会打电话给您可以吗 
你好需要什么帮助 是在外省还是在省内 
很高兴为您服务 呃是我们移动的这个号码就是装我们移动宽带啊 
您好很高兴为您服务 您这边的话是呃要搬家了然后要移机是吗 
您好请讲 你需要办宽带是吗 
您好很高兴为您服务 好行您现在话目前的话有四百六十九个积分 
你好需要什么帮助 是在外省还是在省内 
您好请讲你好 嗯那张卡是就是负责在外地是吧 
你好 噢然后呢 
中午好请讲 那我把这个删除和添加的方式我发给您吧您可以通过发短信操作可以吗 
你好 打电话给你 
您好请说 嗯对就您本人携带有效身份证原件这个号码跟服务密码到归属地营业厅这边去办注销 
您好请说 这个只有这个有个简单的查询方式您直接打那个幺零零八六幺幺它就会把您的话费情况进行回复给您 
您好高兴为您服务 稍等我看一下啊呃我这边把那个短信重置服务密码的方式发到您手机上您稍后呢根据短信提示按照上面的格式要求然后重新设一个六位数的密码发到幺零零八六以成功短信为准好吗 
您好请讲你好 啊我目前的话帮您查看一下您这边之前有获取过初始密码我这边的话给您转接到我们的语音提醒然后您修改一下的好吗 
您好请说 嗯您有他的手机号跟服务密码吗 
嗯再见请说您好 哎就麻烦 
您好请说 宽带的密码是吗没办法查只能说重启 
您好请讲 错误流量的话我帮您看目前送流量我们是只有共享的呀共享还没有做这个 
你好很高兴为您服务 如果您需要办宽带那您稍后不要挂我这边的话是帮您转我们的宽带专家有专门人员为您服务好吗 
啊很高兴您服务 你说的是家庭计划嘛 
您好很高兴为您服务 我这边可以直接帮您退那您看一下我直接帮您退掉吗 
你好早上好 诶我想 
嗯嗯您好很高兴为您服务 已经激活了那就得去营业厅办销户了直接带着您身份证然后去咱们那个三明当地营业厅办理销户这样子 
您好很高兴为您服务 啊流量看您开通多少的比如说是十块钱一百兆的加油包或者有一种要多一点的话办那种半年包更合算六十元六个g的有效期一百八十天内使用有效 
您好高兴您服务 哪个号码要过户本机吗 
嗯我这边也可以直接帮您补充啊您是只要补充这个月还是每个月都要 嗯四百多兆够您用吗 
您好请讲 请您稍等呃您要加家庭成员是吧 
哎您好请说 家庭网我这边可以帮您加福建这边可以加或者您短信添加也可以 
您好请讲 怎么怎么办理啊三十块钱一个g的要马上开通是吗 
嗯您好请讲 宽带取消您稍等我们移动宽带吗 
您好请讲 办流量你需要补充一些是吗这个月的 
您好您讲 服务密码忘记的话只能进行重置密码了那您稍等我帮您看一下这边您要怎么操作 
你好请说 呃流量包的话像十块钱一百兆还有包月的三十元一g五十元两g七十元三g八月份如果现在开通是按比例折算的就今天十七号了就一半左右这样子 
您好请讲你好电话已接通 噢您好您说 
您好请说你好 您是宽带密码不知道是吗 
您好请讲 您是指那个哪里的号码漳州的还是 
您好请说 换什么 
您好请讲 您好 
您好请说 不用的话带上身份证原件到当地的营业厅那边去注销 
您好很高兴为您服务 不是 
您好请讲 是省外号码吗 
您好很高兴您服务 诶您好 
你好请讲 没听清楚套餐什么问题请再重复一遍好吗 
您好很高兴为您服务诶你好你好 比如说喂诶您好您说 
您好请讲有什么可以帮您 拿身份证到营业厅去换卡就可以了帮别人办也帮别人办别人的卡是吗 
您好请讲 密码知道吗 
你好 可以帮您升彩铃要打幺二五五三零 
您您好请说 诶有什么帮您 
您好高兴为您服务哎 嗯您自己要设置呼叫转移到别的号码是吧 
呃您好很高兴为您服务 密码这个呃您是修改吗修改可以发短信啊重置也可以发短信啊你接重新设置一个新的叫你记的身份证号它是可以设置的 
您好什么可以帮您 噢我给您查一下一个月一个g省内流量噢您可以放心您想前面少了一个星号键他是让您发送星号键幺三六是发到幺零零八六您只发了一个幺三六是前面少了一个星号键 
你好请说 您这号码的话是已经有开通国际及港澳台漫游功能的钱 
你好很高兴为您服务 可以的目前您的积分的话这边是有累积五千一百一十七分 
您好请说 可以发短信进行添加或者说您现在把号码告诉我我这边帮您去添加 
您好很高兴为您服务 下个月的对吧 
啊那张卡信息的话它说那张卡服务密码密码知道吗 登录密码情况的话我们直接查不到它数据啊要用本机号打 
您好请讲 呃您这个如果宽带还没到期取消交违约金这样子对您不划算 
您好请说 去那边也是有信号可以直接用的噢我看下到越南怎么收费 
您好很高兴您服务 新装是吗啊新装一条宽带对吧 
您好请讲 呃您这张卡的话我可以直接帮您打开那个港澳台国际漫游功能现在就给您开是吗 
您好请说喂你好你好请讲 嗯 
您好请讲 我查一下请稍等噢您共享流量您八十八套餐里面的那个流量是不能共享的是仅限本机自己使用的 
你好 呃本机转他机吗 
您好请讲 号码报停的话要用您的服务密码您知道服务密码吗 
您好请说 呃您说什么问题我没有听清楚 
您好请讲 您如果需要办的话我可以帮您办直接家庭网的收费您了解吗 
您好请说 没有说赠送的呀您这个号码的流量吗 
你好请讲 下个月一号生效 
哎很高兴为您服务 那如果您要想开通的话我们可以帮您来操作到香港的一个功能然后同时的话噢您的到香港的功能已经开通了那您那是说要连续五天在香港使用上网是吧 
里面 里面它它就是有幺零通过查询通话详单里面有个查询办理吗里面有个详单查询通过上面就可以查了 
您好请说 呃彩印业务是别人打您电话的时候个性签名出现在别人屏幕上一般是通过办理一些比如说您要登录我们的移动的相关关官网的软呃官网的一些软件啊或者关注里面有赠送一些什么业务的话它这个会连再赠送给您 
您好很高兴为您服务 呃您是要四g所有电话来电提醒还是转到其他号码上 
您好请讲 好请稍等 
嗯 您好请讲 
您好请说 呃您可以发送短信幺八到幺零零八六进行查询 
您好请说 哇需要改服务密码那请问您旧的密码知道吗 
行您好请讲 我我要问 
你好什么可以帮您 没有就是对方打是关机 
您好什么可以帮您 那您是要用这张卡办一个移动的宽带对吗 
晚上好 呃销户的话要麻烦您带上身份证原件跟业务密码到归属地营业厅去办理销户 
您好很高兴为您服务 呃您是要把其他的业务给您关掉吗 
嗯不用您好请讲 可以您开通需要加多少呢 
您好很高兴为您服务 您好很高兴为您服务 
