请您好请说 本机要申请宽带呃先新装的吗是吗 您不用挂电话我帮您转到宽带专家这边给您做申请一下我们专家为您服务 
您好请说诶我想问你一下嘞早上我问了一下他说 对 对 
您好请说 新买的卡发送开打呀 大队刚刚才 
可以帮您哎您好很高兴为您服务 省内不限流量那您改成了一个一百八十八的套餐那就省内流量不限用 嗯对 
中午好请讲你好 不用身份证家业务密码然后跟手机因为我们查询的时候发一个那个随机验证码到您要查询那个手机上面幺幺同时输入才能查询得到的 可以呀我们有给您保存近六个月的通话记录的 
噢那请问下那个密码记得吗 那请问下还在福建吗 请问还在福建省吗 
您好请讲 现在要改一下怎么打呀就修改内容是吗还是要取消掉是 是你本机号码的彩印还差这号码的呀 
嗯嗯您好请讲 拜拜 啊那您如果有朋友在厦门呢也可以把身份证寄回来让您朋友带上您的身份证跟他的身份证跟密码然后帮您代办也可以的 
嗯嗯您好请讲 嗯您好女士您可以啊你等下发送那个哦fx十八到幺零零八六就可以了我发给您就是飞享的第一个 wifi三十八 
您好很高兴为您服务 流量的话那您要开共享功能不可以把流量分享给对方使用 嗯可以那您稍后的话呃要提醒您一下您如果是没有加入家庭网共享副号一个号码交五块钱噢 
高兴为您服务 噢您要改新版的新飞享五十八是吧新飞享五十八的话呃如果您想自己办理的话我可以把它的一个呃发送的代码发短信给您看一下但是您现在超级流量王二零六八一般给您改掉之后就再也改不回来了噢哦那我把那个新飞享五十八的资费介绍其他变更的发送短信代码发短信给您本机上您注意查收一下如果您自己变更的话要以收到变更成功短信提示为准变更成功次月生效噢就是您先发过来给我看可以发给您看一下还有其他可以为您服务的吗 噢祝您阖家幸福的车 
您好请说 查询要怎么弄呃通话记录查询的话登录网上营业厅就可以查不过您要提供业务密码和短信验证码 恩对对对 
再见您好请讲 封顶最高呢四g流量他现在目前港澳台的话它流量的话是按天的三天五天跟七天了 港澳台流量的话它七天是七天是一百四十八这七天流量是不限量 
您好您说请讲请说 就说办理停机保号吗 那那个等下个月的话打我们电话把密码验证一下就能开啦 
是的没有您好很高兴为您服务您好诶您好请说 那我能问下先生是只是您个人手机会出现这种情况吗周围的人也会是这样吗 个人的对吧我刚刚查了一下您本机的数据功能对吧功能的话都是正常的没有问题 
您好请讲 宽带吗稍等宽带目前状态正常 恩对是不是 
您好很高兴为您服务 哦那您要身份证原件拿过去看一下能不能重新购买具体要到营业厅问一下您把身份证原件进行带过去 嗯那您号码是多少我先帮您查一下号码多少 
您好请说 注销需要带身份证原件到移动营业厅去注销一下 嗯不行啊只能在厦门营业厅 
您好请讲 恩您说 补卡的话要在南平这边补诶 
为您 你好 呃是互联网电视吗还是宽带呀 
哼您好很高兴为您服务你好诶请讲 帮您移动信息服务 没有噢您稍等我帮您看一下您这边的话是要嗯确实没有没有关要帮您开启吗 
