请 您好 请 说   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗
您好 请 说 诶 我 想 问 你 一下 嘞 早上 我 问 了 一下 他 说   对
您好 请 说   新买 的 卡 发送 开打 呀
可以 帮 您 哎 您好 很 高兴 为您服务   省内 不 限 流量 那 您 改成 了 一个 一百八十 八 的 套餐 那 就 省内 流量 不限用
中午 好 请 讲 你好   不用 身份证 家 业务 密码 然后 跟 手机 因为 我们 查询 的 时候 发 一个 那个 随机 验证码 到 您 要 查询 那个 手机 上面 幺 幺 同时 输入 才能 查询 得到 的
噢 那 请问 下 那个 密码 记得 吗   那 请问 下 还 在 福建 吗
您好 请 讲   现在 要 改 一下 怎么 打 呀 就 修改 内容 是 吗 还是 要 取消 掉 是
嗯 嗯 您好 请 讲   拜拜
嗯 嗯 您好 请 讲   嗯 您好 女士 您 可以 啊 你 等 下 发送 那个 哦 fx 十八 到 幺 零零 八六 就 可以 了 我 发给您 就是 飞享 的 第一个
您好 很 高兴 为您服务   流量 的话 那 您 要 开 共享 功能 不 可以 把 流量 分享 给 对方 使用
高兴 为您服务   噢 您 要 改 新版 的 新飞 享 五十八 是 吧 新飞 享 五十八 的话 呃 如果 您 想 自己 办理 的话 我 可以 把 它 的 一个 呃 发送 的 代码 发短信 给 您 看 一下 但是 您 现在 超级 流量 王二 零六 八 一般 给 您 改掉 之后 就 再也 改不 回来 了 噢 哦 那 我 把 那个 新飞 享 五十八 的 资费 介绍 其他 变更 的 发送 短信 代码 发短信 给 您 本 机上 您 注意 查收 一下 如果 您 自己 变更 的话 要 以 收到 变更 成功 短信 提示 为准 变更 成功 次 月 生效 噢 就是 您 先 发过来 给 我 看 可以 发给您 看 一下 还有 其他 可以 为您服务 的 吗
您好 请 说   查询 要 怎么弄 呃 通话记录 查询 的话 登录 网上 营业厅 就 可以 查 不过 您 要 提供 业务 密码 和 短信 验证码
再见 您好 请 讲   封顶 最高 呢 四 g 流量 他 现在 目前 港澳台 的话 它 流量 的话 是 按天 的 三天 五天 跟 七天 了
您好 您 说 请 讲 请 说   就 说 办理 停机 保号 吗
是 的 没有 您好 很 高兴 为您服务 您好 诶 您好 请 说   那 我 能 问下 先生 是 只是 您 个人 手机 会 出现 这种 情况 吗 周围 的 人 也 会 是 这样 吗
您好 请 讲   宽带 吗 稍 等 宽带 目前 状态 正常
您好 很 高兴 为您服务   哦 那 您 要 身份证 原件 拿 过去 看 一下 能 不能 重新 购买 具体 要 到 营业厅 问 一下 您 把 身份证 原件 进行 带 过去
您好 请 说   注销 需要 带 身份证 原件 到 移动 营业厅 去 注销 一下
您好 请 讲   恩 您 说
为 您   你好
哼 您好 很 高兴 为您服务 你好 诶 请 讲   帮 您 移动信息 服务
您好 请 讲   呃 有 本地 版 开机 是 吗 这里 这 部手机 转 到 另外 一部 手机 吗 那 可以 啊 发送 短信 给 您 就 可以 操作 了 呼叫转移 分钟 一毛钱 噢
嗯 嗯 再见 您好 请 讲   你好 你好
您好 很 高兴 为您服务   噢 非常 抱歉 我们 这边 流量 的话 没有 办法 进行 转移 过去 的
怎么样   家里 开 的 那个 宽带 它
五八 您好 请 讲   有 什么 可以 帮助 您
其他 哎 您好 请 讲   哎 提供 他 的 手机号 和 他 的 服务 密码 就 可以 帮 他 直接 办理 了
您好 请 说 诶 您好 是 这 样子   呃 因为 支付宝 的话 它 这个 属于 第三方 充值 您 可以 联系 一下 支付宝 客服 那边
您好 请 讲   请 请 说
您好 很 高兴 为您服务   国际漫游 功能 如果 要开 我 这边 可以 直接 帮 您 开 啊 然后 您 过去 之前 到时候 看 一下 需要 开 什么 流量 套餐 那些 可以 跟 我们 联系 再开 就行了 功能 可以 先 开始 不 收费 的
锦 你好 请 讲   激活 了 吗
嗯 嗯   您好 请 讲
您好 请 说   升级 什么样 的
您好 高兴 您 服务   那 您 最好 打 支付宝 客服 那边 问 一下 这个 功能 是 什么 时候 设置 的 噢 哎 噢 行行 行行 噢 行
您好 请 讲   你 说 稍后 详细 地址 的 也 是 说 平常 消费 的 明细 吗
您好 请 说   您 说 的 是 校园 宽带 嘛
高兴 服   诶 先生 您好
您好 请 说   呃 我们 现在 目前 的 套餐 你 现在 十二 十八 套餐 那 您 需要 那种 提示 吗 还是 说 降低 现在 什么 类型 的 套餐 先生
您好 请 讲   你好
高兴 为 您 看 一下 啊   加油 包 十块 一 百兆 流量 那 如果 您 流量 用 的 比较 多 也 可以 开 比如说 有 一种 是 一次性 的 六十块 六个 g 的 有效期 一百八十 天 全国 都 可以 用
哎 您好 很 高兴 为您服务   共享 流量 您 是 做 户主 给 别人 使用 吗
您好 请 说   呃 您 说
嗯 您好 您 讲   密码 忘记 的话 只能 进行 重置 了 那 这边 我 帮 您 把 这个 重置 的 一个 方式 给 您 发送 下 短信 您 这边 话 直接 根据 短信 用 身份证 号码 重置 一下 可以 吗
您好 请 讲   没有 到期 啊 女士 您 是 一 六年 九月份 办 的 嘛 到 一 八年 九月 一号 到期 啊 块钱 是 第一年 呢 是 有 送 您 三十元 的 宽带 费 吗 您 不用 付费 的 第二年 的话 呢 从 今年 九月份 开始 就要 自己 付费 了 所以 现在 还 没有 到 啊 关 我 一 六年 办 的 我 所以 没错 呃 一 六年 办 的 到 明年 的 九月份 才 到期
你好   呃 我 这边 可以 帮 您 登记 到 时 具体 办理手续 我们 工作人员 会 打电话 给 您 可以 吗
你好 需要 什么 帮助   是 在 外省 还是 在 省内
很 高兴 为您服务   呃 是 我们 移动 的 这个 号码 就是 装 我们 移动 宽带 啊
您好 很 高兴 为您服务   您 这边 的话 是 呃 要 搬家 了 然后 要 移机 是 吗
您好 请 讲   你 需要 办 宽带 是 吗
您好 很 高兴 为您服务   好行 您 现在 话 目前 的话 有 四百 六十九 个 积分
你好 需要 什么 帮助   是 在 外省 还是 在 省内
您好 请 讲 你好   嗯 那 张卡 是 就是 负责 在 外地 是 吧
你好   噢 然后 呢
中午 好 请 讲   那 我 把 这个 删除 和 添加 的 方式 我 发给您 吧 您 可以 通过 发短信 操作 可以 吗
你好   打电话 给 你
您好 请 说   嗯 对 就 您 本人 携带 有效 身份证 原件 这个 号码 跟 服务 密码 到 归属 地 营业厅 这边 去 办 注销
您好 请 说   这个 只有 这个 有个 简单 的 查询 方式 您 直接 打 那个 幺 零零 八六 幺 幺 它 就 会 把 您 的 话费 情况 进行 回复 给 您
您好 高兴 为您服务   稍 等 我 看 一下 啊 呃 我 这边 把 那个 短信 重置 服务 密码 的 方式 发到 您 手机 上 您 稍后 呢 根据 短信 提示 按照 上面 的 格式 要求 然后 重新 设 一个 六位数 的 密码 发到 幺 零零 八六以 成功 短信 为准 好 吗
您好 请 讲 你好   啊 我 目前 的话 帮 您 查看 一下 您 这边 之前 有 获取 过 初始密码 我 这边 的话 给 您 转接 到 我们 的 语音 提醒 然后 您 修改 一下 的 好 吗
您好 请 说   嗯 您 有 他 的 手机号 跟 服务 密码 吗
嗯 再见 请 说 您好   哎 就 麻烦
您好 请 说   宽带 的 密码 是 吗 没 办法 查 只能 说 重启
您好 请 讲   错误 流量 的话 我 帮 您 看 目前 送 流量 我们 是 只有 共享 的 呀 共享 还 没有 做 这个
你好 很 高兴 为您服务   如果 您 需要 办 宽带 那 您 稍后 不要 挂 我 这边 的话 是 帮 您 转 我们 的 宽带 专家 有 专门 人员 为您服务 好 吗
啊 很 高兴 您 服务   你 说 的 是 家庭计划 嘛
您好 很 高兴 为您服务   我 这边 可以 直接 帮 您 退 那 您 看 一下 我 直接 帮 您 退掉 吗
你好 早上好   诶 我 想
嗯 嗯 您好 很 高兴 为您服务   已经 激活 了 那 就 得 去 营业厅 办 销户 了 直接 带 着 您 身份证 然后 去 咱们 那个 三明 当地 营业厅 办理 销户 这 样子
您好 很 高兴 为您服务   啊 流量 看 您 开通 多少 的 比如说 是 十块钱 一 百兆 的 加油 包 或者 有 一种 要 多一点 的话 办 那种 半年 包 更 合算 六十元 六个 g 的 有效期 一百八十 天 内 使用 有效
您好 高兴 您 服务   哪个 号码 要 过户 本机 吗
嗯 我 这边 也 可以 直接 帮 您 补充 啊 您 是 只要 补充 这个 月 还是 每个 月 都 要   嗯 四百多 兆够 您 用 吗
您好 请 讲   请 您 稍 等 呃 您 要加 家庭成员 是 吧
哎 您好 请 说   家庭网 我 这边 可以 帮 您 加 福建 这边 可以 加 或者 您 短信 添加 也 可以
您好 请 讲   怎么 怎么 办理 啊 三十块 钱 一个 g 的 要 马上 开通 是 吗
嗯 您好 请 讲   宽带 取消 您 稍 等 我们 移动 宽带 吗
您好 请 讲   办 流量 你 需要 补充 一些 是 吗 这个 月 的
您好 您 讲   服务 密码 忘记 的话 只能 进行 重置 密码 了 那 您 稍 等 我 帮 您 看 一下 这边 您 要 怎么 操作
你好 请 说   呃 流量 包 的话 像 十块钱 一 百兆 还有 包月 的 三十元 一 g 五十元 两 g 七十 元 三 g 八月份 如果 现在 开通 是 按 比例 折算 的 就 今天 十七号 了 就 一半左右 这 样子
您好 请 讲 你好 电话 已 接通   噢 您好 您 说
您好 请 说 你好   您 是 宽带 密码 不 知道 是 吗
您好 请 讲   您 是 指 那个 哪里 的 号码 漳州 的 还是
您好 请 说   换 什么
您好 请 讲   您好
您好 请 说   不用 的话 带上 身份证 原件 到 当地 的 营业厅 那边 去 注销
您好 很 高兴 为您服务   不是
您好 请 讲   是 省外 号码 吗
您好 很 高兴 您 服务   诶 您好
