请 您好 请 说   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 请 说 诶 我 想 问 你 一下 嘞 早上 我 问 了 一下 他 说   对   对
您好 请 说   新买 的 卡 发送 开打 呀   大队 刚刚 才
可以 帮 您 哎 您好 很 高兴 为您服务   省内 不 限 流量 那 您 改成 了 一个 一百八十 八 的 套餐 那 就 省内 流量 不限用   嗯 对
中午 好 请 讲 你好   不用 身份证 家 业务 密码 然后 跟 手机 因为 我们 查询 的 时候 发 一个 那个 随机 验证码 到 您 要 查询 那个 手机 上面 幺 幺 同时 输入 才能 查询 得到 的   可以 呀 我们 有 给 您 保存 近 六个月 的 通话记录 的
噢 那 请问 下 那个 密码 记得 吗   那 请问 下 还 在 福建 吗   请问 还 在 福建省 吗
您好 请 讲   现在 要 改 一下 怎么 打 呀 就 修改 内容 是 吗 还是 要 取消 掉 是   是 你 本 机号码 的 彩印 还 差 这 号码 的 呀
嗯 嗯 您好 请 讲   拜拜   啊 那 您 如果 有 朋友 在 厦门 呢 也 可以 把 身份证 寄 回来 让 您 朋友 带上 您 的 身份证 跟 他 的 身份证 跟 密码 然后 帮 您 代办 也 可以 的
嗯 嗯 您好 请 讲   嗯 您好 女士 您 可以 啊 你 等 下 发送 那个 哦 fx 十八 到 幺 零零 八六 就 可以 了 我 发给您 就是 飞享 的 第一个   wifi 三十八
您好 很 高兴 为您服务   流量 的话 那 您 要 开 共享 功能 不 可以 把 流量 分享 给 对方 使用   嗯 可以 那 您 稍后 的话 呃 要 提醒您 一下 您 如果 是 没有 加入 家庭网 共享 副 号 一个 号码 交 五块 钱 噢
高兴 为您服务   噢 您 要 改 新版 的 新飞 享 五十八 是 吧 新飞 享 五十八 的话 呃 如果 您 想 自己 办理 的话 我 可以 把 它 的 一个 呃 发送 的 代码 发短信 给 您 看 一下 但是 您 现在 超级 流量 王二 零六 八 一般 给 您 改掉 之后 就 再也 改不 回来 了 噢 哦 那 我 把 那个 新飞 享 五十八 的 资费 介绍 其他 变更 的 发送 短信 代码 发短信 给 您 本 机上 您 注意 查收 一下 如果 您 自己 变更 的话 要 以 收到 变更 成功 短信 提示 为准 变更 成功 次 月 生效 噢 就是 您 先 发过来 给 我 看 可以 发给您 看 一下 还有 其他 可以 为您服务 的 吗   噢 祝您 阖家幸福 的 车
您好 请 说   查询 要 怎么弄 呃 通话记录 查询 的话 登录 网上 营业厅 就 可以 查 不过 您 要 提供 业务 密码 和 短信 验证码   恩对 对 对
再见 您好 请 讲   封顶 最高 呢 四 g 流量 他 现在 目前 港澳台 的话 它 流量 的话 是 按天 的 三天 五天 跟 七天 了   港澳台 流量 的话 它 七天 是 七天 是 一百 四十八 这 七天 流量 是 不 限量
