知道哎嗯嗯您好高兴您服务 地址是什么用不了 
您好很高兴为您服务 诶 
您好请问新装宽带吗 啊那阳光的地址是在福州哪里呢 
嗯嗯您好 嗯请问有什么可以帮助您喂 
您好请说 您不要挂机我帮您转接我们的宽带专家人员帮您看一下啊请稍等 
您好请问需要新装移动宽带吗 具体的时间我这边查不到但是呢如果说您有需要我重新帮您申请安排当地的师傅再帮您去确认好的行恩这边地址麻烦您告诉我一下 
您好请讲 嗯您是有打算安装我们移动的宽带业务对吧 
您好请说 你好 
您好很高兴为您服务 您是要申请安装一个宽带然后问地址能不能安装是吗 
你好有什么可以帮您 您是说要装一条移动的宽带啊那我帮您转接宽带专席请您咨询一下不要挂机好吗 
您好请说 您好先生您要办理宽带迁移是吗 
您好请说 啊您现在想想办新新装我们宽带是吧好的那不要挂机我帮您转宽带专席帮您登记您稍等一下哈 
您好请讲 您这边现在是说本机要办移动宽带要查询有没有覆盖是吗 
您好女士要新装宽带吗 噢好地址您说我看一下您好 
您好很高兴为您服务 你好 
您好 您好可以听得到吗先生 
嗯嗯您好很高兴为您服务 就是商务楼您是要装公司的宽带吗 
好很高兴服务 宽带对吧要安装宽带对吗 
您好很高兴为您服务 嗯 
您好兴您服务 唉你好 
很高兴为您服务 可以地址说一下 
高兴您服务哎 您地址报一下 
您好很高兴为您服务 再见呃可以啊上海哪个区的 
很高兴为您服务 噢好的你把地址报一下我帮您确认下 
您好很高兴为您服务 你好 
您好很高兴为您服务 具体什么密码 
您好很高兴为您服务 海滨五村哪个区的 
您好很高兴为您服务 办理宽带 
您好很高兴为您服务哎我想问一下在你们的宽带是就先要开通那个再见如果走的是东方有线的线路您没有开的话就要看您的地方是否完成g的网络改造了不然到时可能会装不了的 如果您这个地方装的是我们跟东方有线合作的那就要看您家里有线电视有没有开如果没有开要看您这边是否完成mc的网络改造这个您可以东方有线去问的能不能安装他那边如果说可以装的那也可以的 
高兴您服务 你把地址报给您查一下是浦东新区是什么路 
很高兴为您服务 对是的 
高兴您服务 芳村金融大厦 
很高兴为您服务唉你好我问一下就是我已经 不是上海就像您小区这边移动网宽带有接入了吗是哪个区呃上海市黄浦区黄浦区 
您好很高兴为您服务 呃我看一下稍等那个七十块钱那个小时 
您好很高兴为您服务您好很高兴为您服务 好的那情况您在那里地址 
您好很高兴为您服务 您要查有没有资源覆盖对吧 
您好很高兴为您服务 唉我想那个咨询一下呀 
您好请讲 嗯活动是有的您什么地方要装呢 
您好很高兴为您服务 就移动的宽带对吧呃移动宽带是这样的首先确认一下您这个地址有没有装过如果没有装过地址覆盖就可以参加 
为您服务 嗯哪个区的上海 
您好很高兴为您服务 是上海哪个区的 
您好很高兴为您服务 您是要查这地方能不能装宽带嘛对对对对对对对哪个区请问 
您好很高兴为您服务 恩你好 
您好很高兴为您服务 对你帮我 
哎您好请讲 地址有宽带资源覆盖对吧噢好你把地址报一下 
您好很高兴为您服务 什么村 
您好很高兴为您服务 呃哪个区的上海 
您好请讲 可以看吗钢琴曲具体地址是 
您好很高兴为您服务 您什么地方装宽带呢 
您好很高兴为您服务 恩你好 
您好很高兴为您服务 那您这边地址有吗先帮您查一下资源情况 
您好很高兴为您服务 八月五十八号对吧请稍等我帮您看一下 
您好很高兴为您服务 店铺是吧 
您好请讲 然后具体地址 
您好很高兴为您服务 啊要装宽带对吧对您撤单具体什么地址呢 
您好很高兴为您服务 噢就帮您转到宽带部门给您查一下好吗我现在帮您转接帮他解决问题不客气我将电话转专席处理请稍等 
您好很高兴为您服务 嗯哪个区 
您好很高兴为您服务 然后 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 恩你好 
您好请讲 嗯您说 
您好很高兴为您服务 嗯您说 
您好很高兴为您服务 嗯这个帮您转到我们的宽带部门给您查一下好吗 
您好很高兴为您服务 噢您是要咨询宽带是吧对我这个我帮您转接到宽带专席那边帮您查一下的好吧好稍等不要挂机为了更好请您再打电话找一下去处理好嗯 
您好很高兴为您服务 宽带什么问题请讲先生 
您好很高兴为您服务 在哪个区 
您好很高兴为您服务 您把地址报给我看一下 
您好很高兴为您服务 每安路 
啊您好兴您服务 宽带情况下您是说那个打一次两次那个活动啊 
为您服务 唉你好 
您好很高兴为您服务 上海松松江区 
嗯您好很高兴为您服务 嗯对的 
