知道 哎 嗯 嗯 您好 高兴 您 服务   地址 是 什么 用 不了   宽带 使用 不了 是 吧
您好 很 高兴 为您服务   诶   呃 本机 想 安装 一个 是 吗
您好 请问 新装 宽带 吗   啊 那 阳光 的 地址 是 在 福州 哪里 呢   月租 一个月 要块 五 您 是 要 新装 宽带 是 吗
嗯 嗯 您好   嗯 请问 有 什么 可以 帮助 您 喂   您 稍 等 我 帮 您 查 一下
您好 请 说   您 不要 挂机 我 帮 您 转接 我们 的 宽带 专家 人员 帮 您 看 一下 啊 请稍等
您好 请问 需要 新装 移动 宽带 吗   具体 的 时间 我 这边 查不到 但是 呢 如果说 您 有 需要 我 重新 帮 您 申请 安排 当地 的 师傅 再 帮 您 去 确认 好 的 行恩 这边 地址 麻烦 您 告诉 我 一下   也 是 在 湖里 吗
您好 请 讲   嗯 您 是 有 打算 安装 我们 移动 的 宽带 业务 对 吧   嗯 那 您 不要 挂机 我们 给 您 转接 到 我们 的 宽带 专席 您 可以 报 一下 地址 让 他们 查询 一下 如果 能装 就 有 他们 直接 为 您 受理 的 好 吗 号 好好 好好 好 的 那 现在 为 您 转接 了 祝您 天天 好 心情 再见
您好 请 说   你好   噢 那 您 电话 不要 挂 我 帮 您 转 宽带 人员 查 一下 您 稍等一下 哈
您好 很 高兴 为您服务   您 是 要 申请 安装 一个 宽带 然后 问 地址 能 不能 安装 是 吗   那 现在 我 这边 现在 的话 立刻 给 您 转接 我们 宽带 新装 专家 这边 请 正在 给 您 核对 您 不要 挂断 电话
你好 有 什么 可以 帮 您   您 是 说 要 装 一条 移动 的 宽带 啊 那 我 帮 您 转接 宽带 专席 请 您 咨询 一下 不要 挂机 好 吗
您好 请 说   您好 先生 您 要 办理 宽带 迁移 是 吗   我 帮 您 转接 到 宽带 村里 让 工作人员 帮 您 登记 一下 好 吗 您 先 不要 挂机
您好 请 说   啊 您 现在 想想 办新 新装 我们 宽带 是 吧 好 的 那 不要 挂机 我 帮 您 转 宽带 专席 帮 您 登记 您 稍等一下 哈
您好 请 讲   您 这边 现在 是 说 本 机要 办 移动 宽带 要 查询 有没有 覆盖 是 吗   我 为 您 转接 我们 的 宽带 专席 帮 您 落实 一下 您 不要 挂机 好 嗯 嗯
您好 女士 要 新装 宽带 吗   噢 好 地址 您 说 我 看 一下 您好   呃 地址 您 说 我 看 一下
您好 很 高兴 为您服务   你好   宽带 线 是 已经 有装 宽带 了 吗
您好   您好 可以 听 得到 吗 先生   啊 有没有 人 告诉 我 一下 我查 一下
嗯 嗯 您好 很 高兴 为您服务   就是 商务楼 您 是 要 装 公司 的 宽带 吗   跟 公司 宽带 的话 您 把 地址 报给 我 帮 您 查 一下 资源 有没有
好 很 高兴 服务   宽带 对 吧 要 安装 宽带 对 吗   您 这边 不要 挂机 为了 更好 为 您 解决问题 我 将 您 的 电话 转 专席 处理 请稍等 啊 好
您好 很 高兴 为您服务   嗯   哎 您好 能 听见 吗
您好 兴 您 服务   唉 你好   现在 主要 什么 问题 下 短信 到底 有没有 资源 还是 什么
很 高兴 为您服务   可以 地址 说 一下   是 哪个 区 的
高兴 您 服务 哎   您 地址 报 一下   预 水路 哪个 玉 啊
您好 很 高兴 为您服务   再见 呃 可以 啊 上海 哪个 区 的   小米 山路
很 高兴 为您服务   噢 好 的 你 把 地址 报 一下 我 帮 您 确认 下   嗯 嗯
您好 很 高兴 为您服务   你好   宝山 什么 地方 呢 请问
您好 很 高兴 为您服务   具体 什么 密码   嗯 嗯
您好 很 高兴 为您服务   海滨 五村 哪个 区 的   宝山 是 吧 好 的 稍 等 我 帮 您 看 一下 正确 肯定 五村 查询 没有 光纤 的
您好 很 高兴 为您服务   办理 宽带   有 这个 活动
