嗯嗯你好 有不能使用是在这个呃查它写村对吧 
您好很高兴为您服务 您好请说 
您好什么可以帮您 信号不好是吧只有那一条快递方式吗 
您好什么可以帮您喂你好 噢现在是在哪里啊 
您好请讲 可以啊您拒绝提供一下具体的地方我们看一下什么原因导致的然后怎么处理 
您好请说幺 呃请说 
是的我你好请讲 您之前在这个地方也是只有两两g吗还是说这样对吗 
您好请说诶你好我是啊 好您这个地址是哪儿的我这边给您上报一下 
您好请说 什么时候出现的是一直都这样吗 
诶您好请讲 信号不好是吗 
您好请说您好 您说宽带吗还是 
您好请讲很高兴为您服务 不能用其他地方可以用吗 
您好很高兴为您服务您好诶你好 噢就是在那边信号非常差就去别的地方是都可以正常就会 
您好请讲 您好您说 
您好很高兴为您服务 诶我想说 
你好请说 呃是什么故障啊 
您好请讲 您好您说 
您好您好电话接通有什么问题要咨询 以前可以用吗 
您好请讲 诶您好 
您好有什么需要帮助的 呃是在厦厦门姓名的是吗 
啊您好请说 你好 
嗯处理您好请讲 什么问题上网功能什么意思啊 
嗯给您造成困扰了非常抱歉那个地址重新报一遍给我不好意思仓山就是是仓山小区释放大学然后呢 稍等一下哈 
您好很高兴为您服务 信号差是吧对 
您好我是预处理专席代表很高兴为您服务 世博路对二十八号返还 
您好请讲 在任何地方还是在固定某一个地方 
您好很高兴为您服务 开个功能什么收费的如果您要使用的话高清视频的话两毛九一分钟语音通话的话按套餐费盘是否正常视频如果不使用视频跟之前一样收费呃视频是什么时间就是高清这个功能来视频电话不是那个范范某也不是什么出省里面视频就是用噢那这号码来修 
很高兴服务 可能信号不好中断有可能您这边要咨询的问题啊先生女士 
您好很高兴为您服务 打其他的呃是您这个手机拨打其他员工的短号无法接通对吗先 
您好兴为您服务 呃是但是这个号码反映的问题对吗 
您好很高兴为您服务您好什么可以帮您 打电话没有给您回复对吗 
您好请讲 那给您添麻烦了您移动号码手机号码多少请问 
您好我是预处理专席代表很高兴为您服务这个这样 您的号码是多少 
您好很高兴为您服务 过一会又没有了是 
您好很高兴服务 你好 
您好很高兴为您服务 呃号码报一下我看一下 
您好很高兴为您服务 噢就是说您不知道自己手机是不是支持四g是吧 
您好很高兴为您服务 您好请问听得到我的声音吗 
您好很高兴服务 他您是有使用的是什么品牌的手机啊先生 
