嗯 嗯 你好   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧
您好 很 高兴 为您服务   您好 请 说
您好 什么 可以 帮 您   信号 不好 是 吧 只有 那 一条 快递 方式 吗
您好 什么 可以 帮 您 喂 你好   噢 现在 是 在 哪里 啊
您好 请 讲   可以 啊 您 拒绝 提供 一下 具体 的 地方 我们 看 一下 什么 原因 导致 的 然后 怎么 处理
您好 请 说 幺   呃 请 说
是 的 我 你好 请 讲   您 之前 在 这个 地方 也 是 只有 两 两 g 吗 还是 说 这样 对 吗
您好 请 说 诶 你好 我 是 啊   好 您 这个 地址 是 哪儿 的 我 这边 给 您 上报 一下
您好 请 说   什么 时候 出现 的 是 一直 都 这样 吗
诶 您好 请 讲   信号 不好 是 吗
您好 请 说 您好   您 说 宽带 吗 还是
您好 请 讲 很 高兴 为您服务   不能 用 其他 地方 可以 用 吗
您好 很 高兴 为您服务 您好 诶 你好   噢 就是 在 那边 信号 非常 差 就 去 别的 地方 是 都 可以 正常 就 会
您好 请 讲   您好 您 说
您好 很 高兴 为您服务   诶 我 想 说
你好 请 说   呃 是 什么 故障 啊
您好 请 讲   您好 您 说
您好 您好 电话 接通 有 什么 问题 要 咨询   以前 可以 用 吗
您好 请 讲   诶 您好
您好 有 什么 需要 帮助 的   呃 是 在 厦 厦门 姓名 的 是 吗
啊 您好 请 说   你好
嗯 处理 您好 请 讲   什么 问题 上网 功能 什么 意思 啊
嗯 给 您 造成 困扰 了 非常 抱歉 那个 地址 重新 报 一遍 给 我 不好意思 仓山 就是 是 仓山 小区 释放 大学 然后 呢   稍等一下 哈
您好 很 高兴 为您服务   信号 差是 吧 对
您好 我 是 预处理 专席 代表 很 高兴 为您服务   世博 路 对 二十八 号 返还
您好 请 讲   在 任何 地方 还是 在 固定 某 一个 地方
您好 很 高兴 为您服务   开个 功能 什么 收费 的 如果 您 要 使用 的话 高清 视频 的话 两毛 九 一分钟 语音 通话 的话 按 套餐 费盘 是否 正常 视频 如果 不 使用 视频 跟 之前 一样 收费 呃 视频 是 什么 时间 就是 高清 这个 功能 来 视频 电话 不是 那个 范范 某 也 不是 什么 出省 里面 视频 就是 用 噢 那 这 号码 来修
很 高兴 服务   可能 信号 不好 中断 有 可能 您 这边 要 咨询 的 问题 啊 先生 女士
