嗯 嗯 你好   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   诶 我 帮 您 看 一下 您 稍 等
您好 很 高兴 为您服务   您好 请 说   嗯 公安网 登 不 进去
您好 什么 可以 帮 您   信号 不好 是 吧 只有 那 一条 快递 方式 吗   呃 那 您 说 您 是 在 平潭 哪里 呢
您好 什么 可以 帮 您 喂 你好   噢 现在 是 在 哪里 啊   福安市 送 您
您好 请 讲   可以 啊 您 拒绝 提供 一下 具体 的 地方 我们 看 一下 什么 原因 导致 的 然后 怎么 处理   嗯 您 说 这种 情况 应该 是因为 是 那 屏蔽 导致 的 那 就 您 提供 一下 具体 在 漳州 哪里 我们 要 派 技术员 上门去 看 一下
您好 请 说 幺   呃 请 说   手机 打 不 出去 电话 是 吧 不客 我 帮 您 这边 刷新 一下 你 待会儿 手机 重启 试一下
是 的 我 你好 请 讲   您 之前 在 这个 地方 也 是 只有 两 两 g 吗 还是 说 这样 对 吗   噢 身边 其他 朋友 也 这 样子 是 吗 嗯 嗯
您好 请 说 诶 你好 我 是 啊   好 您 这个 地址 是 哪儿 的 我 这边 给 您 上报 一下   延平 南平 市区 这边 的 是 吧
您好 请 说   什么 时候 出现 的 是 一直 都 这样 吗   噢 那 手机 有没有 关 开机 重启 再试一下 呢
诶 您好 请 讲   信号 不好 是 吗   请问 您 是 说 地址 在 哪里 三明
您好 请 说 您好   您 说 宽带 吗 还是   就 您 现在 我们 想 了解 一下 是 您 手机 流量 上网 还是 说 家里 的 宽带 呃 就是 校园 的 宽带
您好 请 讲 很 高兴 为您服务   不能 用 其他 地方 可以 用 吗   我们 这边 查询 这个 卡 的 功能 是 正常 的 那 您 周围 其他人 能用 吗
您好 很 高兴 为您服务 您好 诶 你好   噢 就是 在 那边 信号 非常 差 就 去 别的 地方 是 都 可以 正常 就 会   是从 黄翔
您好 请 讲   您好 您 说   手机 上 打电话 网 没有 信号 是 吗
您好 很 高兴 为您服务   诶 我 想 说   嗯
你好 请 说   呃 是 什么 故障 啊   通话 接 打电话
您好 请 讲   您好 您 说   打电话 信号 是 吧
您好 您好 电话 接通 有 什么 问题 要 咨询   以前 可以 用 吗   稍等一下
您好 请 讲   诶 您好   噢 就是 手机信号 很差 是 吧
您好 有 什么 需要 帮助 的   呃 是 在 厦 厦门 姓名 的 是 吗   就 厦门 杏林区 软件园 二期 对 吧
啊 您好 请 说   你好   噢 等 下 我 看 一下 就是 那个 无法 接听 是 吗 没 办法 接到 电话 是 吧
嗯 处理 您好 请 讲   什么 问题 上网 功能 什么 意思 啊   检查一下 您 手机 上 的 数据 开关 的话 有没有 不 小心 关闭 了
嗯 给 您 造成 困扰 了 非常 抱歉 那个 地址 重新 报 一遍 给 我 不好意思 仓山 就是 是 仓山 小区 释放 大学 然后 呢   稍等一下 哈   的 楼 然后 呢
您好 很 高兴 为您服务   信号 差是 吧 对   你 稍等一下 您 的 地址 请报 一下
您好 我 是 预处理 专席 代表 很 高兴 为您服务   世博 路 对 二十八 号 返还   钱 这样
您好 请 讲   在 任何 地方 还是 在 固定 某 一个 地方   嗯 那 您 这个 是 什么 反正 手机 呢 可以 发送 一个 短信 那个 设置 的 一个 方式 跟 之前 的 一个 方式 发送到 您 这边 您 可以 看 一下
您好 很 高兴 为您服务   开个 功能 什么 收费 的 如果 您 要 使用 的话 高清 视频 的话 两毛 九 一分钟 语音 通话 的话 按 套餐 费盘 是否 正常 视频 如果 不 使用 视频 跟 之前 一样 收费 呃 视频 是 什么 时间 就是 高清 这个 功能 来 视频 电话 不是 那个 范范 某 也 不是 什么 出省 里面 视频 就是 用 噢 那 这 号码 来修   这边 的话 这个 第一个 您 要 手机 支持 双方 掉 之前 手机卡 要 支持 四 g 网络 手机 上 还要 开通 这个 业务 打电话 的 时候 上面 可以 先换 的 先 传到 那个 视频 通话 的 就是 就是说 手机号 您 可以 看到 对 稍后 电脑 做 这个 业务 对 好 再见
很 高兴 服务   可能 信号 不好 中断 有 可能 您 这边 要 咨询 的 问题 啊 先生 女士   对 上海 移动
您好 很 高兴 为您服务   打 其他 的 呃 是 您 这个 手机 拨打 其他 员工 的 短号 无法 接通 对 吗 先   噢 可以 呃 那 我 想 问 一下 你 打过 员工 的 手机号码 能 不能 报 一下 我 帮 您 查询 一下 业务 嗯 嗯
您好 兴 为您服务   呃 是 但是 这个 号码 反映 的 问题 对 吗   我 帮 您 记录 这个 号码 上 现在 这个 应该 是 之前 的 吧 超过 六个月 了 是 吧 最近 三个 月 都 没有 记录 呀 您 在 哪个 区 先生 您好 在 哪个 区
您好 很 高兴 为您服务 您好 什么 可以 帮 您   打电话 没有 给 您 回复 对 吗   哦 到时候 给 您 实际 测试 了 在 那个 噢 信号 偏弱 通话质量 差 然后 那边 说 有 房屋 商铺 过密 有 产品 出 账单 的 信号 收到 的
您好 请 讲   那 给 您 添麻烦 了 您 移动 号码 手机号码 多少 请问   我 知道 了 那 您 移动 号码 多少 呢 我 这边 也 需要 帮 您 记录 的
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这个 这样   您 的 号码 是 多少   幺 三九 幺
您好 很 高兴 为您服务   过 一会 又 没有 了 是   您 这个 的话 是 在 固定 的 地方 这样 还是 就是说 是 那个 所有 地方 都 这样
您好 很 高兴 服务   你好   周围 人 都 超 吗 先生
您好 很 高兴 为您服务   呃 号码 报 一下 我 看 一下   手机 服务 密码 知道 哇
您好 很 高兴 为您服务   噢 就是说 您 不 知道 自己 手机 是不是 支持 四 g 是 吧   我 想想 那 这样 吧 您 手机 我 也 不 清楚 帮 您 转接 这边 苹果 终端 您 手机 他们 帮 您 看看
您好 很 高兴 为您服务   您好 请问 听 得到 我 的 声音 吗   这边 是 什么 问题 信号 问题 吗
您好 很 高兴 服务   他 您 是 有 使用 的 是 什么 品牌 的 手机 啊 先生   我 这边 把 iphone 上网 参数 发给您 在 您 手机 上 把 参数 重置 一下 重置 好 了 之后 再 重启 一下 您 的 手机 试一下
为您服务 唉 小姐 你好   这 上网 功能 流量 是 正常 的 您 手机 上 数据 开关 是不是 王开 了 呢 看 了 没有   对 您 开通 的话 就 开 了 看到 这个 开通 的话 手机 有试 过 重启 吗 关机 重启 一下
您好 很 高兴 为您服务   噢   哎 好 您 稍 等 不要 挂机 为了 更好 的 为 您 解决问题 我 将 您 电话 噢 我 看到 您 噢 的 没有 反映 过帮 您 反映 上去 啊 我 将 您 电话 转接 专席 处理 由 专人 为 您 解答 请 您 稍 等
您好 很 高兴 为您服务   嗯 嗯 嗯 现在 收不到 是 吗 什么样 的 短信 是 您 朋友 给 您 报 的 还是 什么   什么
您好 很 高兴 为您服务   是 您 在 跟 别人 通话 过程 当中 别人 在 打电话   通话 都 会 有人 提示 是 空号 是 吧
您好 兴 您 服务 您好   您好 您 说   陈 西路 和 哪条 路 您 这边 是
您好 很 高兴 为您服务   原来 什么   啊 去 反映 什么 问题 吗
您好 我 是 预处理 专席 代表 很 高兴 为您服务 您 是 反映 信号 不好   嗯 是 具体 什么 地方 信号 不好 请   这个 地址 是 什么 地方
很 高兴 为您服务   然后 现 投诉 电话 信号 嗯   那个 工作人员 给 您 说 会 给 您 装 了 是 吧 大厦
您好 很 高兴 为您服务   就是 宽带 还是 挺 好   好 那 为了 更好 解决问题 为 您 转接 至 专席 有 专人 为 您 请稍等
您好 很 高兴 为您服务 谢谢 你好   换 什么 帮 您 换 什么 东西 的 本来 是   那个 坏 了 信号 放大器 对 吧
您好 很 高兴 为您服务   噢 好 请 稍等一下 您 是 在 哪个 区 啊   浦东新区 然后 是 具体 哪条 路上 您 是 在
您好 很 高兴 服务   出去 对 吧   你好 您 现在 现在 什么 问题 啊 是 宽带 上 不了 是 吗 还是 手机 上 不了 了 手机 手机 数据 最低 上 不了 对 吗 二三 g 网络 能用 吗
您好 很 高兴 为您服务   哦 好 的 稍等一下 好 的 先生 您 现在 呃 小区 覆盖范围 内 没有 信号 是 吧 幺 七六 的 覆盖 好 的 周围 其他 移动用户 也 是 同样 情况 是 吧   二 三四 g 网络 都 没有 是 吧
您好 很 高兴 为您服务 你 这 是 移动 的 是 吧 在 上海 移动   什么 意思 先生 您 是 遇到 什么 问题 吗   是 在 那边 移动 信号 现在 打 不 出去 啦 是 这 意思 吗
您好 很 高兴 为您服务   请 说   嗯 嗯
您好 很 高兴 服务   是 上 网上 不了 了 是 吗 的 那种 跟 您 说 什么 问题 吗 的 手机 啊 先生   好 我 这边 把 上网 参数 发给您 跟 手机 上班 参数 重置 一下 重置 好 了 之后 再 把 您 手机 关机 重启 试一下
您好 很 高兴 为您服务   我 也 是 不能 接听电话 呃 您 有没有 在 自己 手机 上 输入 那个 井号 井 号 二 幺 井 号 但 通话 键 设置 过 了 吗 请 您 进行 幺 井 建议您 先 设置 一下 噢 在 手机 上 输入 井井 二幺井 然后 再 按 通话   嗯 对 的 然后 再 按 拨号键
您好 很 高兴 为您服务 唉 喂 你好   我 这个 四 g 怎么 打不开 了 就是 那个 两 g 是 没有 了 就是 手机 上面 您 的 您 把 上网 功能 关掉 了 我 帮 您 重新 恢复 一下 您 手机 密码 知道 吗 手机 手机 密码 知道 了 好 那 您 输入 一下 十块钱   我用 的话 就是 按 套餐 大街
您好 很 高兴 为您服务   嗯 嗯 就 打 您 电话 去 就 只 想 一声 然后 之后 的话 就是 显示 通话 中 是不是   就是 打 您 的 手机 是 吧 然后 就 只 就 想 然后 这样 在 通话 中 然后 您 这边 还 没有 这个 来电 的 记录 是 吗
您好 很 高兴 为您服务   呃 人 是 根据 广大 用户 不变 反感 的 垃圾 短信 问题 为了 避免 广大 用户 受其 骚扰 我 公司 你们 部门 的 要求 在 上海 可以 帮 您 短信 的 处理 力度 目前 主要 通过 用户 举报 发现 任何 处理 垃圾 短信 这个 号码 显示 有人 去 帮 您 发 商业 性质 的 广告 信息 那 我 现在 帮 您 恢复 了 以后 注意 一下 就 可以 了 还有 什么 可以 帮 您 的   好 了 好 祝您 生活 愉快 再见
您好 很 高兴 为您服务 喂 唉 你好   他 说 设备 的话 是 家里 还是   他 说 是 您 家里 的 设备 坏掉 了 那 他 有没有 说 要 给 您 换 设备 吗
为您服务   先生   那 我 在 听
对 吗   宽带 不能 用 是 吧 地址 是 哪里 呢   生 身边 六
很 高兴 为您服务   哪个 号码 我 看 一下 手机号   嗯 嗯 这个 密码 知道 吗
您好 兴 为您服务   恩好 的 我 看 一下   上面 显示 原因 是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题 为了 平台 可能 也 会 收 取消 了 我 公司 根据 有关 部门 要求 到 账 了 对 垃圾 短信 推荐 阅读 目前 主要 通过 用户 举报 发现 除了 这些 短信 这个 号码 有 已经 帮 您 发 商业 申请 的 广告 信息 我 现在 帮 您 恢复 开 好像 能 帮 您 开一开 好 了 直接 找 那个 重启 一下 手机 就 可以 了 还有 什么 帮 您 的 吗 不 客气
我 这 看 一下 那个 短信 的话 跟 您 之前 的 那个 情况 是 一样 的 之前 恢复 了 现在 又 停掉 了 原因 就是 根据 广大 用户 普遍 反感 的 垃圾 短信 问题   其他 短信 不会 的 呀 我 现在 帮 您 重新 恢复 了 然后 现在 可以 发给您 是 看 之前 的话 就 停 了 现在 帮 您 重新   关机 重启 一下 对 的
您好 很 高兴 为您服务   麻烦 您 把 手机号码 报 一下 我 给 您 查询 一下   密
您好 很 高兴 服务   呃   通话 自动 断掉
很 高兴 为您服务   噢 好 的 原因 是 跟 您 说 一下 根据 广大 用户 不变   呃 就是 流量 就 帮 您 发 商业性 的 广告 信息 我 现在 恢复 您 稍等一下 就 现在 目前 已经 停掉 多少 暂时 不能 恢复 的 我 可以 帮 您 转到 专席 给 您 反映 一下 或者 帮 您 受理 下来 由 专人 给 您 处理 的
您好 很 高兴 为您服务   嗯 您 周围 其他 移动 号码 都 有 这个 问题 吗   的 问题 的话 可能 是 信号 问题 的 其他 问题 的话 我们 有 您 大概 问题 有 多久 了 呢
