嗯 嗯 你好   有 不能 使用 是 在 这个 呃查 它 写 村 对 吧   诶 我 帮 您 看 一下 您 稍 等   噢 那 这个 问题 的话 我 再 帮 您 报上去 那 其他 还有 什么 可以 帮助 您 的
您好 很 高兴 为您服务   您好 请 说   嗯 公安网 登 不 进去   您 这边 上网 功能 是 正常 开通 的 我们 我们 这边 功能 是 正常 开 的 如果 您 就 公安网 也 不了 这个 我 还 需要 给 您 打 公安 客服 问 一下 他
您好 什么 可以 帮 您   信号 不好 是 吧 只有 那 一条 快递 方式 吗   呃 那 您 说 您 是 在 平潭 哪里 呢   呃 那 这个 您 可以 说 那个 具体地址 呢 因为 呃 您 知道 我们 这边 可能 不是 平台 您 就是 把 那个 具体 的 是 平潭 镇 然后 哪个 哪个 镇 哪个 村 然后 记录 哪个 路 几号 这 样子
您好 什么 可以 帮 您 喂 你好   噢 现在 是 在 哪里 啊   福安市 送 您   桂林
您好 请 讲   可以 啊 您 拒绝 提供 一下 具体 的 地方 我们 看 一下 什么 原因 导致 的 然后 怎么 处理   嗯 您 说 这种 情况 应该 是因为 是 那 屏蔽 导致 的 那 就 您 提供 一下 具体 在 漳州 哪里 我们 要 派 技术员 上门去 看 一下   呃 是 属于 哪个 县
您好 请 说 幺   呃 请 说   手机 打 不 出去 电话 是 吧 不客 我 帮 您 这边 刷新 一下 你 待会儿 手机 重启 试一下   哎 噢 我 帮 您 这边 刷新 您 待 会 手机 重启 一下 开
是 的 我 你好 请 讲   您 之前 在 这个 地方 也 是 只有 两 两 g 吗 还是 说 这样 对 吗   噢 身边 其他 朋友 也 这 样子 是 吗 嗯 嗯   直接 您 的 号码 这 样子 还是 会 不会 知道
您好 请 说 诶 你好 我 是 啊   好 您 这个 地址 是 哪儿 的 我 这边 给 您 上报 一下   延平 南平 市区 这边 的 是 吧   稍 等
您好 请 说   什么 时候 出现 的 是 一直 都 这样 吗   噢 那 手机 有没有 关 开机 重启 再试一下 呢   那 应该 是 这个 地方 的 信号 问题 了 地址 提供 一下 泉州 是 吗
诶 您好 请 讲   信号 不好 是 吗   请问 您 是 说 地址 在 哪里 三明   三明市 然后 呢 沙县 吗
您好 请 说 您好   您 说 宽带 吗 还是   就 您 现在 我们 想 了解 一下 是 您 手机 流量 上网 还是 说 家里 的 宽带 呃 就是 校园 的 宽带   先生 也就是说 您 现在 的话 就是说 在 校园 的话 信号 不好 是 吧
您好 请 讲 很 高兴 为您服务   不能 用 其他 地方 可以 用 吗   我们 这边 查询 这个 卡 的 功能 是 正常 的 那 您 周围 其他人 能用 吗   其他人 旁边 用 也 是 用 移动 卡 他们 可以 用 完
您好 很 高兴 为您服务 您好 诶 你好   噢 就是 在 那边 信号 非常 差 就 去 别的 地方 是 都 可以 正常 就 会   是从 黄翔   嗯 嗯 好 呃 是 大概 从 什么 时候 开始 出现 这个 块 的
您好 请 讲   您好 您 说   手机 上 打电话 网 没有 信号 是 吗   汇总 周围 的 其他 移动用户 有没有 出现 同样 的 情况
您好 很 高兴 为您服务   诶 我 想 说   嗯   你好 我 帮 您 看 一下 您 请稍等 啊
你好 请 说   呃 是 什么 故障 啊   通话 接 打电话   就 在 哪个 位置 的 位置 告诉 我 一下
您好 请 讲   您好 您 说   打电话 信号 是 吧   哎 周围 其他 移动用户 有没有 出现 同样 的 情况
您好 您好 电话 接通 有 什么 问题 要 咨询   以前 可以 用 吗   稍等一下   身边 有 其他 移动 客户 嘛 他们 能 不能 正常 使用
您好 请 讲   诶 您好   噢 就是 手机信号 很差 是 吧   同一个 地方 还是 在 很多 地方 呢
您好 有 什么 需要 帮助 的   呃 是 在 厦 厦门 姓名 的 是 吗   就 厦门 杏林区 软件园 二期 对 吧   就 厦门 湖里 软件园 二期 对 对 对 对 稍等一下 我 帮 您 查 一下 哈
啊 您好 请 说   你好   噢 等 下 我 看 一下 就是 那个 无法 接听 是 吗 没 办法 接到 电话 是 吧   噢 就是 您 就 您 现在 自己 做 安装 安装 宽带 的 这个 地方 是 吧
嗯 处理 您好 请 讲   什么 问题 上网 功能 什么 意思 啊   检查一下 您 手机 上 的 数据 开关 的话 有没有 不 小心 关闭 了   这个 要 您 自己 手机 上去 查 一下 但 我 这边 帮 您 核实 现在 上网 功能 是 有 正常 开通 的
嗯 给 您 造成 困扰 了 非常 抱歉 那个 地址 重新 报 一遍 给 我 不好意思 仓山 就是 是 仓山 小区 释放 大学 然后 呢   稍等一下 哈   的 楼 然后 呢   嗯 之前 的话 可以 用 吗
您好 很 高兴 为您服务   信号 差是 吧 对   你 稍等一下 您 的 地址 请报 一下   昆山
您好 我 是 预处理 专席 代表 很 高兴 为您服务   世博 路 对 二十八 号 返还   钱 这样   是国 管路 二十 兆 好像 用 不到 嘛 那 有没有 交叉路口
您好 请 讲   在 任何 地方 还是 在 固定 某 一个 地方   嗯 那 您 这个 是 什么 反正 手机 呢 可以 发送 一个 短信 那个 设置 的 一个 方式 跟 之前 的 一个 方式 发送到 您 这边 您 可以 看 一下   好 的 那 这边 的话 帮 您 把 这个 安卓 系统 的 一个 设置 方式 发给您 或者 我 这边 也 可以 为 您 转到 我们 的 手机 专席 只能 看到 您 一个 最 原来 那个 套餐 方式 您 可以 了解 一下
您好 很 高兴 为您服务   开个 功能 什么 收费 的 如果 您 要 使用 的话 高清 视频 的话 两毛 九 一分钟 语音 通话 的话 按 套餐 费盘 是否 正常 视频 如果 不 使用 视频 跟 之前 一样 收费 呃 视频 是 什么 时间 就是 高清 这个 功能 来 视频 电话 不是 那个 范范 某 也 不是 什么 出省 里面 视频 就是 用 噢 那 这 号码 来修   这边 的话 这个 第一个 您 要 手机 支持 双方 掉 之前 手机卡 要 支持 四 g 网络 手机 上 还要 开通 这个 业务 打电话 的 时候 上面 可以 先换 的 先 传到 那个 视频 通话 的 就是 就是说 手机号 您 可以 看到 对 稍后 电脑 做 这个 业务 对 好 再见   对 是 的
很 高兴 服务   可能 信号 不好 中断 有 可能 您 这边 要 咨询 的 问题 啊 先生 女士   对 上海 移动   你 下载 的 和 教授 是 客户端 吗
您好 很 高兴 为您服务   打 其他 的 呃 是 您 这个 手机 拨打 其他 员工 的 短号 无法 接通 对 吗 先   噢 可以 呃 那 我 想 问 一下 你 打过 员工 的 手机号码 能 不能 报 一下 我 帮 您 查询 一下 业务 嗯 嗯   就 长号 就 它 对应 的 手机号码 你查 一下 报给 我 我 帮 您 确认 一下
您好 兴 为您服务   呃 是 但是 这个 号码 反映 的 问题 对 吗   我 帮 您 记录 这个 号码 上 现在 这个 应该 是 之前 的 吧 超过 六个月 了 是 吧 最近 三个 月 都 没有 记录 呀 您 在 哪个 区 先生 您好 在 哪个 区   先生 您好 听 得到 吗 您好 先生 您 还 在 吗 套
您好 很 高兴 为您服务 您好 什么 可以 帮 您   打电话 没有 给 您 回复 对 吗   哦 到时候 给 您 实际 测试 了 在 那个 噢 信号 偏弱 通话质量 差 然后 那边 说 有 房屋 商铺 过密 有 产品 出 账单 的 信号 收到 的   好 那 这边 的话 我 帮 您 再次 反映 一下 要么 家人 给 您 处理 一下 帮 您 保持 手机 畅通 我们 四十八 小时 会 给 您 联系 的
您好 请 讲   那 给 您 添麻烦 了 您 移动 号码 手机号码 多少 请问   我 知道 了 那 您 移动 号码 多少 呢 我 这边 也 需要 帮 您 记录 的   好 的 幺 三 六
您好 我 是 预处理 专席 代表 很 高兴 为您服务 这个 这样   您 的 号码 是 多少   幺 三九 幺   二五
您好 很 高兴 为您服务   过 一会 又 没有 了 是   您 这个 的话 是 在 固定 的 地方 这样 还是 就是说 是 那个 所有 地方 都 这样   就是 我 今天 刚刚开始 是 吧
您好 很 高兴 服务   你好   周围 人 都 超 吗 先生   好 为了 更好 为 您 解决问题 我 将 您 的 电话 转 专席 处理 请稍等
您好 很 高兴 为您服务   呃 号码 报 一下 我 看 一下   手机 服务 密码 知道 哇   好 麻烦 您 先 输入 一下 先生
您好 很 高兴 为您服务   噢 就是说 您 不 知道 自己 手机 是不是 支持 四 g 是 吧   我 想想 那 这样 吧 您 手机 我 也 不 清楚 帮 您 转接 这边 苹果 终端 您 手机 他们 帮 您 看看   不是 您 手机 不 支持 四 g 它 只能 换 手机 没法用 四 g 的 什么 叫 数据 同步 是 您 是 需要 什么
您好 很 高兴 为您服务   您好 请问 听 得到 我 的 声音 吗   这边 是 什么 问题 信号 问题 吗   好 的 是 在 上海市 什么 区 啊
您好 很 高兴 服务   他 您 是 有 使用 的 是 什么 品牌 的 手机 啊 先生   我 这边 把 iphone 上网 参数 发给您 在 您 手机 上 把 参数 重置 一下 重置 好 了 之后 再 重启 一下 您 的 手机 试一下   好 吧 啊 再见 好 如 对 服务满意 请 按 十分 评价 祝您 生活 愉快 再见 嗯
为您服务 唉 小姐 你好   这 上网 功能 流量 是 正常 的 您 手机 上 数据 开关 是不是 王开 了 呢 看 了 没有   对 您 开通 的话 就 开 了 看到 这个 开通 的话 手机 有试 过 重启 吗 关机 重启 一下   对 重启 一下 在 这边 我 系统 里 正常 的 没 问题
您好 很 高兴 为您服务   噢   哎 好 您 稍 等 不要 挂机 为了 更好 的 为 您 解决问题 我 将 您 电话 噢 我 看到 您 噢 的 没有 反映 过帮 您 反映 上去 啊 我 将 您 电话 转接 专席 处理 由 专人 为 您 解答 请 您 稍 等
您好 很 高兴 为您服务   嗯 嗯 嗯 现在 收不到 是 吗 什么样 的 短信 是 您 朋友 给 您 报 的 还是 什么   什么   那 我 这边 呃 您 的 手机 什么 手机 呢
