您好什么可以帮您 我帮您检查一下您稍等一下其实是那个三十块五百兆嘛我看了一下这个比较早开通了如果这个不要可以取消 现在最少三十块钱一个g了 
请您好什么帮您诶您好 我看一下噢先生您这边新入网的时候您当时去年八月份就是三十八元的套餐呀 流量一百兆跟来电显示可以噢 
您好很高兴为您服务 稍等我帮您看一下噢您说的是那个手机阅读吗那您这是一个手机阅读帮您取您是不需要这个我帮您取消吧 稍等已经帮您取消了下个月就没有啦 
你好很高兴您服务 你好 稍等一下这个是身登记的一个宽带您是说您没有要求办这个宽带吗 
您好很高兴为您服务喂你好恩你好 您稍等我帮您查看一下噢恩好稍等 咪咕特级噢这个是赠送的您好下个月到期也自动取消了那个是彩铃的服务八月份当时送给您的 
你好很高兴为您服务 嗯 嗯嗯 
您好请讲 你好 就是您现在这个月用的是旧的三十八套餐下个月就是新的三十八套餐就是虽然说四就是都是三十八块但是流量跟分钟数超了很多就是您下个月如果都在三明打就有三百分钟然后如果都在福建省上网就一点五g这样子 
您好请讲你好 噢好稍等一下噢那是本身有办理一个包月四十元的如果不要我现在帮您取消 能是在去年呃上个月九月份的时候办理的通过短信办理的 
您好请讲 全球通 一六年不是已经用的是全球通了吗 
啊您好很高兴服务 校讯通对啊这个就取消开通这样您看要取消掉吗 对没错 
您好请讲 好的您稍等我看一下上个月的扣费是不是啊 嗯这个月目前的消费是三十块 
您好请说您好我因为前两个月我就打电话给你们那边噢呃就是说那个什么每个月什么咪咕音乐啊每个月都要扣六块钱的不是给我扣了多少个月了每个月都给我扣但是我从来没有开通这个业务以前两个月我就反映过这个问题了结果还在给我扣你说的是咪咕六块钱是吧 办一下没有开啦哎 上个月您来电显示上个月 
您好高兴为您服务 诶请讲 嗯嗯好我看一下哈呃它那个是赠送给您的就是给您送了五百兆的流量进来下个月一号就自动取消了那个不收费的 
您好什么可以帮助您 之前是您自己去申请的吗 您这边的话是去哪里停办的 
您好您请说有什么可以帮到您 恩好为您查看北京六度畅游网络技术这个是吗 就是按次点播的我帮您把点播功能关闭好吗 
您好请说 公司扣款您是收到短信是吗 您稍等马上帮您查询一下 
您好请讲 恩马上帮您查询感谢耐心等待那这边帮您查询的话您说的这个它这个五十块钱全部由我们公司出的就当时那个幺三九套餐的时候它有多送你一g的那个流量 呃不是他是提前给您返还 
