您好 什么 可以 帮 您   我 帮 您 检查一下 您 稍等一下 其实 是 那个 三十块 五百 兆 嘛 我 看 了 一下 这个 比较 早 开通 了 如果 这个 不要 可以 取消
请 您好 什么 帮 您 诶 您好   我 看 一下 噢 先生 您 这边 新 入网 的 时候 您 当时 去年 八月份 就是 三十八 元 的 套餐 呀
您好 很 高兴 为您服务   稍 等 我 帮 您 看 一下 噢 您 说 的 是 那个 手机 阅读 吗 那 您 这 是 一个 手机 阅读 帮 您 取 您 是 不 需要 这个 我 帮 您 取消 吧
你好 很 高兴 您 服务   你好
您好 很 高兴 为您服务 喂 你好 恩 你好   您 稍 等 我 帮 您 查看 一下 噢 恩 好 稍 等
你好 很 高兴 为您服务   嗯
您好 请 讲   你好
您好 请 讲 你好   噢 好 稍等一下 噢 那 是 本身 有 办理 一个 包月 四十元 的 如果 不要 我 现在 帮 您 取消
您好 请 讲   全球通
啊 您好 很 高兴 服务   校 讯通 对 啊 这个 就 取消 开通 这样 您 看 要 取消 掉 吗
您好 请 讲   好 的 您 稍 等 我 看 一下 上个月 的 扣费 是不是 啊
您好 请 说 您好 我 因为 前 两个 月 我 就 打电话 给 你们 那边 噢 呃 就是说 那个 什么 每个 月 什么 咪咕 音乐 啊 每个 月 都 要 扣 六块钱 的 不是 给 我 扣 了 多少 个 月 了 每个 月 都 给 我 扣 但是 我 从来 没有 开通 这个 业务 以前 两个 月 我 就 反映 过 这个 问题 了 结果 还 在 给 我 扣 你 说 的 是 咪 咕 六块钱 是 吧   办 一下 没有 开 啦 哎
您好 高兴 为您服务   诶 请 讲
您好 什么 可以 帮助 您   之前 是 您 自己 去 申请 的 吗
您好 您 请 说 有 什么 可以 帮到 您   恩好 为 您 查看 北京 六度 畅游 网络 技术 这个 是 吗
您好 请 说   公司 扣款 您 是 收到 短信 是 吗
您好 请 讲   恩 马上 帮 您 查询 感谢 耐心 等待 那 这边 帮 您 查询 的话 您 说 的 这个 它 这个 五十块 钱 全部 由 我们 公司 出 的 就 当时 那个 幺 三九 套餐 的 时候 它 有 多 送 你 一 g 的 那个 流量
你 那 您好 高兴 您 服务 您好 我 刚才 在 那个 手机 查询 那个   那 就 这样
支付宝 您好 请 讲 再见 您好   呃 你好 你 帮 我 那个 刚刚
诶 您好   诶 您好 请 说
嗯 您好 请 讲   嗯 嗯
您好 您 说   另外 一部 手机 的 彩印
您好 请 讲   就 说 您 当时 八 四八 套餐 的 时候 它 这边 跟 您 说 没有 开通 其他 的 业务
您好 高兴 您 服务   对 啊 您 是 下个月 改成 幺 三八 套餐 呢 可以 在 龙岩 本地 流量 不 限量 用 的 您 这边 有没有 呢
您好 请 说   你好
噢 我 这边 帮 您 看到 您 的 套餐 是 十八块 钱 一个月 的 然后 套餐 外 的话 就是 有 那个 呃 流量 的话 一共 是 六百 兆 的 省内 流量 那个 是 赠送 的 这个 您 不用 花钱 开通 的 然后 其他 业务 的话 我 也 帮 您 查 了 呀 您 这边 嗯 也 没有 开通 什么 其他 收费 业务 啊   噢 套餐 外 上网 的话 那个 是 原因 是 您 的 流量 超过 的 噢 流量 超 了 上 产生 的 费用
您好 请 说   嗯
嗯 您 查询 有 有 扣 什么 钱 吗   呃 您 手机 没有 开彩 铃 啊 您 什么 时候 看到 有 开彩 铃 的
您好 很 高兴 为您服务   稍等一下 您 不要 挂机
您好 很 高兴 为您服务 您好   刚刚 办 的 下午 一点多
哎 您好 请 讲   噢 那 是 校 讯通 的 这个 如果 您 不 需要 可以 帮 您 关掉
您好 请 说   我 帮 您 看 稍等一下
你好   什么 来电 啊 什么 东西 啊 我查 一下 哈
您好 请 讲   什么 有 和 留言 什么 意思 啊 啊 什么 业务
哦   您好 请 讲
您好 请 讲   呃 可以 啊 我 看 一下 您 稍等一下
