您好 什么 可以 帮 您   我 帮 您 检查一下 您 稍等一下 其实 是 那个 三十块 五百 兆 嘛 我 看 了 一下 这个 比较 早 开通 了 如果 这个 不要 可以 取消   现在 最少 三十块 钱 一个 g 了
请 您好 什么 帮 您 诶 您好   我 看 一下 噢 先生 您 这边 新 入网 的 时候 您 当时 去年 八月份 就是 三十八 元 的 套餐 呀   流量 一 百兆 跟 来电显示 可以 噢
您好 很 高兴 为您服务   稍 等 我 帮 您 看 一下 噢 您 说 的 是 那个 手机 阅读 吗 那 您 这 是 一个 手机 阅读 帮 您 取 您 是 不 需要 这个 我 帮 您 取消 吧   稍 等 已经 帮 您 取消 了 下个月 就 没有 啦
你好 很 高兴 您 服务   你好   稍等一下 这个 是 身 登记 的 一个 宽带 您 是 说 您 没有 要求 办 这个 宽带 吗
您好 很 高兴 为您服务 喂 你好 恩 你好   您 稍 等 我 帮 您 查看 一下 噢 恩 好 稍 等   咪咕 特级 噢 这个 是 赠送 的 您好 下个月 到期 也 自动 取消 了 那个 是 彩铃 的 服务 八月份 当时 送给 您 的
你好 很 高兴 为您服务   嗯   嗯 嗯
您好 请 讲   你好   就是 您 现在 这个 月 用 的 是 旧 的 三十八 套餐 下个月 就是 新 的 三十八 套餐 就是 虽然 说 四 就是 都 是 三 十八块 但是 流量 跟 分钟 数超 了 很多 就是 您 下个月 如果 都 在 三明 打 就 有 三百 分钟 然后 如果 都 在 福建省 上网 就 一点 五 g 这 样子
您好 请 讲 你好   噢 好 稍等一下 噢 那 是 本身 有 办理 一个 包月 四十元 的 如果 不要 我 现在 帮 您 取消   能 是 在 去年 呃 上个月 九月份 的 时候 办理 的 通过 短信 办理 的
您好 请 讲   全球通   一 六年 不是 已经 用 的 是 全球通 了 吗
啊 您好 很 高兴 服务   校 讯通 对 啊 这个 就 取消 开通 这样 您 看 要 取消 掉 吗   对 没错
您好 请 讲   好 的 您 稍 等 我 看 一下 上个月 的 扣费 是不是 啊   嗯 这个 月 目前 的 消费 是 三十块
您好 请 说 您好 我 因为 前 两个 月 我 就 打电话 给 你们 那边 噢 呃 就是说 那个 什么 每个 月 什么 咪咕 音乐 啊 每个 月 都 要 扣 六块钱 的 不是 给 我 扣 了 多少 个 月 了 每个 月 都 给 我 扣 但是 我 从来 没有 开通 这个 业务 以前 两个 月 我 就 反映 过 这个 问题 了 结果 还 在 给 我 扣 你 说 的 是 咪 咕 六块钱 是 吧   办 一下 没有 开 啦 哎   上个月 您 来电显示 上个月
