哎那天只能提醒 行行好的哎 
帮我输入电话号码 幺五八八 
帮我的这个电话转入那个语音要语音提醒 不用了噢 
诶你好二十八号生效啊把我那个幺三八五幺三八五零七零二零七七这个号码呼叫转移到我这个手机上 好的 
您好高兴您服务你好帮我设置一下呼叫转移到哪个号码呼叫转移幺三四 八九零七三九零四四四六六 
喂你好帮我提升包那个那个那个那个弄几首 对 
嗯 哦哦 
诶你好那个那边可以帮我对啊 噢我说帮我设置一个彩铃 
你好需要什么帮助诶你好帮我设置一个流程彩铃彩铃拨打幺二五三零进行设置 现在 
帮我转接一个号码我把号码报给 对那个号码多少幺五八五九六 
呃您好我想设置一个呼叫转移 对就别人打过来如果想号几声没有人接的话帮我 
再见 嗯嗯喂 
嗯嗯 你好帮我设置一个呼叫转移他机转本机 
看就是我另外一个手机忘记带了帮我转移到本机号码上用户账转移 就是另外一个手机的吗 
喂你好帮我设置一个彩铃嗯嗯 好 
嗯嗯 嗯诶你好好我想把一个那个厦门的移动号码那个短信那个呼叫转接到这个号码怎么 
帮我说电话都呼转到来电提醒 嗯 
服务喂 哎你好我是想把那个你能不能把我的手机就转移到就是接电话不方便然后转移到 
帮我全部存到来电 好 
哎帮我这个电话转移来电提醒 吴晓新的 
哎你好我想要那个帮我查我那个手机号设置那个呼叫转移但是不是我这部手机因为我手机 这个 
拜拜 幺三八五零九六幺九 
嗯嗯 你好我这个手机快没电了嗯然后能不能帮我这个那边转移到另外一个电话 
诶你好能不能帮我呃那个幺三七六三八八五四零八这部手机呃呼叫转移到这部手机来啊 有没有没有啊我就是幺三七的月租 
帮我手机号码呼叫转移嗯无条件呼叫转移到本机 幺三五的呃呼转到全部呼转到幺七三 
麻烦你一下就帮我那个无条件转到嘞 嗯谢谢啊 
块 帮我另外一个手机呼叫他才呼叫转移本机 

诶您好我要设置一个我的号码他的来电 另外一个号码转到本机 
呃帮我转接一个号码我把号码报给你 应该是 
喂你好你帮我数据的号码转入那个短信提醒 就就是非要打电话就就就就短信通知我就完了 
不要 我我我本机噢如果是关机还是或者没信号一要转到别的手机号码 
诶你好我想换个彩铃 嗯对对对嗯 
哎你好麻烦你帮我本机呼呼转的是那个吧来电转接一下吧 诶没错 
哎你好 麻烦你把我所有来电转成短信 
诶你好你帮我看一下那个嗯我的那个来电显示呃来电有一一个提醒来电提醒它是转移的那个移动公司呃帮我改成短信的帮我把那个呼叫转移的改一下 对对对因为我手机好像设置不了 
我想换彩铃 ok 
诶你好女士我想那个换彩铃是在你这里换吗 幺二五八零是吧 
你好嗯帮我把我电话转短信 对 
哎 诶帮我这个电话呼叫转移一下 
哎你好麻烦你帮我跟转接到来电短信 这就是那个明天要看一下啊 
呃您好我想把幺三八五零九九六六八五这个号码呼转到我现在这手机上 幺三八五零九九六六八五 
就是我那个一个交出吗就是他现在在国外就在外面然后现在就说那个那边没有网络他想这下手机呼转 打电话怎么 
喂你帮我加一个亲情号码进去吗 对对对幺八三百 
哎你好我想那个申请一下那个家庭不要 是叫什么家庭套餐是不是 
喂你好他机 幺三五幺三五幺五零零 
你好我那个这个号码想跳转到那个号码怎么弄 是直接就是跳到另外那个号码嘛我现在这个号码换了旁边就是用不到手机有时候没接不到嘛能查到我的 
喂您好 噢那个彩铃怎么换掉啊 
喂你好 诶我想问一下我们这个移动能办理呢个就是说不是呼叫转移能转移到别的就是别的那个 
你帮我那个彩铃要帮我彩铃换一换了港澳台跟 不算换起来要钱吗 
诶帮我这个铃声改成正常的呃不要用这种彩印 噢不要下载就帮我查询取消就是正常省 
喂你好我这呼叫转移 办理我本机号码转到其他号码好的您本机的服务密码知道吗幺七幺幺四 
好吧 五二五请唉我想请你帮我把幺三五零幺八二七幺八这个电话号码转到这个所有的来电转到这个手机号幺三五零五零八幺八二七七幺八 
嗯嗯嗯嗯喂你好你帮我的一个一个彩铃删掉好吧 现在打过来这个号码 
然后我想在那个就是三块钱的然后里面再加个号好 嗯嗯好 
额那个电话号码是幺三八 幺六二 
呃你们这边不报工号的 你们之前不是都报的吗 
唉你好那个我下载了一个那个什么上海移动早上讲他要那个服务密码用了 啊好的你帮我设置 
