呃请问一下我以前有一个送一台什么宽带什么啊哎呀怎么没给我装呢 对啊这个号码你帮我查一下都都过去掉了 
诶请问一下啊哎我那个宽带有送我一台那个宽带的机有没有没给我安装啊 啊 
用我这升级的那种升级了那个七十七十九块钱的那种套餐转到无线网吗 不是我我交了七十九七十九叫叫别人的到那个宽带没来装呢 
听到更行诶你好哎是这样的我跟你问一下就是呃我就这几个月好像基本上隔隔一两天都会收到那个 你们官方的应该会通过 
我操你们这是幺零零八六怎么那么难打通话 你帮我马上开机一下他们的钱的流量两块钱你又给我停了我 
哎就是我那个停办了什么一百三十九那装宽带怎么怎么还没过去装啊 其他全都帮我扣了 
喂你好 我们这边宽带都修了两三天什么时候能修好 
你们那幺零零八六幺幺毛病啊我们有没欠你话费早上推什么话费啊 电话 
嗯诶我想问一下噢就是我十五号有打电话那个就是宽带移机嘛噢 然后怎么到现在都没有 
啊你好诶我是我另外一个手机号幺三五幺三八零八五二二零三七这个电话噢嗯已经跟你们反映过了你们说要帮我解决 啊 
喂你好 诶我这边跟你们打过电话这个这一个电视都没有信号怎么说受理到现在了差不多半个月的为什么都还没有还是一样的噢非常抱歉帮您查询一下哎 
哎是上次反映的那个什么线路的问题白云线路的问题我看一下到线路就是说从你们那个呃的那拿过去的 这个还没人去处理了 
喂你好 我我这个装的宽带前天说昨天说今天说我说那个装宽带那个电视看不了它前天是二十四小时内给我回复昨天今天我打电话给他刚才回复一下到现在没没没没没给我弄划算 
你好问一下我不是在你们商城上面有说换了一个应江吗 怎么那么多天了还没有派送啊 
我现啊我问他给我那个幺五九五九六八六二九六的那个宽带 幺五九五九六八六二九 
啊 喂你好我想问一下我的宽带宽带叫你们来修很久都没有来 
我刚刚投诉那个怎么回事都没回话的 他说办什么什么卡号发个短信跟我说什么我办那个什么十块一毛够两g的什么我什么时候办过这个一下 
你好我前两天有投诉我说我现在的套餐就是怎么之前工作人员就是帮我转转然后他要然后就套餐的东西都变了不一样了这个两天都没有人给我处理结果呀 嗯 
唉你好你好呃帮我我那个宽带一直没来装我现在要取消掉 好好好好 
给我问一下就是我幺三九套餐办了半年了怎么宽带还没给我装 这个窟窿啊窟窿那个半个月一个月就可以了现在半年了 
喂您好我噢我上个月那个有打电话跟你们说要安宽带啊 一直拖到这个月 
请帮我查询一下我前天反馈那个问题怎么还没帮我处理 昨天有打电话还没帮我处理今天还要打电话 
喂你好 我们这边宽带都修了两三天什么时候能修好 
诶你我们这边宽带什么时候可以还什么时候可以修好了都一天把怎么还没修好 对对对 
诶我想请问我现在我手机是两呃双卡双待的都是移动的号码噢 然后然后那我现在流量流量是在卡二我流流呃卡有没有流量然后手机要设置成到时候有流量的话就是卡二怎么扣那要怎么设置啊 
哎你好我想那个宽带已经嗯 那就是然后就是当面街这边嘛就是一到前面一点点来还是在这里小姐 
我要投诉你们那个公司 我那个宽带家里面故障从昨天开始就在就在这边跟你们联系联系到今天 
对我现在这个家里面这个这个宽带啊这个宽带那个数据那个网络电视那个维修人员这么久的呢它它都拿那个核实哪里很多遍都没有来装 可以有可是那个那个师傅上次来修就来异地七八天才来现在来的那个什么东西拿去修的电话也不接的也没有来没 
您好请讲你好我我我是一情况这边的怎么刚才有两个小男孩过来帮我说什么那个网络什么升级现在怎么那个都不能上网的他没搞好啊然后就走了 没错噢行 
那你上次有个业务员打电话给我说套餐改一下有赠送一个网络我现在都还没来装啊 对 
我办了宽带到现在还没给我装呐 啊 
你好我就想问一下我这手机号码昨天反映了我的违约金被扣的钱怎么到现在都没有人跟我联系呃是不是我要打是不是我要打三幺五电话才可以帮我处理呢我要是我要还三千块钱给我怎么这样子 有话费我电话费发一点点钱就把我扣了那么多钱扣了二十几块反映的又没人没人没人给我解决到现在都没人解决可能要打要我们才会出去 
啊 喂 
诶我请问一下我那个宽带已经到现在怎么还没来帮我办理 对 
昨天你们投保了流量的是怎么还没处理好我昨天投诉啊 你们没有及时提醒而且我看那个流量安心锁也没用充了四十多块钱我昨天有投诉过怎么还没处理 
早上你们打电话跟我讲会把那个安装电视那个机顶盒那个师傅的电话发给我我等了一个早上都没有收到信息 就你们跟我移动打电话给我了 
你讲那个二那个昨天反馈的问题都你那个没有工作人员跟我联系 对啊那现在我没使用是失效就是十五块钱退回来啊 
嗯 你好我刚才我有一个那个就是一个和包那它随便给我转接过去对方都没人接啊 
喂你好 哎我就是说我这个用的那个套餐外流量你们不是说十五号跟我返给我们怎么还没返给我 
对 诶喂你好诶你好那个我我这边就是它我这边办的宽带吗然后本来说好早上过来了但是现在还没过来 
喂你你们那个对移动公司做事情消费怎么那么低噢 我这边的我九月份九月二十号左右就向你们反映说大点一下诶太王字高兴村村在这边那个一个内的一个那个诶信号还坏掉了就跟我讲不要来修啊要一定要来修修到现在还没来修他说原来是二十九号会不会来弄弄弄到现在都都这块马上第二个月二十九号楼 
您好很高兴为您服务也是专门来弄这个东西啦我宽带报修怎么还不来啊 幺三六五六九零八九八 
诶我 前十几天应该有预约了一个什么移动宽带那个然后你们公司这边一直没给我安装 
哎你好 啊我我这边的宽带哎那移动的宽带的呃那个电视呢出了问题我已经打了很多次电话你们这边怎么都不受理人家给我投诉啊 
喂你好 呃就是为什么我们就打那个装装装宽带之后他电话都不接的 
诶你好噢你我想按一下那个我这边的那个宽带他经常都没用没接的时候来给我装的时候为没给我换线我以前装的用的是那个联通的它就那个直接给我减掉装上去现在经常都没用然后他留了这电话号码给我呗这个这边本地可能是公司的还是什么的每天都打不通都是关机的 对经常会断网我手机都没办法用我一般都用数据流量我的这个wifi都没办法用了完有些什么一下子又没动啦电视也是一下子就没办法 
哎你好是这样的我昨天有一个那个网络了那个宽带那个那个千一千的时候他今天怎么还还都没有打电话跟我联系我想尽快给他迁移过去因为这边我那两在这边 恩好谢谢 
哎你好我想问一下就昨天送我反馈那个问题怎么到现在都没有解决 对对对 
喂你好 那个昨天说我反映那个情况就是扣费那个情况怎么不它没有处理昨天晚上又给我停机了 
哎你你们那个我想投诉身份证投诉我家牵宽带到现在还没来牵 诶我是刚阳乡下的很好然后我我之前就说了再办理他们今天又来一个来一个他说工程队什么机顶盒啊那什么什么什么什么什么什么还没迁移到这边来 
诶您好我想问一下每个月的账单你们有发短信过来叫我们到邮箱去查询但是我们打开邮箱里面看到没有每个月消费了怎么没有明细啊 对我是要明细 
就是那个为什么没有师傅给我打电话 就是我预约了不是说有师傅来给我安装吗为什么没有给我打电话 
