嗯你好前两天我反应过关于这个号码注销的问题我人不在莆田啊那怎么怎么给我处理了 哎对 
诶你好女士我就是哎刚才下午有打电话问就是我那个呃学生套餐嘛不是说本来四年的吗然后三年就取消掉吗然后下午有个工作人员给我打电话那时候刚好有事情然后没讲清楚就挂掉了那就是然后我原来那个套餐好像是还有一年时间嘛那他说只给我一个月然后不知道具体怎么回事然后你能不能让他再给我打个电话 好的好的很抱歉很抱歉还什么问题吗呃没有了然后祝您生活愉快再见 
就那种的我就早上也打过电话了而且昨天我也反映了就我这里的呃那个wifi原来有手机捆绑的包括电视包括这个信号都没了我就要求尽快处理吧很因为很不方便 那问题是要等多久 
那个我之前就是前几天有那个打过那个投诉电话的内容你能查到吗 对然后昨天昨天他们那些工作人员就是那个咱们人工作人员打他说我老是打投诉电话它就不给我处理 
你好啊 噢刚刚你们是不是有跟我来电吗 
你好 投诉的噢你们我现在有个投诉你们帮我看一下 
谢谢啊 你好 
短信反映的问题 查询反映的问题 
哎你好我想问一下就是说今天就给我反馈那个就是说那个流量扣费那个是怎么处理的 好的好的那我打电话没知道吧 
哎你好嗯请讲那个我这个号码里面之前你们应该有登记过有一个什么长途长途因为你们第三方的人还是干嘛就给我充了信息我取消掉你们不是有人在帮忙处理了我想问一下你们现在处理进度是怎么样的 嗯九月份也有反馈过去吧还是当月开通下记录是只有八月份 
诶您好我刚刚反映的那个问题啊我这刚刚下午那个我是在银行里面我是想转账转到手机里面没想到他的操作错误存到这个这个手机费里面存了五百我只要存我这一百吗你们扣一百只有四百返给我我有用了就是这个问题啊 噢好的我是你们的长征用了一二十年你们的这个就每次也是充一百那这一次是务村就不知搞错掉我们年纪大一点我六十多岁搞不清楚加错掉什么充值那边要错掉嗯你帮我催一下好嘛 
哎你好我是昨天有打电话问说呃所以块从三明公司的换到厦门公司的的然后要取消一个嗯六十块钱的流量转恩那早上有幺零零八六给我打电话我没接到那现在是已经处理有结果了吗 
是 哎你好 
喂您好我是说我本机我昨天又打了幺零零八六他说帮我查我就是那个流量的现在已经停机了 他说会通知那个后台工人师傅说帮我查一下发短信给我到现在都没有 
哎你好我现在是有一个业务现在办你帮我查一下就是一个宽带咨询的呢专线宽带申请的 不是 
诶你好请问一下我前天反映的那个一百五十元那个电子先取消掉的现在处理怎样的 好地方对哎 
