电话 呃我我想问一下为什么这个手机的流量不能用 
啊你好帮我那个开一个六十元六个g的包月流量嘛 噢 
喂你好 哎你好你帮我加一个那个什么那个什么有个号码帮我加加入一下好吗 
帮我做个流量包显好吗 对 
噢 哎你好呃能不能帮我增加十块钱的流量包啊 
嗯 诶我想办理那个六六十元那个套餐 
嗯你好我这个手机上网功能被关掉了您可以帮我开一下吗噢 密码不清楚 
你好我这边要开通那个港澳台那个长途的那个什么开噢 对 
呃您好我那个六十元那个流量套餐已经用完了你帮我再办 请您稍等对 
诶你好我就是要去国外嘛那开通那个国国际漫游是吧 接到短信全部在 
对嗯搞那个十块钱的加油包 为什么 
喂 诶你好我想改一下就行了诶想加一个亲情套要紧单加了 
喂 帮我开不是有一个上一次不是有人打电话问我那个开流量的加二十块钱两g流量的吗 
谢谢 您好 
哎你好我想开通那个港澳漫游 分钟噢那 
诶那个你要帮我再开二十块钱嘞 
你好 诶我想开通那个国际漫游 
喂你好我想申请一下一个六六g 对 
诶您好我想开通那个家庭网再开一个号码 就 
再见 那流量帮我开通使用 
哎你好是这样的我想请问一下那个呃就是如果我要去那个新加坡跟那个马来西亚这两个不同的地方旅游那那个我要订那个流量套餐我有什么那个 呃五 
哎你好帮我那个呃六三幺呃帮我开通一下那个话费支付 哎对对 
为您好很高兴为您服务帮我改那个六十块钱六个g的 有没有啊 
就完了 喂你好我那个我嗯流量套餐开一个那个什么比较优惠的当月然后下个月取消的 
呃没有啊我因为我的手机我觉得那个找工作可以吗 上网功能啊 
哎 您这个是移动移动宽带电视嘛 
诶我想加一个流量包是 你是怎么怎么收费的 
诶你好你好先生是想办流量安心包的那个套餐 噢对现在马上费都了解了哎对对对对安心包已经开好了马上就可以用了噢马上就能用了没事啊请问您还需要其他帮助吗嗯那这样那个会有短信通知还是说现在就可以 
嗯 喂你好 
呃我的电话帮我开一下这个来电提醒 呃没有我别人打电话都没有号码我我也不知道可以打电话 
喂你好我要开通到深圳的两城一家 噢好好好好好那还有什么要咨询的吗啊谢谢 
你好我那个今天要去 电信香港我们就 
你好我本机帮我开通港澳 对对对对 
哎你好帮我开通一下那个什么四g语音 哦 
哎服务 帮我开一个短信包一百块两千条吧 
恩你好 我手机没流量了我想通知流量是哪里办理啊 
你你诶你好你帮我一个号码这两个号码将近加入那个家庭网里面 呃 
幺五二幺五二 二五九九 
喂你好我想办理但是那个五十八元的套餐 要就这个号码就这个号码 
嗯我这个号码想开通那个幺八八的上网套餐就是有四十g的流量那个还是网线那个 那个现在本身四十个g 
诶喂你好嗯你好想问一下有没有什么呃流量服务呢 呃可以可以 
如果喂你好诶你好呃我这边的话就是想办理那个国际流量套餐给我有吗 呃日本的喂 
呃喂您好喂诶请讲我这个手机号的话帮我补充内流量包 对这个月使用的 
你好帮我加一下流量包 呃有多少的 
拜拜服务 哎我要办那个六元六g的那个 
嗯就是我这个手机流量不够你给我流量包给我加一个吧 加你就十块钱 
啊我这个是在外面的流量有有办一个套餐十块钱啊 啊啊啊啊嗯嗯那就说帮您 
帮我开一个流量那个十元流量加油包 对啊 
喂你好帮我开通那个流量吗 有多少兆啊 
呃你好我想那个开一个那个六十元那个六g的那个半年包的 啊不够用了我想再开一下有备无算 
可以 你好麻烦你帮我开通一下国际长途漫游 
哎你好请帮我开通两城一家 它噢它这个不用开通的是吧嗯是的诶那那怎么我这个电话费特别贵了反正一一到外面那个特别贵啊 
幺 帮我开通那个二十块钱的就是需要相关流量那种的 
哎你好帮我这个手机在呃开一个十块钱的流量 啊对恩好一百兆流量已经上去了可以用了下个月就直接帮我关掉就可以噢对对它会自动取消别担心还有什么可以帮您呢好谢谢嗯不客气那已经给您 
嗯 呃喂您好请问能帮我开通一下那个任我用流量二十元包吗 
你好哎你好那个你帮我办理一下那个六十块钱六g的半年使用的那个流量套餐嘛 噢好的 
嗯 好的 
现在我想开通一下那个夜间流量包帮我开通一下行嘛 嗯嗯好的 
嗯 喂 
你好麻烦你帮我开通一下十元一百兆流量包 已经有开通了是吧 
之内没流量 抱歉 
你好我想帮我开一下那个三十块钱六百条短信那个功能 诶好 
你好麻烦你帮我开一下两城一家现在 噢是这样子啊好谢谢噢 
呃您好抱歉呃那个高清语音帮我看一下不然先帮我开 噢这个好像是密码 
呃那个六个g六十元那个流量费买的来吗 啊对对对 
呃帮我开个流量加油包 呃可以 
哎你好那个我想开通那个港澳的那个呃电呃那个套餐八十八的 对 
嗯你好我给我给我办理那个七天幺四八流量它那种还有给我开一下半年 对对对 
你好恩啊麻烦帮我开通一下那个十元的一百兆的流量 这 
你好那个我的这个号码给我开通一下国际漫游一下 噢行好谢谢 
喂你好你 开通那个呃套餐那个在那边可以打电话 
你你帮我办理一下那个流量的 嗯另外一个流量包这个月不够用 
呃您好那个就是我我那个订购国内的流量包 呃你有多少的你跟我说一下像加油包有十块一百兆的 
你好麻烦你帮我开通一下港澳漫游 香港跟澳门那个其比如说十七号十七号到二十号 
你好本本机开通一下两城一家吗 噢接听都免费了 
这你帮我开通了十块钱的流量包吧 嗯十块钱多少 
你好麻烦有个号码帮我那个上网开通一下 知道 
我想买一些流量怎么 是的 
