你好我想把那个卡里面那些那个呃他我要转户然后我想把那个卡里面看看全部都取消掉消掉 家庭户主那个我想取消掉 

喂你好 呃我那手机那个什么叫什么每个月包的什么要五十块钱那帮我退掉 
哎你好我想就是我的套餐噢我套餐里面除了九十九元的那个套餐其他东西都可以取消掉了 来电提醒它套餐有吗 
喂你好添加帮我这个那个套餐一百八一百三十八的套餐取消掉 哎 
我想请你帮我把这个手机的三八套餐给取消掉 不能取消啊 
呃我想那个退订那个流量包 对就那个 
把我那个三十块的那个流量来帮我退一下 啊 
你好 给我一个那个亲情号码 
呃就是帮我这个手机的二十块钱那个流量包给取消掉了 嗯嗯行谢谢啊 
喂我问一下先生我现在我这个手机号码关注什么度啊我一个月话费是吧 不要 
下午好像他没发过来给我喂你好请麻烦帮我一个号码取消国际长途跟国际漫游功能 号码是幺八八五九幺五 
喂你好我是用这个号码的前几天你们那边有个打电话给我帮我开通那个包月三十八块钱的 三十八我我不不需要我就因为我没那么多晚上他说电话费不要用那么多 
诶我要我那个关闭一条那个校讯通关闭那个从中山中学的那个校讯通 啊两个一不客气 
你帮我把上网功能关了 知道啊好的 
你好就我那个彩铃不要拿掉彩铃 不要 
呃就是帮我这个除了套餐以外其他的开通的东西帮我关掉一下 有开通了什么都我都不知道这个 
你好我就是我利诱这样手机有另外再订了那个套餐那个就是那个四g流量的那个我另外有包月三十的那个我要取消掉怎么取消呢 
淘宝嗯 啊我不是是一个十就是那个流量套餐能用啊 
喂那个我想取消一下那个什么幺三九邮箱的vip版那个可以帮我取消吗 噢那它它扣我话费呀 
喂你好 呃麻烦你把我那个流量加油包给我取消一下了 
喂你好呃我想你帮帮我把这个我这个套餐以外的那个其他的项目都取消掉 对对对就是说我这个医院套餐之外其他的都不要 
你好就是我刚刚下午用那新的那个八十八的套餐帮我取消一下可以吗 嗯对 
呃那个可不可以现在帮我暂停掉我的外套餐 噢我现在那种wifi套餐我现在不用然后就是可以帮我 
诶你好麻烦你帮我这部手机的那个彩铃帮我关闭好吗 行好的 
块 诶你好麻烦你帮我把这手机里面的咪咕那些特别的除了套餐外的都帮我预约取消一下 
喂你好我这边有一个家庭网麻烦你帮我解决都没人没有用诶好的那家庭网的话呢现在这个月还有扣费呢我帮您下个月一号自动取消噢可以好的行好那不客气请稍等 嗯没别的事了哈 
以前一个两块钱两年啥东西好的是在一起的 医院 
哎上午好很高兴为您服务那个帮我这个短信功能关掉 密码不知道密码为啥要服务密码不知道你们那麻烦那那就没办法里面的六三幺三 
我都在网上行哎你好帮我那个除了基本包之外其他业务全部关闭掉 我没有再见处理不这样子其他的再问嗯唉呀嗯我现在 
呃你好你帮我这个来电提醒给取消了不 好哎 
喂您好我说我办的套餐是哪边 嗯我知道 
嗯您好能帮我的那个流量套餐解除嘛 嗯就把那个套餐就那个保底流量拿到最低然后只保留那个通话的功能就行了 
您好很高兴为您服务你好嗯是这样子我问一下噢就是我之前是有人打电话给我说有个三十块钱的活动就是流量五百兆然后好像那个日期过了你帮我退掉下可以吗 哦 
哎没有没有 噢你好你好他到时候啊 
呃你好诶请帮我喂 你帮我那个你帮我一下那个下个月那个十元套餐呢帮我把它那个帮我把停掉就是那个夜间说的那个十元套餐的 
喂 我那我那个流量套餐给我关掉我不要了 
哎你好请帮我退一下那个集团成员 然后您这边要有 
下个月就给我关掉吧 那活动不是那个有这个月还有这三个月的吧 
就是说那个我手机要不超过四十g然后现在被限速了 就帮我弄回恢复正常 
我我有一个套有一个电脑四g的一g的流量那个能帮我取消掉啊 噢好好好好 
诶我我有一个原来有一个那个什么一个什么三十块钱那个流量的流量的呢套餐我想取消掉了 啊对 
诶您好我刚办了一张卡你能不能帮我把这个流量给我对啊网络给我关掉 啊 
喂 能不能帮我这个号码取消所有的那个短信通知 
呃你好呃我想取消一个那个五十元每个月五十元包一g那个流量套餐你帮我取消了这上面 还有什么业务帮我查一下看一下 
喂你好帮我这个号码除了基本套餐其他业务帮我全部取消 好好没了噢呃不要密码已经嗯嗯办多人都都开始卡 
诶我那个那天申请了五元流量包帮我关掉噢十元流量包帮我关掉 
那个家庭网帮我关掉 下个月吧 
人员那就就是帮我这张卡那个接收那个短信的功能关掉一下吧 哦就是那个平安银行发过来的短信就会关掉吗 
诶喂你好就是帮我那个手机那个接收和发送短信功能 噢对 
喂小姐你好 你好我这个这个前几天装的这个套餐这个八十多元这个不要把它退掉吗然后昨天今天发短信来老早上 
帮我把套餐以外的业务都关掉 啊 
诶 诶能不能关掉里面是包括什么的 
你好你帮我这个短号五五五四的你帮我删除掉 呃呃这个月这个月这个月之内删除吗下个月上下个月我要加另外一个号好不好 
呃您好我麻烦你帮我取消取消一下那个家校互联的那个号 那个套餐 
你好帮我帮我取消一下这个套餐的 嗯对 
喂你好帮我把那个来电提醒问一下谢谢 其他要钱的业务都帮我关 
喂你好麻烦这套餐里面的增值业务取消一下一个流量三十元流量包还有来电提醒那个手机保障服务三个月都是嗯 对好 
诶你好麻烦你帮我呃里面除了基本套餐其他的全部关掉 哎你好七哎是里面刚才那个有没现在没有密码麻烦谢谢啊 
帮我那个什么手机那个保障会不会帮我关闭掉 嗯嗯嗯嗯 
帮帮我保持套餐剩下以外业务帮我预约取消一下 好啊啊卡啊 
喂你好你帮我帮我查一下我手机有有有这种流量我就问我我手机上关掉关掉还没有多少没有那个那个里面没有开通他这边会手机上他说我在营业厅你这流量是给我看下是什么软件软件有一个要停电呃 上网没有上网上网功能是这样子没有没有上网功能你这上wifi的又又在外用外地情况下 
哎你好就是其他家所有的增值业务 听到了给我讲 
呃我想问一下那个呃我要取消宽带的嘛然后那个打电话我没有接到 下我已经跟那个人工服务收费了然后他打电话给我我我没有接到那可以叫他再打了 
那个之前办那个四g嗯两g四折那个套餐要取消我叫他十二点十五十二点半之后再打电话他已经六次给我错过我已经跟你们讲六四 我已经跟他说十二点半到一点半然后晚上六点半过后再打了早上有九点多就打了 
嗯嗯就是麻烦你帮我把来电提醒跟那个有一个彩 来电提醒取消掉它应该还有一个村网那个连坑村的收入嘛那个也不了的 
陶院送给中国移动这个个流量包一g的流量包那那个我我不需要我头晕就是自己的五百兆流量都没用啊 我 
嗯麻烦帮我这张卡的上网流量关闭了 他不知道 
哎你好帮我取消一下那个九元视频流量包 没有 
您好请讲我没短信你好你帮我留一个基本套餐其他要扣钱的全部取消掉 关掉 
你好我前几天嘛就是说你们客服要打一个电话过来一个赠送一个手机欠费了嘛噢 啊然后里面办的那个是五百五十八七的那个套餐嘛是不是啊 
你好诶我这个号码就先不用流量麻烦帮我关一下流量流量功能给它关掉 对不需要流量 
早上好 你好女士 
我说 因为查他不是一个人打电话他说我下个月什么有流量包是吗啊行 
呃帮我取消那个上网功能对 啊 
诶我昨天不是叫他帮我号码先暂停掉先给我解开来呀 不是就这一个我昨天不是有那个什么外地电话打了几百个进来然后我不是打叫能不能帮我 
噢你帮我三十元五百兆的就可选包开开的然后下个月取消掉 噢存三十元现在是一g然后给改了一个噢然后五十的是多少两g五十元两g好我知道了那你帮我开一下 
喂诶你好这样子我就是我想把我那个网络给我关掉噢 对对对对对对对是的 
喂你好我里面有一个二十块的加油包你帮我取消 打听交过了噢 
你好帮我取消掉那个上改的那个三八套餐呀 噢噢噢 
你好我这边有个收有收费刚刚给我取消掉呢我看一下这个号码上 哎要要收费的那些 
喂你好 我前两天那个移动有提示什么咪咕视频这个十一月一号开始收费是原来本身就没定了上次做什么广告他说没没免费怎么显示我本来就不喜欢了你帮我取消吧给我取消掉 
嗯嗯您好请讲帮我把那个共享流量给关掉查一下我信号的那个都是给关掉 知道 
里面有个共享流量帮我共享什么手机号帮我关掉是影响我到一下我信号的 喂哎 
您好请讲 啊 
呃您好我这边有一个一个高校互联的业务你能帮我取消掉吗 对对对对就那个号款嗯 
诶你好我将 下下个月那个把那个套餐流量套餐帮我取消掉我不要 
你好麻烦你把我的包月信息全部都关掉好吗 噢 
嗯帮我把彩铃彩印那我除了套餐以外的都取消掉 啊 
呃帮我取消显示流量套餐 没有了谢谢 
对 哎你好那个我银行有收到一个那个短信啊那个什么幺零六五八零九八那个帮我取消掉一下屏蔽掉 
诶麻烦你帮我这个号码那个来电转接转接帮我取消啊 吗呃对对对 
哎你好我套餐外已经都有业务帮我全部关一下 恩对 
呃麻烦你帮我那个我不是这个手机上面有一个家庭套餐那个什么东西那个三块钱每个月帮我取消掉已经帮您查看一下 那要退出现有的下个月我这每个月都在扣我三块钱怎么会没有呢我从来都没有给它是都是打过电话每个月扣三块三块 
嗯 那个我之前这个手机有订购兆是学校那个什么校讯通的服务我想取消掉 
喂你好你好我呃帮我这里面的那个副卡这张就是来电显示帮我关掉还有什么缴费的都都帮我关掉吧 啊对因为我这是流量卡没怎么用 
噢我刚才用手机还是小孩子帮我按按了不累积的那些什么能过来信息发过来很多你帮我查一下帮我取消掉 呃那个帮我取消掉好像在基地 
啊你帮我这个所有的增值业务我们取消的麻烦给找找 没开通其他的业务是吧刚刚可能八八元套餐因为我这张卡停机保号的 
喂你好嗯有什么可以帮您吧我这个人你好请问您听得见吗 可以看喂你好 
你好你帮我把那个移动流量套餐关了现在没用 哦要就相当于它是包括在套餐里面的是吧呃没有它是套餐绑定要额外开的噢它必须要套餐套餐打电话是吧 
诶你好 不是我我这个电话噢然后就是别有有其他电话进来的时候对方经常会的听到您所拨打的电话是空号 
喂你好可以那我手机呃它信息发来的他说三块钱四十条短信小姐我那个这个套餐我不要啊 这个这呃这个我不要问我看下短信发过来后来这个我不要我一个月才发一两条信息那三块钱还一一条烟一块多我我我不要这个啊 
