诶你好 呃请说 
嗯您好有什么可以帮助您哎你好 我想问一下我我这个电话女士一g的那个王噢我都都要收漫游费吗接电话要钱吗 
您好请讲 我想查询一下我那个流量用完了现在还有什么比较早而且 
您好您请说 你好我就看不了晚上办那个这个套餐刚办那个卡您这个套餐是这审核它我不要一样不一样你看一下这是多少钱的套餐呀 
啊嗯嗯 您好请讲喂你好 
您好请说 噢你好我我能把我有把那个这个套餐改成最低的套餐然后多少钱 
请按 您好请说喂您好 
您好请讲 诶请问一下我这个电话是怎么收费的能不能帮我查一下这个号码可以可以对 
详 您好请讲 
您好请说有什么可以帮您的 哎你好我想问一下我这个手机本身的套餐是多少钱 
您好请说 喂你好我想办一个零的流量包有多少钱呐 
呃您好请讲您好 喂你好 
您好很高兴为您服务 喂 
哎您好请讲 哎你好 
嗯您好请说 对喂你好我想说嗯手机的基本套餐是多少钱 
您好请说 看我这个套餐是多少钱的 
您好请讲你好 哎您你好嗯我我想我想咨询一下如果是呃我们手机啊就说我们呃厦门的手机然后打那个国际的就是马来西亚的它是怎么资费的呢 
哦您好很高兴为您服务 哎你好我是你们客户噢啊你说什么就刚才那个又又接到一个泉州打来电话啊不要帮我更改这个品牌套餐呢那我们也不知道清楚然后等下就说号几条短信过来噢我看一下好像一个月要剩下好好几十块的费用啊 
您好很高兴为您服务呃我我想问一下那个无线宽带它是多少钱一个月 无线宽带 
您好请讲 喂你好 
您好很高兴为您服务 诶请请问一下如果开个国际漫游那个收费怎么收费的 
您好请讲 诶你好诶我想请问一下你这个流量包流量保一个有有多少钱的 
您好您讲 诶你好诶那我刚刚没问那个如果要打电话一分钟多少钱打到外地的话 
您好请讲啊噢呃您好我这为您服务我想问一下我这个套餐是怎么怎么算流量吧 您这套餐是九块钱的是爱奇艺的流量有三g然后只能登录爱奇诶被人键播放视频用的其他的话如果您在福建省内上网一天就是一块钱有五百兆有用就收这一块没用的话这一块钱就不扣如果您到省外的话那就没有流量正常收费 
