诶你好 呃请说 哎你好诶我像我这个手机如果是在跨地区一分钟是多少钱呐打 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
嗯您好有什么可以帮助您哎你好 我想问一下我我这个电话女士一g的那个王噢我都都要收漫游费吗接电话要钱吗 稍等一下我帮您查看一下接听电话的话都是免费的那您打电话的话如果说到福州的那直接打电话的话就是一毛九一分钟 噢那如果卡都是必须网的电话呢 
您好请讲 我想查询一下我那个流量用完了现在还有什么比较早而且 我看一下 嗯 
您好您请说 你好我就看不了晚上办那个这个套餐刚办那个卡您这个套餐是这审核它我不要一样不一样你看一下这是多少钱的套餐呀 呃本机办的是一百三十八的套餐 噢一百三十八它是八十八没交 
啊嗯嗯 您好请讲喂你好 我这边诶那个可能流量流量用完了那个要怎么算 我帮您看一下噢 
您好请说 噢你好我我能把我有把那个这个套餐改成最低的套餐然后多少钱 那我们当下最低的话是八块钱一个月 然后有包括什么东西 
请按 您好请说喂您好 呃我想问一下我这个月份重新又订了一个什么五十块的套餐它当时是说那个套餐是怎么个交费我我我忘了 一个二没关系噢可以好您现在这个活动它是每个月给您赠送四十块钱您自己付十块钱 
您好请讲 诶请问一下我这个电话是怎么收费的能不能帮我查一下这个号码可以可以对 您这是那种八块钱套餐啊就是三十分钟通话然后跟来电显示 噢三十分钟通话是怎么就三十分钟通话是免费的是吗 
详 您好请讲 哎你好我想问一下呃现在福州那个十g分享你们这边资费是不一样的呀 现在的资费你先稍等一下因为您现在的这套餐就没有积分了都是说都可以全国通用的了 
您好请说有什么可以帮您的 哎你好我想问一下我这个手机本身的套餐是多少钱 三十八的 三十八的然后我今天发了一个信息说什么呃一个什么信息说呃每个月要五十块钱一个月是什么东西 
您好请说 喂你好我想办一个零的流量包有多少钱呐 呃您是流量包是吧 嗯对 
呃您好请讲您好 喂你好 嗯请讲 呃我问一下我现在这个套餐是不是三十八块的 
您好很高兴为您服务 喂 诶您好 没哎七十是我现在有个三十九元套餐是怎么用的 
哎您好请讲 哎你好 先生您好 诶你好我想问一下我就是这个月的那个套餐是怎么算的 
嗯您好请说 对喂你好我想说嗯手机的基本套餐是多少钱 手机的基本套餐您现在用的是十八元的套餐啊 噢我知道只有一个八元的 
您好请说 看我这个套餐是多少钱的 三十九的 我看三十九里面都包含什么呀 
您好请讲你好 哎您你好嗯我我想我想咨询一下如果是呃我们手机啊就说我们呃厦门的手机然后打那个国际的就是马来西亚的它是怎么资费的呢 马来西亚那边电话您可以加幺七九五幺 有没有前面加幺七九五幺 
哦您好很高兴为您服务 哎你好我是你们客户噢啊你说什么就刚才那个又又接到一个泉州打来电话啊不要帮我更改这个品牌套餐呢那我们也不知道清楚然后等下就说号几条短信过来噢我看一下好像一个月要剩下好好几十块的费用啊 套餐它就是和家庭七十九套餐的您想它也会是有包含宽带的 他好像是一个月要交一百多块是吗 
您好很高兴为您服务呃我我想问一下那个无线宽带它是多少钱一个月 无线宽带 不是特别呃无线网吗 在家里面有这种宽带吗 
您好请讲 喂你好 呃您好 请问一下我这张卡是怎么收费的 
您好很高兴为您服务 诶请请问一下如果开个国际漫游那个收费怎么收费的 先生基本功能是免费的打电话跟接电话或者有上网的话就另外收钱 打电话接电话要有多少钱 
您好请讲 诶你好诶我想请问一下你这个流量包流量保一个有有多少钱的 呃您现在办的话有个优惠活动六十块钱有六千兆那是办一次的话有效期大概是一百八十天就是您在一百八十天之内的话使用都有效 噢能如果我是说按办那个当月的吗 
您好您讲 诶你好诶那我刚刚没问那个如果要打电话一分钟多少钱打到外地的话 一九您的本机号码打电话在龙岩地区打有一百分钟超出之后每分钟一毛九 噢超出过后每分钟一毛九 
您好请讲啊噢呃您好我这为您服务我想问一下我这个套餐是怎么怎么算流量吧 您这套餐是九块钱的是爱奇艺的流量有三g然后只能登录爱奇诶被人键播放视频用的其他的话如果您在福建省内上网一天就是一块钱有五百兆有用就收这一块没用的话这一块钱就不扣如果您到省外的话那就没有流量正常收费 我问那如果我没有用到五百兆也是一块钱是吧 对就是当天的话在福建省内上网五百兆以内就是说一块吗 
您好很高兴为您服务 哎请问这个光纤现在是一个月是多少钱的 呃您是本机想办理宽带是吗 对对对对因为今 
您好请讲 哎你好我问一下那个买那个那里边的铃声买一张换的那是多少钱 铃声的话彩铃功能您要先打开功能的话是一个月五块钱然后铃声的话一首大概是零到三块不等嗯 那买了是邮件了是吧 
您好请问什么可以帮您 诶您好就是我想了解一下就是那个流量吗我现在这个卡是三十八套餐吧 恩对 噢然后每个月五百兆流量不够用 
您好请说 好你好帮我查一下我本机那个是是资费套餐是怎样的啊 您这个是全球通三十八套餐每个月包含三百分钟的通话时间一千五百兆的省内流量还有来电显示套餐三十八 那有短信什么的吗 
您好很高兴为您服务 诶你好我想问一下就是比如说客户他去那个新加坡那边的漫游的话啊好那个诶啊啊呃就是他老婆去新加坡那边漫游的话它现在它那个流量的话要怎么算嘞呃是贵点另外一张卡吗还是要另外一张卡 是这样子如果去新加坡漫游首先是他要先有开通国际漫游功能到那边开通然后然后如果是流量方面我们针对新加波地区您可以开通一带一路多国流量包它有三天五天七天然后您可以根据您自己的行程呃进行办理这个流量包 三天五天之前是在要在营业厅办理是吧 
您好请讲 诶您好我想我想还有一个宽带那我想问一下宽带一个月多少钱呐 稍等一下我看一下哈宽带您就是刚卡现在有一家要新装办理我们宽带是吗 有个什么 
你好请说 哎现在来电提醒一个月多少钱 来电提醒的话一个月两块钱愉快 就是说我关机或者说不在服务区都有来电提醒 
您好请讲 喂你好请问一下我这个里面有那个什么亲情号码的噢 家庭网对 他那个要怎么处理如果要是号码把那个幺幺零五加一个就要怎么算 
您好请讲 喂你好我想请问一下那个流量保一个月多少钱嗯流量保 啊您是说流量保嘛 好的 
您好请讲 我问一下我这个这个手机如果是拿到外地就用我弟弟的话要漫游费吗 不要漫游费 不呃不是跟打天天要要要收费吗 
您好请讲 您好 喂你好我想问一下如果您我另外一个号码的话想复机嘛我不来停机吗然后我今天想复机的话你们这个收费怎么收如果现在复机的话这个月的来电显示套餐的费用都要正常收取的就是办没有跟我说是十五号以后是半个月的还是一一整个月赠送吗噢如果是来电显示这些都是收一整个月的套餐费的话要看什么套餐有号码和密码吗我可以帮您确认一下又可以啊购买多少幺三七哦零六零六嗯零五零六六七那麻烦您输一下密码按井号键子书哎呃很抱歉密码输入错误密码不知道吗 帮我问一下你那个我那个号码你按的是多少 
您好您请说 噢你好那个我想开通那个香港的那个 广东呀完了噢 噢好 
你好请讲 哎喂你好 诶你好 哎就是说现在比如说那个这张装宽带那个从那个要怎么收费了 
很高兴为您服务 喂你好诶你好请讲我想一下不是我这架手机如果就说我现在去北京的话那话费怎么算就是晚上有一百分钟是免费的有没有包含在内呢 话没有的是一百分钟只能在福州本地用如果您去北京让您接是免费的但是您打一分钟要一毛九 噢这样子诶那我刚才收到一条短信说什么呃呃三星级客户这个是什么意思呢 
