诶 你好   呃 请 说   哎 你好 诶 我 像 我 这个 手机 如果 是 在 跨地区 一分钟 是 多少 钱 呐 打   帮 我查 一下 您 稍等一下 您 这 张卡 现在 是 在 整个 大陆 打 大陆 的 移动 六分 大陆 打 联通 电信 是 两毛
嗯 您好 有 什么 可以 帮助 您 哎 你好   我 想 问 一下 我 我 这个 电话 女士 一 g 的 那个 王 噢 我 都 都 要 收 漫游费 吗 接电话 要钱 吗   稍等一下 我 帮 您 查看 一下 接听电话 的话 都 是 免费 的 那 您 打电话 的话 如果说 到 福州 的 那 直接 打电话 的话 就是 一毛 九 一分钟   噢 那 如果 卡 都 是 必须 网 的 电话 呢
您好 请 讲   我 想 查询 一下 我 那个 流量 用 完 了 现在 还有 什么 比较 早 而且   我 看 一下   嗯
您好 您 请 说   你好 我 就 看 不了 晚上 办 那个 这个 套餐 刚办 那个 卡 您 这个 套餐 是 这 审核 它 我 不要 一样 不 一样 你 看 一下 这是 多少 钱 的 套餐 呀   呃本 机办 的 是 一百三十八 的 套餐   噢 一百三十八 它 是 八十八 没 交
啊 嗯 嗯   您好 请 讲 喂 你好   我 这边 诶 那个 可能 流量 流量 用 完 了 那个 要 怎么 算   我 帮 您 看 一下 噢
您好 请 说   噢 你好 我 我 能 把 我 有 把 那个 这个 套餐 改成 最低 的 套餐 然后 多少 钱   那 我们 当下 最低 的话 是 八块钱 一个月   然后 有 包括 什么 东西
请 按   您好 请 说 喂 您好   呃 我 想 问 一下 我 这个 月份 重新 又 订 了 一个 什么 五十块 的 套餐 它 当时 是 说 那个 套餐 是 怎么 个 交费 我 我 我 忘 了   一个 二 没关系 噢 可以 好 您 现在 这个 活动 它 是 每个 月 给 您 赠送 四十块 钱 您 自己 付 十块钱
您好 请 讲   诶 请问 一下 我 这个 电话 是 怎么 收费 的 能 不能 帮 我查 一下 这个 号码 可以 可以 对   您 这 是 那种 八块钱 套餐 啊 就是 三十分钟 通话 然后 跟 来电显示   噢 三十分钟 通话 是 怎么 就 三十分钟 通话 是 免费 的 是 吗
详   您好 请 讲   哎 你好 我 想 问 一下 呃 现在 福州 那个 十 g 分享 你们 这边 资费 是 不 一样 的 呀   现在 的 资费 你 先 稍等一下 因为 您 现在 的 这 套餐 就 没有 积分 了 都 是 说 都 可以 全国 通用 的 了
您好 请 说 有 什么 可以 帮 您 的   哎 你好 我 想 问 一下 我 这个 手机 本身 的 套餐 是 多少 钱   三十八 的   三十八 的 然后 我 今天 发了 一个 信息 说 什么 呃 一个 什么 信息 说 呃 每个 月 要 五十块 钱 一个月 是 什么 东西
您好 请 说   喂 你好 我 想 办 一个零 的 流量 包有 多少 钱 呐   呃 您 是 流量 包是 吧   嗯 对
呃 您好 请 讲 您好   喂 你好   嗯 请 讲   呃 我 问 一下 我 现在 这个 套餐 是不是 三 十八块 的
您好 很 高兴 为您服务   喂   诶 您好   没 哎 七十 是 我 现在 有个 三十九 元 套餐 是 怎么 用 的
哎 您好 请 讲   哎 你好   先生 您好   诶 你好 我 想 问 一下 我 就是 这个 月 的 那个 套餐 是 怎么 算 的
嗯 您好 请 说   对 喂 你好 我 想 说 嗯 手机 的 基本 套餐 是 多少 钱   手机 的 基本 套餐 您 现在 用 的 是 十八元 的 套餐 啊   噢 我 知道 只有 一个 八元 的
您好 请 说   看 我 这个 套餐 是 多少 钱 的   三十九 的   我 看 三十九 里面 都 包含 什么 呀
您好 请 讲 你好   哎 您 你好 嗯 我 我 想 我 想 咨询 一下 如果 是 呃 我们 手机 啊 就 说 我们 呃 厦门 的 手机 然后 打 那个 国际 的 就是 马来西亚 的 它 是 怎么 资费 的 呢   马来西亚 那边 电话 您 可以 加幺 七 九五 幺   有没有 前面 加幺 七 九五 幺
哦 您好 很 高兴 为您服务   哎 你好 我 是 你们 客户 噢 啊 你 说 什么 就 刚才 那个 又 又 接到 一个 泉州 打 来 电话 啊 不要 帮 我 更改 这个 品牌 套餐 呢 那 我们 也 不 知道 清楚 然后 等 下 就 说 号 几条 短信 过来 噢 我 看 一下 好像 一个月 要 剩下 好 好几十块 的 费用 啊   套餐 它 就是 和 家庭 七十九 套餐 的 您 想 它 也 会 是 有 包含 宽带 的   他 好像 是 一个月 要交 一百多块 是 吗
您好 很 高兴 为您服务 呃 我 我 想 问 一下 那个 无线 宽带 它 是 多少 钱 一个月   无线 宽带   不是 特别 呃 无线网 吗   在家 里面 有 这种 宽带 吗
您好 请 讲   喂 你好   呃 您好   请问 一下 我 这 张卡 是 怎么 收费 的
您好 很 高兴 为您服务   诶 请 请问 一下 如果 开个 国际漫游 那个 收费 怎么 收费 的   先生 基本功能 是 免费 的 打电话 跟 接电话 或者 有 上网 的话 就 另外 收钱   打电话 接电话 要 有 多少 钱
您好 请 讲   诶 你好 诶 我 想 请问 一下 你 这个 流量 包 流量 保 一个 有 有 多少 钱 的   呃 您 现在 办 的话 有个 优惠活动 六十块 钱 有 六 千兆 那 是 办 一次 的话 有效期 大概 是 一百八十 天 就是 您 在 一百八十 天 之内 的话 使用 都 有效   噢 能 如果 我 是 说 按 办 那个 当月 的 吗
您好 您 讲   诶 你好 诶 那 我 刚刚 没问 那个 如果 要 打电话 一分钟 多少 钱 打 到 外地 的话   一九 您 的 本 机号码 打电话 在 龙岩 地区 打有 一百 分钟 超出 之后 每分钟 一毛 九   噢 超出 过后 每分钟 一毛 九
您好 请 讲 啊 噢 呃 您好 我 这 为您服务 我 想 问 一下 我 这个 套餐 是 怎么 怎么 算 流量 吧   您 这 套餐 是 九块 钱 的 是 爱奇艺 的 流量 有 三 g 然后 只能 登录 爱奇 诶 被 人键 播放 视频 用 的 其他 的话 如果 您 在 福建省 内 上网 一天 就是 一块钱 有 五百 兆 有用 就 收 这 一块 没用 的话 这 一块钱 就 不扣 如果 您 到 省外 的话 那 就 没有 流量 正常 收费   我 问 那 如果 我 没有 用到 五百 兆 也 是 一块钱 是 吧   对 就是 当天 的话 在 福建省 内 上网 五百 兆 以内 就是说 一块 吗
您好 很 高兴 为您服务   哎 请问 这个 光纤 现在 是 一个月 是 多少 钱 的   呃 您 是 本机 想 办理 宽带 是 吗   对 对 对 对 因为 今
您好 请 讲   哎 你好 我 问 一下 那个 买 那个 那里 边 的 铃声 买 一张 换 的 那 是 多少 钱   铃声 的话 彩铃 功能 您 要 先 打开 功能 的话 是 一个月 五块 钱 然后 铃声 的话 一首 大概 是 零到 三块 不 等 嗯   那买 了 是 邮件 了 是 吧
您好 请问 什么 可以 帮 您   诶 您好 就是 我 想 了解 一下 就是 那个 流量 吗 我 现在 这个 卡是 三十八 套餐 吧   恩对   噢 然后 每个 月 五百 兆 流量 不够 用
您好 请 说   好 你好 帮 我查 一下 我本机 那个 是 是 资费套餐 是 怎样 的 啊   您 这个 是 全球通 三十八 套餐 每个 月 包含 三百 分钟 的 通话时间 一千五百 兆 的 省内 流量 还有 来电显示 套餐 三十八   那有 短信 什么 的 吗
