你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 彩铃六块六块是什么东西啊 彩铃六块钱手机阅读六块彩印三块这些业务要取消吗 什么阅读 
专线请讲你好我想问一下我上个月那个不是八十八元的套餐吗为什么用了一百二十多 我看一下账单了稍等一下 谢谢您好好的在哪里是免费 哦哦 他的幺零零八六一下 哎女士您好刚呃刚刚给您看了一下啊您上个月是流量超了二十九块七毛一然后基本套餐八十八 别的呗在家里面我上个月流量超了二十几块呃 嗯因为您套餐五个g都是福建省流量上个月都超出了然您家庭网有个三块钱来电提醒两块您本来固定的费用只有九十三嘛就是流量超了二十九块多 
没下午好你好是这样子的我这个 还好像又改成那个幺八八的套餐吗 订然后幺八套餐里面好像是有含这种呃一百兆的宽带是吗 对对就是还有问题吗 呃对我想申请安装可以吗 可以呀您别挂机我帮您转宽带不行啊您把地址报给他现在为您转接 
您好请讲 诶是这样子也没有说查一下我现在是不是幺八八的这个套餐 是的是幺八八套餐 是吗 对是幺八八的 那它原来还有是算送送一个宽带 是的没错 嗯宽带能不能帮我看一下什么时候能能不能帮我来装 
您好请讲 诶我想问一下我这个手机有捆绑一个宽带对不对 二幺 那我现在不想捆绑的怎么办呢 不想捆绑了 诶 我帮您看到您的宽带它有限制您有用多长时间吗 也不太清楚但是他打电话过来然后我那个时候在办公室上班的时候我也没听清楚什么东西他那时候刚我们用的广电吗国内然后到了吗管理信号不是很好吗啊我的朋友多就这个是那个移动的嘛但是我同意了吗同意然后我就挂掉了然后现在都有了这边那我的也是那个你那个业务员跟我联系后的游戏也办理了吗三分不能不用你爱说那种最低的无法忘了 
您好请说 呃我想问一下你帮我查一下我这个什么套餐啊 本机您现在用的是那个新飞啊把新的和家庭的九十九的套餐这个宽带是多少钱嗯 然后我这个是有要一几年吗 这个我看一下有绑定了两年的时间 刚刚的吗 呃这个月开始的他不是有送了一百八十元话费吗跟一千块钱呃一千分钟的分钟数吗这两个活动绑定两年 那能不能取消啊 
您好很高兴您服务 我想问我我想问一下那个我这张卡有没有开通那个流量 您这张卡流量是这样子的一天有一块钱的五百兆的省内流量您当地有用到流量就扣一块钱五百兆的没有用到流量这边就扣您钱是这样子的 噢那为什么还不能用诶 有啊您这边已经流量都开通了您如果您把上网功能关闭掉所以您不能上网 噢我就说了我这个小孩子手表里面用的那你能不能给我看一下 那可以您本机服务密码知道吗 服务密码好像买的卡买买卡都没有办完了 
您好请问什么可以帮助您 我问一下我这张卡有没有开通流量啊 呃我看一下本机查询您没有另外开您是套餐内包含一天一块钱五百兆省内流量这样子 不是一天一块钱 给我三百兆省内流量 一天一块钱五百兆省内流量套餐内有包含的是 对是的 噢那为什么不能用诶 
嗯嗯嗯嗯 你好请说 您好请问一下我现在这部手机的话是 旧套餐的是吗您这个号码是八元的套餐八块钱一个月 噢八块钱一个月是吗 是的没错 跟跟第二个级别的是几月呢 十八块钱的 
恩那您请说 呃您好能不能帮我查一下那个这个月用了一个套餐之外的两块钱我想问一下是用的什么地方 噢好的您稍等哈 呃 呃这边查询主要是来电提醒扣两块然后打电话打了一块七毛多 打了一块七毛多 呃对是的 打电话不是那个套餐的套餐之内的分钟数还有吗 
嗯嗯 嗯您好请说 哎麻烦你帮我查一下我这个套餐有个有办有办理过什么业务吗 除了您的基本三十八套餐之外有个五十元的流量包这个是手机参加活动的活动到三月一号为止明年的三月一号 可不可以取消掉那 现在没办法取消然后还有一个是两块钱的来电提醒跟一个宽带电视的一个服务 嗯好不能取消 对然后其他没了 
你好请讲 哎你好你帮我查一下我这个手机都有什么那个功能是要钱我有没有开通什么包月 有一个家庭网还有个彩印其他的有一个来电呃来电提醒下个月取消了彩印也取消了那就剩一个家庭网和基本套餐了其他没有了 经理也取消了来电提醒也加了 对下个月就没有了 你刚才把来电提醒取消了来电提醒不用了来电提醒不要帮我取消掉就是那个什么什么费那个那个什么的三块的帮我取消掉哎 三块的就是来电提醒啊 呃不是来电提醒不要取消吗其他还有什么要那就家庭网要取消吗家庭网也不要取消 
