你好 请 讲 其他   喂 您好   先生 嗯 请 讲   你 帮 我查 一下 我 这个 手机 呃订 了 哪些 套餐 能 看得出来 吗
专线 请 讲 你好 我 想 问 一下 我 上个月 那个 不是 八十八 元 的 套餐 吗 为什么 用 了 一百二十多   我 看 一下 账单 了 稍等一下   谢谢您 好好 的 在 哪里 是 免费   哦 哦
没 下午 好 你好 是 这 样子 的 我 这个   还 好像 又 改成 那个 幺 八八 的 套餐 吗   订 然后 幺 八 套餐 里面 好像 是 有 含 这种 呃 一 百兆 的 宽带 是 吗   对 对 就是 还有 问题 吗
您好 请 讲   诶 是 这 样子 也 没有 说查 一下 我 现在 是不是 幺 八八 的 这个 套餐   是 的 是 幺 八八 套餐   是 吗
您好 请 讲   诶 我 想 问 一下 我 这个 手机 有 捆绑 一个 宽带 对 不 对   二 幺   那 我 现在 不想 捆绑 的 怎么办 呢
您好 请 说   呃 我 想 问 一下 你 帮 我查 一下 我 这个 什么 套餐 啊   本机 您 现在 用 的 是 那个 新飞 啊 把 新 的 和 家庭 的 九十九 的 套餐 这个 宽带 是 多少 钱 嗯   然后 我 这个 是 有 要 一 几年 吗
您好 很 高兴 您 服务   我 想 问 我 我 想 问 一下 那个 我 这 张卡 有没有 开通 那个 流量   您 这 张卡 流量 是 这 样子 的 一天 有 一块钱 的 五百 兆 的 省内 流量 您 当地 有用 到 流量 就 扣 一块钱 五百 兆 的 没有 用到 流量 这边 就 扣 您 钱 是 这 样子 的   噢 那 为什么 还 不能 用 诶
您好 请问 什么 可以 帮助 您   我 问 一下 我 这 张卡 有没有 开通 流量 啊   呃 我 看 一下 本 机 查询 您 没有 另外 开 您 是 套餐 内 包含 一天 一块钱 五百 兆 省内 流量 这 样子   不是 一天 一块钱
嗯 嗯 嗯 嗯   你好 请 说   您好 请问 一下 我 现在 这 部手机 的话 是   旧 套餐 的 是 吗 您 这个 号码 是 八元 的 套餐 八块钱 一个月
恩 那 您 请 说   呃 您好 能 不能 帮 我查 一下 那个 这个 月 用 了 一个 套餐 之外 的 两块钱 我 想 问 一下 是 用 的 什么 地方   噢 好 的 您 稍 等 哈   呃
嗯 嗯   嗯 您好 请 说   哎 麻烦 你 帮 我查 一下 我 这个 套餐 有个 有 办有 办理 过 什么 业务 吗   除了 您 的 基本 三十八 套餐 之外 有个 五十元 的 流量 包 这个 是 手机 参加 活动 的 活动 到 三月 一号 为止 明年 的 三月 一号
你好 请 讲   哎 你好 你 帮 我查 一下 我 这个 手机 都 有 什么 那个 功能 是 要钱 我 有没有 开通 什么 包月   有 一个 家庭网 还有 个 彩印 其他 的 有 一个 来电 呃 来电 提醒 下个月 取消 了 彩印 也 取消 了 那 就 剩 一个 家庭网 和 基本 套餐 了 其他 没有 了   经理 也 取消 了 来电 提醒 也 加 了
嗯 您好 很 高兴 为您服务 您好 诶 你好 我 想 问 一下 就是说 我本 机有 一个 什么 数据 套餐 是 六十元 的 这个 是 什么 东西 啊   好 您 说 的 是 上个月 账单 是 上个月 账单 所以 您 上个月 有 一次性 的 花 六十块 钱 买 了 六个 g 的 国内 流量 然后 从 从 那天 开始 算 起 一百八十 天内用 完 一百八十 天过 它 会 自动 失效 掉   嗯 嗯 呃 那 我 想 问 一下 他 就是说 帮 你 看 一下 噢 订 了 噢 就是 就是 这个 最近 也 呃 移动 数据 套餐 有 十元 的 啊   啊 您 是 您 是 说 什么 流量 吗 还是 什么
您好 请 说   呃 你 帮 我查 一下 那个 五百 兆 的 那个 快餐 包到 了 没有   今天 充值 到 八点 多 已经 到 账 了 二十四个 小时 的   噢 噢 噢 然后 我 自己 另外 充了 那个 两百 的 那个 月底 失效 的 那个 也 到 了 是 吧
什么 您好 请 说   诶 你好 你 帮 我查 一下 我 这个 手机 目前 都 有 什么 套餐 二   您 套餐 是 三十 八块钱 套餐 除了 这 套餐 以外 有 一个 是 宽带 的 业务 包   六八 多少 钱
好 您好 请 讲   噢 我 想 看看 这个 手机 有 什么 业务   嗯 嗯 可以 稍 等   噢
嗯 嗯 您好 请问 什么 可以 帮助 您 哎 你好 嗯 请 说   帮 我查 一下 我 现在 有 什么 套餐 有线 的 呃 主 套餐 是 什么   飞享 套餐 三 十八块   嗯 嗯
嗯 嗯 您好 请 讲   我 想 问 一下 我 的 那个 已开 业务 有 什么 好像 有 一个 一 g 的 那个 流量 是不是 收费 的   呃 他 现在 是 要是 有 收费 但是 它 有 做 活动 给 您 活动期 就 说 现在 只收 您 十块钱   那 活动 已经 到期 了 没有
嗯 谢谢您 好 很 高兴 为您服务   我 想 问 一下 那个 我 手机 套餐 是 五八 的 那 好像 有 一个 什么 办 了 一个 另外 的 套餐 是 是 多加 十块钱 的 是 什么 什么 意思   再 加 十块 我 看 一下   啊
很 高兴 为您服务   诶 你好 我 问 一下 我 我 这个 号码 有没有 办理 什么 业务   像 您 这 张卡 的 套餐 是 三 十八块 的 其他 收费 业务 呢 有 五块 钱 的 彩铃 三块 钱 的 彩印   那 五块 钱 的 卡 里面 怎么 会 我 没有 开通 啊 怎么 会 有 的
嗯 你好 请 说   你好 哎 我 上网 流量 六十块 钱包 包月 的 还有 没有 啊   稍等一下 啊 你 这个 流量 目前 还有 四 g 多 啊   对 那 怎么 我 这边 显示 没有
