你好 请 讲 其他   喂 您好   先生 嗯 请 讲   你 帮 我查 一下 我 这个 手机 呃订 了 哪些 套餐 能 看得出来 吗   这边 帮 您 看 了 一下 有 收费 的 业务 套餐 费 一个月 八十八 然后 这边 有 一个 来电 提醒 一个月 三块 钱 然后 有 一个 彩铃 六块 彩印 三块 手机 阅读 六块 没有 其他 扣费 了   彩铃 六块 六块 是 什么 东西 啊   彩铃 六块钱 手机 阅读 六块 彩印 三块 这些 业务 要 取消 吗   什么 阅读
专线 请 讲 你好 我 想 问 一下 我 上个月 那个 不是 八十八 元 的 套餐 吗 为什么 用 了 一百二十多   我 看 一下 账单 了 稍等一下   谢谢您 好好 的 在 哪里 是 免费   哦 哦   他 的 幺 零零 八六 一下   哎 女士 您好 刚 呃 刚刚 给 您 看 了 一下 啊 您 上个月 是 流量 超 了 二十九 块 七 毛 一 然后 基本 套餐 八十八   别的 呗 在家 里面 我 上个月 流量 超 了 二 十几块 呃   嗯 因为 您 套餐 五个 g 都 是 福建省 流量 上个月 都 超出 了然 您 家庭网 有个 三块 钱 来电 提醒 两块 您 本来 固定 的 费用 只有 九十三 嘛 就是 流量 超 了 二十九 块 多
没 下午 好 你好 是 这 样子 的 我 这个   还 好像 又 改成 那个 幺 八八 的 套餐 吗   订 然后 幺 八 套餐 里面 好像 是 有 含 这种 呃 一 百兆 的 宽带 是 吗   对 对 就是 还有 问题 吗   呃 对 我 想 申请 安装 可以 吗   可以 呀 您 别 挂机 我 帮 您 转 宽带 不行 啊 您 把 地址 报给 他 现在 为 您 转接
您好 请 讲   诶 是 这 样子 也 没有 说查 一下 我 现在 是不是 幺 八八 的 这个 套餐   是 的 是 幺 八八 套餐   是 吗   对 是 幺 八八 的   那 它 原来 还有 是 算 送 送 一个 宽带   是 的 没错   嗯 宽带 能 不能 帮 我 看 一下 什么 时候 能能 不能 帮 我 来 装
您好 请 讲   诶 我 想 问 一下 我 这个 手机 有 捆绑 一个 宽带 对 不 对   二 幺   那 我 现在 不想 捆绑 的 怎么办 呢   不想 捆绑 了   诶   我 帮 您 看到 您 的 宽带 它 有 限制 您 有用 多长时间 吗   也 不 太 清楚 但是 他 打电话 过来 然后 我 那个 时候 在 办公室 上班 的 时候 我 也 没 听 清楚 什么 东西 他 那 时候 刚 我们 用 的 广电 吗 国内 然后 到 了 吗 管理 信号 不是 很 好 吗 啊 我 的 朋友 多 就 这个 是 那个 移动 的 嘛 但是 我 同意 了 吗 同意 然后 我 就 挂掉 了 然后 现在 都 有 了 这边 那 我 的 也 是 那个 你 那个 业务员 跟 我 联系 后 的 游戏 也 办理 了 吗 三分 不能不 用 你 爱 说 那种 最低 的 无法 忘 了
您好 请 说   呃 我 想 问 一下 你 帮 我查 一下 我 这个 什么 套餐 啊   本机 您 现在 用 的 是 那个 新飞 啊 把 新 的 和 家庭 的 九十九 的 套餐 这个 宽带 是 多少 钱 嗯   然后 我 这个 是 有 要 一 几年 吗   这个 我 看 一下 有 绑定 了 两年 的 时间   刚刚 的 吗   呃 这个 月 开始 的 他 不是 有 送 了 一百八十 元 话费 吗 跟 一千块 钱 呃 一千 分钟 的 分钟 数 吗 这 两个 活动 绑定 两年   那能 不能取消 啊
您好 很 高兴 您 服务   我 想 问 我 我 想 问 一下 那个 我 这 张卡 有没有 开通 那个 流量   您 这 张卡 流量 是 这 样子 的 一天 有 一块钱 的 五百 兆 的 省内 流量 您 当地 有用 到 流量 就 扣 一块钱 五百 兆 的 没有 用到 流量 这边 就 扣 您 钱 是 这 样子 的   噢 那 为什么 还 不能 用 诶   有 啊 您 这边 已经 流量 都 开通 了 您 如果 您 把 上网 功能 关闭 掉 所以 您 不能 上网   噢 我 就 说 了 我 这个 小孩子 手表 里面 用 的 那 你 能 不能 给 我 看 一下   那 可以 您 本机 服务 密码 知道 吗   服务 密码 好像 买 的 卡 买买 卡 都 没有 办完 了
您好 请问 什么 可以 帮助 您   我 问 一下 我 这 张卡 有没有 开通 流量 啊   呃 我 看 一下 本 机 查询 您 没有 另外 开 您 是 套餐 内 包含 一天 一块钱 五百 兆 省内 流量 这 样子   不是 一天 一块钱   给 我 三百 兆 省内 流量   一天 一块钱 五百 兆 省内 流量 套餐 内有 包含 的 是   对 是 的   噢 那 为什么 不能 用 诶
嗯 嗯 嗯 嗯   你好 请 说   您好 请问 一下 我 现在 这 部手机 的话 是   旧 套餐 的 是 吗 您 这个 号码 是 八元 的 套餐 八块钱 一个月   噢 八块钱 一个月 是 吗   是 的 没错   跟 跟 第二个 级别 的 是 几月 呢   十八块 钱 的
恩 那 您 请 说   呃 您好 能 不能 帮 我查 一下 那个 这个 月 用 了 一个 套餐 之外 的 两块钱 我 想 问 一下 是 用 的 什么 地方   噢 好 的 您 稍 等 哈   呃   呃 这边 查询 主要 是 来电 提醒 扣 两块 然后 打电话 打 了 一块 七毛多   打 了 一块 七毛多   呃 对 是 的   打电话 不是 那个 套餐 的 套餐 之内 的 分钟 数 还有 吗
嗯 嗯   嗯 您好 请 说   哎 麻烦 你 帮 我查 一下 我 这个 套餐 有个 有 办有 办理 过 什么 业务 吗   除了 您 的 基本 三十八 套餐 之外 有个 五十元 的 流量 包 这个 是 手机 参加 活动 的 活动 到 三月 一号 为止 明年 的 三月 一号   可不可以 取消 掉 那   现在 没 办法 取消 然后 还有 一个 是 两块钱 的 来电 提醒 跟 一个 宽带 电视 的 一个 服务   嗯 好 不能取消   对 然后 其他 没 了
