您好 啊啊那呃移动公司是有一个活动是文旁充话费流量的 门旁充话费的流量您是不是在那个微信息上面的 然后是营业厅那边的 就是那个手机营业厅那边的嘛嗯那个活动上面有看到这边是可以啊 噢我昨天充的是呃不在我是那天赠送五百兆流量还没送过来你帮我这样办理一下吧 我那个我这边流量用完了还有人人工台办不了啊它这个是就是就它那里面是系统这边到期会自动给您赠送的就我们人工台没办法给您办这个里面的这个业务啊你等等啊 那我这边有没有快用完啊 
高兴服务 移动刚充钱我操什么问题先生 呃我刚买了一个流量包然后是原价六块然后注销促销就四个小时五百兆然后三块钱吗它只扣的是我它只扣是扣六块扣了好多次啊 麻烦您先稍等一下 嗯嗯 它本来只扣您一块钱一声那不然三块钱嘛就扣您三块钱的 停机了我只能十三块然后现在就六块多了上次也是这样想输入我三十五块红在一块我就买了 哎客户今天下午的时候您要订订订了两个所以就扣两次吗 
你好请问什么可以帮您 你好请帮我查询一下我这个号码用了这么多年了里面为什么还不能参加是你手机客服 参加送手机活动吗呃没错 那个送电子券那个活动吗 应该是跟这个活动有冲突有一个送分钟数跟流量的活动 噢我这个是有送分钟数跟流量是吧 对要等这活动结束以后才可以办 什么时候为止 
您好很高兴服务 喂你好 您好 我想问一下你我九月份那个什么大风城城关那个有赠送流量但是扣了我说十多块钱它讲会返还怎么都没有没有 时间是没扣您的它那个钱是我们提前就行先存在您的手机上然后就把这个钱的扣掉它账单里面有显示这笔钱那个流量的这个套餐费它这个钱是没扣您的它只是账单有显示而已上个月的话一个是大富翁闯关 这个问题 您是查询上个月的话费总共是七十五块其中有三十块钱两个是大富翁闯关一个是石头剪刀布总共三十块这个三十块它那个账单那个显示是虚的那个钱是移动公司来电付的没有扣您钱您上个月实际上就消费了四十五块九毛钱啊不要担心 那那那个我这个他们就是五十多呀我七十多呀 
您好你好 诶你好你好你好你好我我这个这部手机那个呃三十八套餐干嘛每个月都用它呃我们有车立即失了 五五六十六七十是吗我给您看一下您稍等一下我看一下你好我看了一下除了您基础套餐以外的话您这是有办了一个宽带 宽带宽带那个不是免费的呃第一年免费的嘛 对啊第一年免费您第一年时间已经过了您去年八月份办嘛到今年八月份它已经一年时间结束了 去年八月份 对啊我这边三十八的 不是不是不是不是你这个弄错了 
你好请讲 你好我想办理q六g六十元那个流量怎么不行呢 我帮您看一下稍等一下呃那是因为您这张卡上个月开通那个还没用完所以这个月还不能开那您用完才能开 噢那可是那边给我提示说用完了 还没用完的还剩一千零三十兆 客气噢好 对还有那个还是是没错用完再来电话好吗 好 
喂你好 呃我想问一下我这个套餐套餐买了噢呃不是每个月套餐内五百兆流量还要再送五百流量吗他怎么上个月没有送 您好您那个手机上面套餐是十月一号生效的呀您的这个七十九块钱套餐里面的五百兆就五百兆就是七十九里面送的跟上个月没有关系啊 噢呃对 我们是七十九里面它本来就一千兆五百兆省内的五百兆国内的呃那您的这个手机是这个月一号开始生效所以跟上个月应该没有什么关系 这个套餐是这个月才生效啊 没错十月一号啊 诶那我宽带好像上个月就用了 
您好请说 诶你好诶请问一下你这个移动公司是不是是不是老那个逃税掉了一样的我那个宽带的话是两年送一年我才用了一年你现在那一个一个一个什么人电话打来跟我讲那个说我宽带已经到期了 有种查的是哪一张卡呀本机的是吧还是 啊 查询是哪个号码的宽带本机的吗 呃本机的 嗯我看一下噢您稍等您的宽带两年是到这个月底为止十一月一号到期 在一六年一月一号到期但是我现我去年才交交才交了钱呢 
您好请说 签到诶您好问一下我这部手机它发了一个短信说呃一个月什么p面什么九元你帮我看下这是怎么回事 这边帮您查看是有开通一个手机保障服务一百 那我都没有开下开通这项项目为什么要给我无缘无故再给我开一个这样的项目啊 嗯请您稍等我帮您查看您这边现在不需要的话我这边现在马上帮您做取消好吗 那是不是有扣九元呐 现在暂时的话还没有 那你给我取消掉不需要了 
您好请说 喂你好诶我想问你一下吧就是说我这个想办那个就是呃呃保底消费零电子券的那我这边为什么办不了啊 行行你看一下 谢谢啊哎那边他要 本机的话之前的话就有受理过就按零这营销活动啊 就是说之前有送过了是吗 对是的 送过了是吗 
请 八元让我怎么过来这么贵一些我们是吧 呃您好女士很抱歉女士感谢 您哎帮您喂 您好 我都已经刚刚打电话好像过来会给我们是吧 喂是呃这个我们无法这边是什么问题呢 那我们不用这个号码怎么怎么还强调我们用一年的是吧 
