您好请问需要办理新装宽带吗嗯是 嗯 
您好请讲 哎你好我这边有个宽带要移到另外一个地方操作 
标准本机新装宽带吗 喂你好诶请问一下上次我老婆手机不是你们有活动那个活动那个套餐嘛它是两年送四g吗还有送一个机顶盒吗好那现在我想叫他输进来装还没装你那边电话多少 
您好请问新装宽带是吗 呃对 
您好请讲 噢你好我想问一下我把那个宽带嗯宽带什么问题呢所以我想办理宽带 
你好有什么可以帮您 啊我要办理宽带啊 
您好请说喂你好呃 我我这个本地网准备是呃申请那个宽带嗯嗯然后那个是 
您好请说 喂你好 
嗯嗯没有您好您说请讲 喂你好我想问一下我的那个要宽带也关掉呃您要 
您好请问是本机号码新装宽带是吗 对那您好先生有什么活动哎装点在呃金山区在呃仓山区金山这边那个与桐苑 
早上好请讲您好请说 您好 
您好请讲 哎你好我这边那个是从龙路城关城东路的那个十八号九后面的这个是属于你们那个我们要申请一个那个移动的这个宽带是你们这边负责吗 
没您好请讲 喂你好我想查一下我们这个地方怎么样开那个宽带 
您好请说 你好诶我想安装你们这移动的宽带 
您好很高兴为您服务 诶我我这个这个宽带就是不是要取消取消一下怎么解决 
您好请讲你好我 咨询一下恩打扰钟到达什么标准才能办那个宽带业务啊我是移动的周五啊这个 
早上好请说 喂诶你好我那个宽带的这个月到期啊手机你直接给我取消掉您好请稍等一下先生我帮您查一下嗯嗯请不要挂机稍等 
您好请说 呃我想咨询一下现在的宽带的话是怎么安装的 
您好请讲 噢我呃这个本地那个呃网络要要天 
嗯嗯您好有需要新装宽带吗 对啊 
您好很高兴为您服务 你好我这边办理移机一下 
早上好 我们这边要办理记一下 
您好请说 你好我我要移机一样 
您好请问需要新装宽带什么噢对是呃本机办啊嗯对行那您这个地址告诉我帮您看一下每次呀 噢早上我拨打过来只是说你这个打打打打打不通我这边是有光纤上网的这个这样的就是泉州鲤城区 
嗯您好很高兴您服务 呃我想那个办理那个宽带业务 
大学 啊你好我是想说那个我想宽带到期之后有取消不要自动运行不行啊 
你好啊你好 我想申请一下那个移机 
您好请问本机新装宽带吗 噢我想宽带移机移机 
您好请说你好 你好我想宽带移机 
您好 诶你好嗯请讲哦我就是那个宽带不是那个当时办办理那个宽带已经到期了噢 
您好很高兴为您服务 诶您好我那个 
不客气您好请讲取消你好 呃是噢我要宽带可以提醒一下 
您好请问是本机新装宽带吗 对想装诶你这个是不是有那个就是跟话费捆绑在一起的是有什么活动吗 
您好请问新装宽带吗 诶对你好那个我这个移动套餐不是赠送了一个宽带吗 
嗯您好很高兴您服务您好 喂你好 
您好请说 喂你好我宽带想移机因为是什么东西呀 
您好请问需要办理新装宽带吗 啊对就是说我前面是说有客服给我打电话说我这个号码是可以就是我这个手机号码可以装一部宽带嘛它是一年送一年因为之前的话有那个工作人员说我住的那个地方是没有端口现在因为我搬的房子我想问一下还可以装吗 
嗯 拜拜 
您好您需要新装宽带吗 哎你好对我就问一下我现在这边现在能不能装之前有申请过说是没有端口不知道现在能不能装好 
您好您是要新装宽带吗 诶对你好 
二百条 喂 
你好喂你好 啊你说一下我这个宽带取消对能帮我 
您好请说吧你好帮我那个这个手机的那个宽带给我取消掉了不好意思我们这个电话中的话取消不了宽带而且您这号码有绑定宽带合约还没到期您可以等宽带活动到期后再去营业厅让他们给您取消宽带 什么时候到期啊 
嗯哼您好请讲 呃小姐诶你好诶我不知道月十五号楼二六换了六零三的我当初装的宽带那个综合北吧 
您好很高兴您服务 哎你好我这边要那个宽带要移个地方 
您好请讲 诶你好嗯不用我要一个宽带 
您好请说 哎你好嗯幺八套餐它要多久 
你好请问是要宽带移机吗 对吧 
为您服务 帮您 
再见你好请讲 诶那我这边要装宽带 
您好请问需要新装移动宽带吗 嗯对我想宽带移机 
嗯嗯嗯嗯您好您说你好我想就是把宽带迁到另外一个地方去 可以呀那移机是吧 
您好请问是要办宽带移机是吗 呃对我还想说因为我搬的新疆那边是有电视的我就想说现在就是电视这一块现在是装个机顶盒还是怎么样木跟电视一起连着 
工号请问是办宽带移机吗 对啊 
你好你好您好 嗯嗯你好我想申请一下那个移动宽带 
您好请讲 诶你好呃我想问一下我这边宽带要迁移的话怎么 
您好本机要新装宽带吗 哎你好我对我想在翔安店香港那边我厦门翔安那你们有没有包年的套餐吗 
很高兴为您服务您好 哎你好请问下我这边想办一个那个宽带 
你好本机新装宽带吗 哎你好我问一下我那个那个就是光纤那个盒子到我家里边还有两百多你能不能迁过去啊 
您好请讲呵呵 噢 
您好很高兴为您服务 啊你好我想问 
您好请讲 诶 
您好请问本机要办理宽带移机吗 对 
您好请说 哎你好我有个宽带到关于内使用我现在是在浦东西路公园之间嗯嗯诶 
请问是本机号码新装宽带是吗 嗯对 
您好请讲 诶您好 
您好您需要什么宽带吗 喂我要那个把这边的那个宽带移到别的地方去 
您好请讲 跟你的宽带怎么办啊 
您好请说 诶你好 
您好请说 喂你好评价诶我这个手机之前是有绑定一个宽带就是手机存那个 
您好很高兴为您服务 呃您好就想帮我的宽带迁移一下 
哎请讲 你好 
您好请讲 哎您好是这样我这有办理的呃有买这个卡完了之后它里面是有送那个宽带的 
您好请说 喂你好你好我想帮我发的宽带来移掉 
嗯很高兴服务没有我是想这边移机过来我说我打电话手机停电过来嗯他们过来好我马上帮您查一下恩没看到有申请移机啊您是直接联系他个人吗什么所以我一个人他这个他也不九呃因为现在过来还差明白好那我这边重新帮您申请请稍等嗯嗯 
您好很高兴为您服务 哎你好你能帮我那个查询一下那个宽带嘛然后叫他过来帮我安装一下那个确定了 
再联系啊 诶你好 
你好请说 诶你好呃我这个手机号不是有绑定一个网络吗 
七五 您好请说 
