您好请问需要办理新装宽带吗嗯是 嗯 噢好的那麻烦您告诉我一下您安装的地址在哪里我帮您查查一下地址是在那个呃将军大的 将军大道二百一十八号 
您好请讲 哎你好我这边有个宽带要移到另外一个地方操作 我帮您登记到时候会有人给您回复电话您是本机号的宽带还是他机的 本机本机的 
标准本机新装宽带吗 喂你好诶请问一下上次我老婆手机不是你们有活动那个活动那个套餐嘛它是两年送四g吗还有送一个机顶盒吗好那现在我想叫他输进来装还没装你那边电话多少 你是说其他号码吗 是我老婆的手机 
您好请问新装宽带是吗 呃对 那您是想您这号码套餐刚刚有送地址告诉我帮您办 呃之前是你们 
您好请讲 噢你好我想问一下我把那个宽带嗯宽带什么问题呢所以我想办理宽带 噢我帮您转到宽带专家会有专人帮您申请然后介绍资费好吗 好的 
你好有什么可以帮您 啊我要办理宽带啊 要新牵一条移动的宽带是吗 对 
您好请说喂你好呃 我我这个本地网准备是呃申请那个宽带嗯嗯然后那个是 免费是不是现在可以免费版的呃申请宽带的话那我这边给您转接宽带客服咨询一下具体资费情况您电话不要挂好吗恩好请您稍等 
您好请说 喂你好 诶您好您说嗯 是有办了一个宽带噢但是我那个机顶盒没拿因为之前那个就是高清嗯嗯嗯嗯 
嗯嗯没有您好您说请讲 喂你好我想问一下我的那个要宽带也关掉呃您要 宽带取消吗我查一下您稍等一下那这样子的宽带如果不要的话得带您身份证到移动营业厅的话取消一下 噢噢好好好我知道 
您好请问是本机号码新装宽带是吗 对那您好先生有什么活动哎装点在呃金山区在呃仓山区金山这边那个与桐苑 呃稍等一下 噢 
早上好请讲您好请说 您好 您好请说 嗯我现在就是说宽带要过一个地方要怎么弄呢 
您好请讲 哎你好我这边那个是从龙路城关城东路的那个十八号九后面的这个是属于你们那个我们要申请一个那个移动的这个宽带是你们这边负责吗 是您这个号码要再办一个三明地区的宽带不是不是这个 我一个一个店铺的一个店铺要办一个那个移动的宽带 
没您好请讲 喂你好我想查一下我们这个地方怎么样开那个宽带 噢马上帮您转宽带客服哈您不要挂电话 
您好请说 你好诶我想安装你们这移动的宽带 移动宽带那这边的话要为您转接到我们的宽带客服然后这边有工作人员可以帮您处理我帮您转接请不要挂电话好吗好好请不要挂电话我马上为您转接好吧知道吗 
