一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 您要办理的那个地址哪里报一下 请问好好静安区金山路 十七号省军区第六感觉吗稍等一下七 
您好请讲 喂你好 你好 呃那个我想问一下我手机上是不是订了一个什么时候嗯哼 
您好请讲 诶你们那边是有一个那个八十八块的套餐然后有那个四点五g流量那个一千两百分钟通话 省内流量是吧对返四百八十八元套餐五g流量现在办理通话 你帮我把这个套餐改掉吧我就那个等于三八套餐呀 
现在我们家的我流量老百兆联系不到了扣费 诶您好呃您好我想咨询一下就说你们到香港是不是有一种业务是流量加那个分钟的那种套餐的包有啊那您去香港几天呢 五天 两天那边的话是这样的如果您需要加语音的话五天是一百二十八块钱 
您好很高兴为您服务 你好嗯嗯 您好有什么需要帮助的嗯 你好我这边提醒说什么vip什么是还都都这个是什么什么套餐 
你好有什么可以帮您诶你好 我其我这个省内流量不够用你能不能帮我推荐一款那个比较资费的流量流量包啊 流量包现在是您听一下公司有做一个活动是这样的里面六十块钱有六g六g在办里面都可以使用 六g就是那六十块钱六g半年之内使用 
喂你好喂你好我想查询那个十元的流量包可以吗呃开什么流量包十元十元的流量包是什么的你说我想问一下你这个流量包开了之后在香港那边可以用吗 呃流量包在香港不能用在香港是要另外计费的您是要去香港是吗 对对去几天那就就是香港澳门的那个不知道 呃两两天就不用开了您到那边有用它是按按照三块钱一天是封顶三十块的然后在当地使用流量不限量 
嗯哼你好请说 喂你好 嗯你好 诶问一下现在办宽带有是吧是什么套餐呢 
嗯嗯嗯嗯好您好高兴您服务喂你好平均我想了解一下那个有什么比较优惠的流量套餐 流量套餐比较优惠有个六十块钱六个g的流量它这个一百八十天之内都可以使用 噢呃除了这个就是这个月有效下个月取消的那种 你如果说自动取消呢只有加油包啦加油包只有一种十块钱一百兆下个月一号会自动取消 
诶您好很高兴为您服务请说 啊我的这个还怎么这个现在上面哎你好请问什么是三十八元的套餐 噢就是说先生您好下个月他帮您改为那个新飞享三十八了就流量增加了输入也增加了就是帮您换一种升级版的新飞享三十八了价格不变就帮您全部都已经升级到了 因为我不是十八元的吗二十九元的套餐嘛 
您好请讲 你好请问一下我办理的八十八的套餐那个是分钟数多少 它是国内三百分钟本地打国内九百分钟 啊一千二分钟国内三百噢 
很高兴您服务您好 呃您好我想问一下刚才有个人打电话说那个改那个五十八元的套餐这个套餐那个内容是什么我都没更新 呃他每个月会送给您四百分钟打电话三个g流量对 那多少g流量啊 
您好请说 哎你好我想问一下去香港漫游的话有什么日套餐吗 香港套餐没有车去香港漫游让你自己过来啊香港漫游的这些好您先生 是一个两三天吧 
您好请说喂你好 就是那个我我我这张卡是不是有三百分钟那个话费 现在有三百分钟 诶三百分钟那那我就一年噢你们还有两百多分钟我话费怎么会被扣走 
您好请讲 诶你好帮我查一下我这个套餐里面是有多少那个省外的但是通话还有那个流量 呃您现在这个五十八套餐里面一百分钟五百兆流量都是全国通用的 一百分钟还有多少 
您好请讲有 哎你好问一下就是开通两城一家的话它是呃哪里不一样啊 不用开两城一家因为现在已经取消全国漫游费了 噢就不用开通就是反正我到外省的话也是一样的是吗 
啊你好请讲 嗯我昨天收到短信这个这个移动我这个移动数据好像每个月是六百兆我这套餐那我前面有看到短信反正我都到一g多了那我这个这个到底是我这个这个套餐的话这个移动数据的免费流量是多少一个月 套餐自带只有六百兆流量 那我前两个月不是都有不是上个月不是都通知我一g多了那这个现在 
早上好很高兴为您服务 呃您好我想问一下现在有什么就是比较直划算的那种流量包啊 流量包那您这边的话今天开的话您可以按天折算开原价是三十元那今天开的话是赠送您大概六百多兆就收您十几块钱也是大概要多少多少兆流量的是这个月用还是说接下来每个月都要 这个月 
早上好 喂 有什么可以帮您 啊我想问一下嗯那个在省外用流量有什么可以可以上面 
很高兴为您服务 诶你好 恩你好 呃我问一下这张卡的套餐是不是无限流量的在四倍 
