一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   您 要 办理 的 那个 地址 哪里 报 一下
您好 请 讲   喂 你好
您好 请 讲   诶 你们 那边 是 有 一个 那个 八十八 块 的 套餐 然后 有 那个 四点 五 g 流量 那个 一千两百 分钟 通话
现在 我们 家 的 我 流量 老 百兆 联系 不到 了 扣费   诶 您好 呃 您好 我 想 咨询 一下 就 说 你们 到 香港 是不是 有 一种 业务 是 流量 加 那个 分钟 的 那种 套餐 的 包有 啊 那 您 去 香港 几天 呢
您好 很 高兴 为您服务   你好 嗯 嗯
你好 有 什么 可以 帮 您 诶 你好   我 其 我 这个 省内 流量 不够 用 你 能 不能 帮 我 推荐 一款 那个 比较 资费 的 流量 流量 包 啊
喂 你好 喂 你好 我 想 查询 那个 十元 的 流量 包 可以 吗 呃 开 什么 流量 包 十元 十元 的 流量 包是 什么 的 你 说 我 想 问 一下 你 这个 流量 包开 了 之后 在 香港 那边 可以 用 吗   呃 流量 包 在 香港 不能 用 在 香港 是 要 另外 计费 的 您 是 要 去 香港 是 吗
嗯 哼 你好 请 说   喂 你好
嗯 嗯 嗯 嗯 好 您好 高兴 您 服务 喂 你好 平均 我 想 了解 一下 那个 有 什么 比较 优惠 的 流量 套餐   流量 套餐 比较 优惠 有个 六十块 钱 六个 g 的 流量 它 这个 一百八十 天 之内 都 可以 使用
诶 您好 很 高兴 为您服务 请 说   啊 我 的 这个 还 怎么 这个 现在 上面 哎 你好 请问 什么 是 三十八 元 的 套餐
您好 请 讲   你好 请问 一下 我 办理 的 八十八 的 套餐 那个 是 分钟 数 多少
很 高兴 您 服务 您好   呃 您好 我 想 问 一下 刚才 有 个人 打电话 说 那个 改 那个 五十八 元 的 套餐 这个 套餐 那个 内容 是 什么 我 都 没 更新
您好 请 说   哎 你好 我 想 问 一 下去 香港 漫游 的话 有 什么 日 套餐 吗
您好 请 说 喂 你好   就是 那个 我 我 我 这 张卡 是不是 有 三百 分钟 那个 话费
您好 请 讲   诶 你好 帮 我查 一下 我 这个 套餐 里面 是 有 多少 那个 省外 的 但是 通话 还有 那个 流量
您好 请 讲 有   哎 你好 问 一下 就是 开通 两城 一家 的话 它 是 呃 哪里 不 一样 啊
啊 你好 请 讲   嗯 我 昨天 收到 短信 这个 这个 移动 我 这个 移动 数据 好像 每个 月 是 六百 兆 我 这 套餐 那 我 前面 有 看到 短信 反正 我 都 到 一 g 多 了 那 我 这个 这个 到底 是 我 这个 这个 套餐 的话 这个 移动 数据 的 免费 流量 是 多少 一个月
早上好 很 高兴 为您服务   呃 您好 我 想 问 一下 现在 有 什么 就是 比较 直 划算 的 那种 流量 包 啊
早上好   喂
很 高兴 为您服务   诶 你好
您好 请 讲   诶 你好 帮 我 看 一下 那个 语音 通话 跟 国内 主叫 通话 有 什么 区别 吗
嗯 哼   您好 您 请 讲
下午 好 请 讲   诶 喂 您好 我 想 问 一下 我 不是 办 那个 一百三十八 的 那个 套餐 就是 无线 的 那个 流量 吗
你好 请 讲   呃 呢 好像 有 什么 流量 有 有没有 比较 优惠 的
您好   诶 你好 你 帮 我 查下 这个 手机号码 是 用 这个 套餐 的
你好   呃 我 这个 号 里面 的 套餐 有 流量 吗
哎 您好 请 讲   哎 你好 我 想 请问 一下 我们 移动 是不是 有 一款 那个 八八 套餐 一个月 五个 g 的 那个 流量
您好 请 说   那 我 想 问 一下 我 这个 呃 飞享 五十八 元 套餐 它 的 国内 流量 是 多少
您好 请 说   呃 您好 我 就是 想 那个 流量 的 套餐
嗯 嗯 嗯 嗯 嗯 您好   喂 你好 呃 我 问 一下 我 现在 开 那个 流量 包要 开 哪 一种 比较 划算 来
您好 高兴 为您服务   诶 你好 我 想 再 加点 流量 然后 哎 什么样 的 比较 合适
对 您好 请 讲   诶 你好 我 想 问 一下 噢 就是 办 了 香港 的话 流量 是 有 几天 的 套餐
您好 请 讲   有没有 就 因为 我 现在 流量 没 了 嘛 有没有 就 用 一个月 的 流量
需要   嗯 嗯
嗯   您好 请 讲
你好   来电 呢
您好 很 高兴 为您服务 哎 你   哎 你好
哎 您好 请 讲   喂 你好 你好 我 这个 手机 一个 锦兴 集团 了 一个 什么 集团 业务 的 这个 是 什么 是 什么 东西 啊 我 看 一下 啊
很 高兴 为您服务 哎   请问 一下 你们 有 噢 流量 多 话费 少 的 那种 套餐 啊
嗯 嗯   您好 请 说
您好 有 什么 帮助 您   哎 你好 呃 我 想 就是 下个月 想改 一下 那个 套餐 你 帮 我 看看 有 什么 套餐
您好 很 高兴 服务   你好 嗯 有 有没有 两块钱 一天 的 流量 包 啊
您好 很 高兴 为您服务   诶 您好 我 想 问 一下 那个 现在 有 一个 套餐 是 三十八 元 然后 送 三百 分钟 话费 和 一 g 的 流量 有 这个 套餐 吗
您好 请 讲   喂 您好 我 想 问 一下 现在 有 什么 流量 的 套餐 有 优惠 的 吗
您好 请 讲 你好   你好 问 一下 我 这里 面包 月 什么 北京 万南 科技 是 什么 啊
您好 请 说   嗯 嗯 喂 你好
您好 请 说   哎 你好 现在 有 什么 流量 的 那个 套餐 呀
您好 有 什么 帮到 您 的 吗 喂 你好   我 问 一下 那个 套餐 我 本来 是 五十八 那个 套餐 帮问 一下 幺 三八 套餐 它 它 这个 具体情况 他 里面 说 说 是 本地 流量 免费 就是说 在 我 这 是 福州 的 卡浦区 八 县内 他 只有 流量 都 是 免费 的 吗 是 这个 意思
您好 请问 什么 可以 帮 您   我 想 问 一下 我 这个 幺 三七 九九 二五 这个 手机号 噢
你好   喂 你好 那个 我 想 问 一下 现在 因为 我 这个 手机卡 是 泉州 卡嘛 然后 我 因为 我 现在 在 福州 想 问 一下 有没有 那个 什么样 的 那个 套餐 就 合适 一点 的 流量 套餐
再见 啊   您好 很 高兴 为您服务 您好
您好 很 高兴 为您服务   呃 那个 我 想 问 一下 这张 手机卡 有没有 无限 流量
嗯 您好 您 请 讲   我 问 你 一下 我 那个 套餐 里面 那个 呃 通话 一百 分钟 的 是 是 什么 意思
您好 请 讲   诶 喂 你好 诶 我 想 问 一下 噢 就是 我 收到 短信 什么 事 呃 什么 是 叫 什么 不可 共享 的 流量 用 完 了 什么 意思 啊
恩好 您好 请 讲 呃   啊 移动 现在 是不是 有 那个 什么 无限量 那个 流量 的 套餐
