一个 您好 请问 您 稍后 宽带 办理 还是 咨询 是 是 办理 我 做 的 是 幺 八八 的 套餐 原来 有 送 宽带 的 是 吗 哦   您 要 办理 的 那个 地址 哪里 报 一下   请问 好好 静安区 金 山路   十七号 省军区 第六 感觉 吗 稍等一下 七
您好 请 讲   喂 你好   你好   呃 那个 我 想 问 一下 我 手机 上 是不是 订 了 一个 什么 时候 嗯 哼
您好 请 讲   诶 你们 那边 是 有 一个 那个 八十八 块 的 套餐 然后 有 那个 四点 五 g 流量 那个 一千两百 分钟 通话   省内 流量 是 吧 对 返 四百八十 八元 套餐 五 g 流量 现在 办理 通话   你 帮 我 把 这个 套餐 改掉 吧 我 就 那个 等于 三八 套餐 呀
现在 我们 家 的 我 流量 老 百兆 联系 不到 了 扣费   诶 您好 呃 您好 我 想 咨询 一下 就 说 你们 到 香港 是不是 有 一种 业务 是 流量 加 那个 分钟 的 那种 套餐 的 包有 啊 那 您 去 香港 几天 呢   五天   两天 那边 的话 是 这样 的 如果 您 需要 加 语音 的话 五天 是 一百二十八 块钱
您好 很 高兴 为您服务   你好 嗯 嗯   您好 有 什么 需要 帮助 的 嗯   你好 我 这边 提醒 说 什么 vip 什么 是 还 都 都 这个 是 什么 什么 套餐
你好 有 什么 可以 帮 您 诶 你好   我 其 我 这个 省内 流量 不够 用 你 能 不能 帮 我 推荐 一款 那个 比较 资费 的 流量 流量 包 啊   流量 包 现在 是 您 听 一下 公司 有 做 一个 活动 是 这样 的 里面 六十块 钱 有 六 g 六 g 在 办 里面 都 可以 使用   六 g 就是 那 六十块 钱 六 g 半年 之内 使用
喂 你好 喂 你好 我 想 查询 那个 十元 的 流量 包 可以 吗 呃 开 什么 流量 包 十元 十元 的 流量 包是 什么 的 你 说 我 想 问 一下 你 这个 流量 包开 了 之后 在 香港 那边 可以 用 吗   呃 流量 包 在 香港 不能 用 在 香港 是 要 另外 计费 的 您 是 要 去 香港 是 吗   对 对 去 几天 那 就 就是 香港 澳门 的 那个 不 知道   呃 两 两天 就 不用 开 了 您 到 那边 有用 它 是 按 按照 三块 钱 一天 是 封顶 三十块 的 然后 在 当地 使用 流量 不 限量
嗯 哼 你好 请 说   喂 你好   嗯 你好   诶 问 一下 现在 办 宽带 有 是 吧 是 什么 套餐 呢
嗯 嗯 嗯 嗯 好 您好 高兴 您 服务 喂 你好 平均 我 想 了解 一下 那个 有 什么 比较 优惠 的 流量 套餐   流量 套餐 比较 优惠 有个 六十块 钱 六个 g 的 流量 它 这个 一百八十 天 之内 都 可以 使用   噢 呃 除了 这个 就是 这个 月 有效 下个月 取消 的 那种   你 如果说 自动 取消 呢 只有 加油 包啦 加油 包 只有 一种 十块钱 一 百兆 下个月 一号 会 自动 取消
诶 您好 很 高兴 为您服务 请 说   啊 我 的 这个 还 怎么 这个 现在 上面 哎 你好 请问 什么 是 三十八 元 的 套餐   噢 就是说 先生 您好 下个月 他 帮 您 改为 那个 新飞 享 三十八 了 就 流量 增加 了 输入 也 增加 了 就是 帮 您 换 一种 升级版 的 新飞 享 三十八 了 价格 不变 就 帮 您 全部 都 已经 升级 到 了   因为 我 不是 十八元 的 吗 二十九 元 的 套餐 嘛
您好 请 讲   你好 请问 一下 我 办理 的 八十八 的 套餐 那个 是 分钟 数 多少   它 是 国内 三百 分钟 本地 打 国内 九百 分钟   啊 一千二 分钟 国内 三百 噢
很 高兴 您 服务 您好   呃 您好 我 想 问 一下 刚才 有 个人 打电话 说 那个 改 那个 五十八 元 的 套餐 这个 套餐 那个 内容 是 什么 我 都 没 更新   呃 他 每个 月 会 送给 您 四百 分钟 打电话 三个 g 流量 对   那 多少 g 流量 啊
您好 请 说   哎 你好 我 想 问 一 下去 香港 漫游 的话 有 什么 日 套餐 吗   香港 套餐 没有 车去 香港 漫游 让 你 自己 过来 啊 香港 漫游 的 这些 好 您 先生   是 一个 两三天 吧
