您好 请 说 你好 可以 听 得到 吗 嗯 您 说   呃 请问 一下 我 以前 有 一个 送 一台 什么 宽带 什么 啊 哎呀 怎么 没给 我装 呢   这个 号码 吗   对 啊 这个 号码 你 帮 我查 一下 都 都 过去 掉 了
您好 请 说 您好   诶 请问 一下 啊 哎 我 那个 宽带 有 送 我 一台 那个 宽带 的 机 有没有 没 给 我 安装 啊   哪个 号码 有 送 宽带   啊
早上好   用 我 这 升级 的 那种 升级 了 那个 七十七 十九块 钱 的 那种 套餐 转 到 无线网 吗   呃 先生 您 这个 套餐 就是 七十九 的 您 是 下个月 改成 三十八 的   不是 我 我 交 了 七十九 七十九 叫 叫 别人 的 到 那个 宽带 没来 装 呢
听到 更行 诶 你好 哎 是 这样 的 我 跟 你 问 一下 就是 呃 我 就 这 几个 月 好像 基本上 隔隔 一两天 都 会 收到 那个   就是 中国移动 的 但是 是 手机号 的 就 推销 那些 套餐 的 服务 不 知道 说   你们 官方 的 应该 会 通过   座机 或者 一般 都 是 幺 零零 八六 干嘛 就是说 你 能 不能 说 主要 是 我 的 营销 了 因为 我 自己 以前 上 过 套餐 了 那 有 一些 新 的 资费 的话 我 觉得 就 不要 重复 营销 因为 确实 倒 是 上门 的 时候 接到 挺 多 的
你好 为您服务   我操 你们 这 是 幺 零零 八六 怎么 那么 难 打 通话   今天 早上 比较 多用 同 时间 拨打 人工 台新 咨询 问题 那 非常 抱歉 让 您 久等   你 帮 我 马上 开机 一下 他们 的 钱 的 流量 两块钱 你 又 给 我 停 了 我
您好 请 说   哎 就是 我 那个 停办 了 什么 一百三十 九 那装 宽带 怎么 怎么 还 没 过去 装 啊   是 说 您 登记 的 移动 宽带 但是 还 没 给 您 装 是 吧   其他 全都 帮 我 扣 了
您好 请 讲   喂 你好   有 什么 可以 帮 您   我们 这边 宽带 都 修 了 两三天 什么 时候 能 修好
您好 请 说   你们 那 幺 零零 八六 幺 幺 毛病 啊 我们 有 没 欠 你 话费 早上 推 什么 话费 啊   噢 先生 我 帮 您 看 一下 啊 您 是 说 它 短信 发给您 还是 说 电话 还是 给 您 打 呢   电话
您好 请 说   嗯 诶 我 想 问 一下 噢 就是 我 十五号 有 打电话 那个 就是 宽带 移机 嘛 噢   嗯 嗯   然后 怎么 到 现在 都 没有
您好 很 高兴 为您服务   啊 你好 诶 我 是 我 另外 一个 手机号 幺 三五 幺 三八 零 八五 二二零 三七 这个 电话 噢 嗯 已经 跟 你们 反映 过 了 你们 说 要 帮 我 解决   都 好 几天 的 密码 知道 吗   啊
您好 很 高兴 服务   喂 你好   嗯   诶 我 这边 跟 你们 打 过 电话 这个 这 一个 电视 都 没有 信号 怎么 说 受理 到 现在 了 差不多 半个 月 的 为什么 都 还 没有 还是 一样 的 噢 非常 抱歉 帮 您 查询 一下 哎
您好 高兴 为您服务   哎 是 上次 反映 的 那个 什么 线路 的 问题 白云 线路 的 问题 我 看 一下 到 线路 就是说 从 你们 那个 呃 的 那 拿 过去 的   呃 我 帮 您 查询 一下 您 稍等一下 呃 都 就是 反映 的 这个 移动 线路 的 那个 问题 他 那边 现在 还 没 给 您 处理 好 吗 还是   这个 还 没人 去 处理 了
你好 请 说   喂 你好   你好   我 我 这个 装 的 宽带 前天 说 昨天 说 今天 说 我 说 那个 装 宽带 那个 电视 看 不了 它 前天 是 二十四 小时 内 给 我 回复 昨天 今天 我 打电话 给 他 刚才 回复 一下 到 现在 没 没 没 没 没 给 我 弄 划算
什么 很 高兴 您 服务 您好   你好 问 一下 我 不是 在 你们 商城 上面 有 说 换 了 一个 应江 吗   嗯 嗯   怎么 那么 多天 了 还 没有 派送 啊
您好 很 高兴 为您服务   我现 啊 我 问 他 给 我 那个 幺 五 九五 九 六八 六二 九六 的 那个 宽带   呃 另外 就 呃 宽带 不能 用 还是 什么 问题 机 你 才 查询 知道 了 我 以为 我 天天 晚 你们 这个 现在 要 不要 不要 给 我 处理 的 都 没 出去 嗯 很 抱歉 给 您 带来 不便 那 部手机 的 号码 跟 密码 会 知道 吗   幺 五 九五 九 六八 六 二九
啊   您好 很 高兴 为您服务   喂 你好 我 想 问 一下 我 的 宽带 宽带 叫 你们 来修 很 久 都 没有 来   噢 您 是 说 宽带 之前 有 故障 了 我们 工作人员 到 到 现在 都 还 没有 去 厦门 帮 您 服务 是 吧
您好 请 说   我 刚刚 投诉 那个 怎么回事 都 没 回话 的   呃 您 投诉 什么 问题 我 给 您 查询 一下   他 说 办 什么 什么 卡号 发个 短信 跟 我 说 什么 我办 那个 什么 十块 一毛够 两 g 的 什么 我 什么 时候 办过 这个 一下
您好 请 讲   你好 我 前两天 有 投诉 我 说 我 现在 的 套餐 就是 怎么 之前 工作人员 就是 帮 我 转转 然后 他 要 然后 就 套餐 的 东西 都 变 了 不 一样 了 这个 两天 都 没有 人 给 我 处理结果 呀   请稍等 帮 您 查 一下 您 的 反馈 记录   嗯
您好 请 说   唉 你好 你好 呃 帮 我 我 那个 宽带 一直 没来 装 我 现在 要 取消 掉   嗯 嗯 好 的 那 我们 帮 您 申请 去 取消 掉 您 稍 等   好好 好好
嗯 挺 好 请 说   给 我 问 一下 就是 我 幺 三九 套餐 办 了 半年 了 怎么 宽带 还 没 给 我 装   嗯 稍等一下 之前 有 说 是 什么 原因 不能 装 吗   这个 窟窿 啊 窟窿 那个 半个 月 一个月 就 可以 了 现在 半年 了
你好 有 什么 需要 帮助   喂 您好 我 噢 我 上个月 那个 有 打电话 跟 你们 说 要 安 宽带 啊   嗯 嗯   一直 拖 到 这个 月
