您好 很 高兴 您 服务   噢 我 这个 月 的 话费 帮 我发 一下 吧 看看   因为 给 您 发过来 下来 就 可以 来 很 抱歉 当时 吧 行好 的 那 已经 给 您 发手机 上 了 注意 查收 一下 嗯 还有 其他 可以 帮 您 的 吗
您好 很 高兴 您 服务   诶 你 那个 几月份 的 账单 就 就 给我发 一下 吧   可以 的 那 十月份 给 您 下发 过去 就 一个 基本 套餐 三十八   啊
很 高兴 为您服务   喂 你好 喂 你好 帮 我 那个 那个 本机 的 那个 余额 账 账单 发给 我 看 一下   噢 您 本机 欠费 停机 了 呀 这 样子 的话 您 的 短信 是 收不到 的 我 看 一下 噢 那 我 得 帮 您 想 办法 帮 您 复机 完 之后 发短信 过去 所以 我 先 帮 您 临时 复机 卡 行不行 请 稍等一下 噢   嗯 嗯
您好 请 说   喂 你好 我 想 问 帮 我 那个 什么 这个 月 账单 这个 他们 消费 情况 给我发 一个 给 我 呀   账单 是 吗   对 他 每个 每项 没上 的 我 感觉 这个 月 好像 反 话 费用 了 那么 多
您好 请 说   诶 麻烦 你 把 我 这个 手机 里面 的 那个 呃 每个 月 扣款 的 费用 给我发 一个 信息 给 我 吧   我 帮 您 看 一下 您 有 开 哪些 稍等一下 哈   好 的
对 您好 请 讲   诶 你好 那个 我要 开 一下 那个 本机 的 这个 发票 就是 q 三 就是 三季度 的 然后 我 应该 怎么办 我 去 我 我 因为 我 现在 不 在 厦门 我 在 那个 账户 这边 它 这边 的 营业厅 或开 不了 了 让 我 让 我 打 这个 归属 地 的 人工 服务 专线 问 一下 怎么弄   嗯 我们 现在 才 用 的 都 是 电子 发票 了 您 在 省外 也 可以 操作 这个 打印 开具 电子 发票 用 电脑 的话 登录 到 网上 营业厅 来 进行 开机 我 稍后 把 这个 方式 发给您   噢 就 我 自己 在 那个 相当于 移动 官网 上面 来 弄 嘛 是不是 啊
您好 很 高兴 为您服务   喂 你好 帮 我 办 一下 那个 我 这个 手机 要 话费 清单 给 我 一下   好 的 您 稍 等   应该 副 卡能 不能 帮 我
哼 您好 请 说   诶 我 这个 我 上个月 的 那个 电话费 能 不能 具体 的 帮 我 打 一张 出来 一下 好 吧   额 可以 把 您 上个月 的 消费 账单 给 您 发到 您 的 手机   叫 我 他 讲 我 已经 欠费 了
您好 有 什么 可以 帮助 您   不要 谢谢 我 的 账单 给我发 一个 过来 呀   这个 月 的 是 吗   对 对 对 对
很 高兴 您 服务   你好 请 帮 我 是 嗯 就是 我 的 这 两个 月 两个 月 的 两三个 月 那个 话费 账单 发到 我 手机 上来 电   可以 可以 嗯 嗯 说 的 是 上个月 的 账单 吗 九月份   是 两 两三个 月 以来
你好 请 说   你好 那个 帮 我 把 那个 八九月份 的 电子 发票 发到 我 的 邮箱 好 吗   噢 先生 这个 要 麻烦 您 登陆 到 那个 网上 营业厅 上面 进行 推送 我 这边 没 办法 直接 上班 呀   好 那 我 已经 办理 的 那个 邮箱 那个 绑定 的 登记 的
