这种卡 您好请说 哎你工号多少你关机或请说 呃您好那这边的话有什么可以帮您呢 
您好请讲 诶喂你好我想问一下你们现在还有没有那种就是呃我满意订的流量然后换一个盒子里面 就是给小盒子 然后呃按照你们用户名和密码可以上网的那种 
改然后您看 好 多少 诶早上好喂 
你好请说 诶喂你好我刚才又问一下那个呃姓区中山路附近哪有嗯那个你们营业厅你发了一个短信过来呃但是它那边写九月三十号他们这边关闭了呀 呃你是说什么业务 有呃营业厅 
您好请讲 喂我想问一下我诶我那个你们那儿找你们的宽带那个电信这个那个那个遥控器啊易晓搞坏的叫哪里去换去买啊 比如说机顶盒的遥控七是吗 噢就是那个那个按呃要调台的大厅小声那个遥控器啊 
短信您好下午好 哎你好我我想加一个那个掌上营业厅发个链接给我发 掌上营业厅吗等一下下载嗯我们有那个手机营业厅会更好用啊您现在掌上营业厅需要做什么 没有啊就是看看办办那些流量啊那些东西啊 
您好很高兴为您服务 噢你好刚才有人给我打电话来他给我发了办了两个验证码是它这个手机号的它这个是什么幺零零幺零零八六六幺二是不是你们的 噢是我们这边的 噢我老是怕上当他要要怎么我两个验证码 
嗯嗯呃您好请讲 喂小姐你好我想查一下厦门这个嗯我们移动营业厅的营业时间是几点 呃厦门大都会营业厅一般都是十点左右营业早上十点 早上十点是吧不噢噢十点啊有两次嗯 
您好请讲 哎你好 您好 呃我刚才不好在睡觉这个幺零零八六打过来好几个 
您好请讲 哎你好你能帮我查询到厦门就国内居然他那个这边有一个营业厅在哪里吗 福利区我看一下您稍等湖里区哪个地方啊 南山路这边在路这边呀现在你们他他他那边要加营业厅吗 
您好很高兴为您服务 嗯你好我要投诉那个厦门移动请问可以打这个电话吗 可以请问是碰到什么问题呢 三个月钱吧就不停的几乎每个月每个月都会有人打电话问我要不要改套餐我已经改完了他还要不停的打电话要问我要不要打 
早上好 呃喂你好请问一下惠安县东阳镇的营业厅在那边啦 贵安的是吗请您稍等我看一下哈跪安县哪个镇南这 耳东源镇 
嗯您好很高兴为您服务 我问一下那个那么移动宽带那个电话号码多少客服那个 宽带我们这边就可以帮您转接宽带专席您是宽带故障维修还是什么情况 啊对啊 
您好请说 啊我想问一下中午移动有上班吗 我营业厅是吧 对啊 
您好请讲呃你能查一下福建 那个莆田这边步行街一个移动营业厅电话吗 呃营业厅我们都没有登记电话只有地址 一直有什么我知道地址我不知道他们电话他们没有登记吗 
您好请讲 哎我问一下那个营业厅厦禾路跟那个向阳路这边那家就是跟公园东路交叉口再加是几点下班 是厦门是哪个区 思明区 
对噢我问问一下那个东海滨城有没有那个语音发信息怎么会能业务了不是 呃您说什么没听清 就说东海精诚营业大厅的位置在什么地方 中海新城 
呃您好请帮到您两年龙岩龙岩上呢加紧大概的电话吗发一个什么是哪里的龙岩上网交这个单子龙岩上杭证明大队是吗对请您稍等一下啊 
您好您请讲 诶你好我想问一下那个比如说在那个福建福州这边呃其他的违章啊懂打什么电话去查 那这个需要请您比如说打那个比如说交警队那边问一下了 噢他没有直接那个后台 
您好 呃您好帮我查询一下那个地方医院提醒中心的电话 第三医院的 对就相当一月份啊好 
嗯哼您好很高兴为您服务 喂你好我问一下我想问一下不收的我在附近哪里有可以退出不要 要到宁德 要到哪个地方 
你好 喂你好我想问一下有没有维修太阳能的那个电话呀 我看一下稍等中就对 幺零零移到这个开通上 
您好请讲 因为我这边有就是一有一个号码他说我那个号码我已经是什么时候用的然后他说已经超过三个月减的它要叫我去缴清欠费这是你们公司打来的嘛我想确认一下 你说的那是就卷就这样的话如果您确实之前是您自己用的那这种情况的话然后携带您的身份证件可以到营业厅那边去查询 恩这个卡的话是很之前是别人然后我的身份证 
嗯嗯 您好请讲 诶我想问一下那个宽带故障的话找谁啊 我帮您转接到我们的宽带客服哈稍等一下 
您好请讲 你好你帮我那个打过那个流量包有没有数据你们网站什么什么东西啊就是说可以查没开机随时随地可以查那个流量的吗 呃您是说要下载一个软件是吧 噢查看流量了 
您好很高兴为您服务 你好我想问一下那个顺丰那个快递的电话 请您稍等 之内的余额看看能不能说唉呀嗯二三嗯嗯哎啊对对 
您好请讲 诶你好 我想问一下那个 那个移动的现在上班的吗 
你好请说 诶喂您好诶我想问一下就是我就是现在在洛江这边吗浙江这边附近有没有那个租赁公司的电话 好我看一下您刚是说什么公司 租赁叔叔车的 
嗯你好请说 呃我想问一下洛江区还是镇这边哪里有你们移动的营业厅 洛江您稍等我查一下 稍等 
再见您好您说请讲请说 你好我想我想咨询一下就是呃有没有那种漳州一中附近的那个房产中介 那我这边可以帮您转接您问一下好吗 好的好的 
啊您好很高兴为您服务 诶请请问就是超过这个腾讯的电话 腾讯电话是吧 呃 
您好请说 那个你们的工作号是什么 微信公众号码 噢 
你好喂你好 嗯您说 诶我这个宽带故障是找谁啊 宽带是吧移动的我帮您转接一下宽带专家帮您处理一下您的故障 
您好请讲 啊你好我想查询一下那个什么水务局的电话 好您稍等帮您查一下 呃 
您好请讲 喂 呃您好请讲有什么可以帮您的 你们营业厅几点上班 
您好请讲 诶麻烦问一下那个天音台天台呃天津天津网的那个那个牌号码电话电话号码多少知道吗 天鹰网是吧天天每天因因为我的呃是什么因为 今天 
你好 诶喂你好我想问一下那个什么刚才有一个那个福州的电话打过来他发了一条信息是幺零六五八八八发过来的那个是骗人的吗 呃他发送给您是什么信息呢他打电话给您是什么问题呢 就是说我之前有一个那个一百二十块的和包卷就是说呢就积分兑换的拿去呃加油嘛我就没加油然后他现在问我要不要换别的东西就换那个支付宝的 
为您服务你好丽娜就台江区就是煤是你的卡能换刚才没错没诶别就是才江区就近的营业厅在哪里啊就是福是短说半天喂我问你一下你好 恩您好 就是我可能是我那个sim卡可能坏了 那现在换卡是吗 
很高兴为您服务 你好我想查一下浦城那个快递快递的电话 浦城快递随便的块的可以吗 你你有申通那些都那边的吗 
您好请讲 喂你好我想问一下就是我之前呃每个月有五百兆流量然后我有多余的流量它是呃还在里面还是说直接回复消费零呐 流量是不是 对对对 
嗯嗯您好很高兴为您服务 帮我查一下五一中路附近这边这个中呃那个移动营业厅什么时候下班 噢宏浴这家是吗 不是吧 
您好高兴您服务 诶你帮我绑嗯那个呃莆田市湄州岛上面那个移动的电话营业营业厅电话你帮我发一个过来 你好营业厅的电话我们这边系统查询没有这边很抱歉先建议您到当地的营业厅核实一下 噢行那怎么说两 
您好请讲 呃您好我想请问一下噢在莆田这边办的个医保的地方的什么有没有那个地址还是 医保中心是吧 啊就对啊就城厢区凤城厢区这一个 
您好请说啊那个我想查询一下啊申通的那个总台电话是多少全国热线是吧啊好您稍等好好嗯动呃全国热线是九五五四三拨打电话号码已经有下发给您提供参考三是吧是噢好的谢谢啊不客气那祝您天天好心情 
您好请问什么帮助您 你们晚上八九点的时候都没有那个人工在上班吗 有啊 那为什么打进去都打不进去呢 
你好啊 呃呃麻烦你一下这个封顶那个移动营业厅那个位置可不可以那个发送一个给我 嗯女士营业厅的地址是吧 哎对啊那个移动营业厅那个信用封停吗 
嗯嗯四您好请讲 呃你那个这个封顶那个营业厅那个电话号码可不可以那个发送一个过来我这个你发那个的位置我找不到啊 在营业厅没有电话 没有电话 
您好很高兴您服务您好 诶我问一下还有你们那个营业厅是几点下班啊 呃请问一下您要去哪一家营业厅我帮您查看一下营业时间噢 呃我要去就是厦大西村那边那个 
