这种 卡   您好 请 说
您好 请 讲   诶 喂 你好 我 想 问 一下 你们 现在 还有 没有 那种 就是 呃 我 满意 订 的 流量 然后 换 一个 盒子 里面
改 然后 您 看   好
你好 请 说   诶 喂 你好 我 刚才 又 问 一下 那个 呃 姓区 中山路 附近 哪有 嗯 那个 你们 营业厅 你 发 了 一个 短信 过来 呃 但是 它 那边 写 九月 三十 号 他们 这边 关闭 了 呀
您好 请 讲   喂 我 想 问 一下 我 诶 我 那个 你们 那儿 找 你们 的 宽带 那个 电信 这个 那个 那个 遥控器 啊 易晓 搞坏 的 叫 哪里 去 换 去 买 啊
短信 您好 下午 好   哎 你好 我 我 想加 一个 那个 掌上 营业厅 发个 链接 给我发
您好 很 高兴 为您服务   噢 你好 刚才 有人 给 我 打电话 来 他 给我发 了 办 了 两个 验证码 是 它 这个 手机号 的 它 这个 是 什么 幺 零零 幺 零零 八 六六 幺 二 是不是 你们 的
嗯 嗯 呃 您好 请 讲   喂 小姐 你好 我想查 一下 厦门 这个 嗯 我们 移动 营业厅 的 营业时间 是 几点
您好 请 讲   哎 你好
您好 请 讲   哎 你好 你 能 帮 我 查询 到 厦门 就 国内 居然 他 那个 这边 有 一个 营业厅 在 哪里 吗
您好 很 高兴 为您服务   嗯 你好 我要 投诉 那个 厦门 移动 请问 可以 打 这个 电话 吗
早上好   呃 喂 你好 请问 一下 惠安县 东阳镇 的 营业厅 在 那边 啦
嗯 您好 很 高兴 为您服务   我 问 一下 那个 那么 移动 宽带 那个 电话号码 多少 客服 那个
您好 请 说   啊 我 想 问 一下 中午 移动 有 上班 吗
您好 请 讲 呃 你 能查 一下 福建   那个 莆田 这边 步行街 一个 移动 营业厅 电话 吗
您好 请 讲   哎 我 问 一下 那个 营业厅 厦禾路 跟 那个 向阳路 这边 那 家 就是 跟 公园 东路 交叉口 再加 是 几点 下班
对 噢 我 问问 一下 那个 东 海滨城 有没有 那个 语音 发 信息 怎么 会能 业务 了 不是   呃 您 说 什么 没 听 清
呃 您好 请 帮到 您 两年 龙岩 龙岩 上 呢 加紧 大概 的 电话 吗 发 一个 什么 是 哪里 的 龙岩 上网 交 这个 单子 龙岩 上杭 证明 大队 是 吗 对 请 您 稍等一下 啊
您好 您 请 讲   诶 你好 我 想 问 一下 那个 比如说 在 那个 福建 福州 这边 呃 其他 的 违章 啊 懂 打 什么 电话 去查
您好   呃 您好 帮 我 查询 一下 那个 地方 医院 提醒 中心 的 电话
嗯 哼 您好 很 高兴 为您服务   喂 你好 我 问 一下 我 想 问 一下 不收 的 我 在 附近 哪里 有 可以 退出 不要
你好   喂 你好 我 想 问 一下 有没有 维修 太阳能 的 那个 电话 呀
您好 请 讲   因为 我 这边 有 就是 一有 一个 号码 他 说 我 那个 号码 我 已经 是 什么 时候 用 的 然后 他 说 已经 超过 三个 月 减 的 它 要 叫 我 去 缴清 欠费 这是 你们 公司 打来 的 嘛 我 想 确认 一下
嗯 嗯   您好 请 讲
您好 请 讲   你好 你 帮 我 那个 打 过 那个 流量 包 有没有 数据 你们 网站 什么 什么 东西 啊 就是说 可以 查 没 开机 随时随地 可以 查 那个 流量 的 吗
您好 很 高兴 为您服务   你好 我 想 问 一下 那个 顺丰 那个 快递 的 电话
您好 请 讲   诶 你好
你好 请 说   诶 喂 您好 诶 我 想 问 一下 就是 我 就是 现在 在 洛江 这边 吗 浙江 这边 附近 有没有 那个 租赁 公司 的 电话
嗯 你好 请 说   呃 我 想 问 一下 洛江区 还是 镇 这边 哪里 有 你们 移动 的 营业厅
再见 您好 您 说 请 讲 请 说   你好 我 想 我 想 咨询 一下 就是 呃 有没有 那种 漳州 一中 附近 的 那个 房产 中介
啊 您好 很 高兴 为您服务   诶 请 请问 就是 超过 这个 腾讯 的 电话
您好 请 说   那个 你们 的 工作 号 是 什么
你好 喂 你好   嗯 您 说
您好 请 讲   啊 你好 我 想 查询 一下 那个 什么 水务局 的 电话
您好 请 讲   喂
您好 请 讲   诶 麻烦 问 一下 那个 天音 台 天台 呃 天津 天津 网 的 那个 那个 牌 号码 电话 电话号码 多少 知道 吗
你好   诶 喂 你好 我 想 问 一下 那个 什么 刚才 有 一个 那个 福州 的 电话 打 过来 他发 了 一条 信息 是 幺 零 六五 八八 八发 过来 的 那个 是 骗人 的 吗
为您服务 你好 丽娜 就 台江区 就是 煤是 你 的 卡能 换 刚才 没错 没 诶 别 就是 才 江区 就近 的 营业厅 在 哪里 啊 就是 福是 短 说 半天 喂 我 问 你 一下 你好   恩 您好
很 高兴 为您服务   你好 我想查 一下 浦城 那个 快递 快递 的 电话
您好 请 讲   喂 你好 我 想 问 一下 就是 我 之前 呃 每个 月 有 五百 兆 流量 然后 我 有 多余 的 流量 它 是 呃 还 在 里面 还是 说 直接 回复 消费 零呐
嗯 嗯 您好 很 高兴 为您服务   帮 我查 一下 五一 中路 附近 这边 这个 中 呃 那个 移动 营业厅 什么 时候 下班
您好 高兴 您 服务   诶 你 帮 我 绑 嗯 那个 呃 莆田市 湄州 岛 上面 那个 移动 的 电话 营业 营业厅 电话 你 帮 我发 一个 过来
您好 请 讲   呃 您好 我 想 请问 一下 噢 在 莆田 这边 办 的 个 医保 的 地方 的 什么 有没有 那个 地址 还是
您好 请 说 啊 那个 我 想 查询 一下 啊 申通 的 那个 总台 电话 是 多少 全国 热线 是 吧 啊 好 您 稍 等 好好 嗯 动 呃 全国 热线 是 九五 五四三 拨打 电话号码 已经 有下 发给您 提供 参考 三是 吧 是 噢 好 的 谢谢 啊 不 客气 那 祝您 天天 好 心情
您好 请问 什么 帮助 您   你们 晚上 八九点 的 时候 都 没有 那个 人工 在 上班 吗
你好 啊   呃 呃 麻烦 你 一下 这个 封顶 那个 移动 营业厅 那个 位置 可不可以 那个 发送 一个 给 我
嗯 嗯 四 您好 请 讲   呃 你 那个 这个 封顶 那个 营业厅 那个 电话号码 可不可以 那个 发送 一个 过来 我 这个 你 发 那个 的 位置 我 找 不到 啊
您好 很 高兴 您 服务 您好   诶 我 问 一下 还有 你们 那个 营业厅 是 几点 下班 啊
你好 请 说   呃 喂 你好 诶 您好 请 讲 嗯 我 之前 那个 积分 兑换 的 那些 礼品 然后 它 那个 去 哪里 查 呀
噢 您好 请 说   哎 我 要 出 了 这么 呃 您 说 是 什么 问题 我要 去 投诉 那个 是 怎么 转 后台 呢
您好 请 讲   你好 我 原来 好像 这个 号码 有 预约 装 宽带 我 想 问 一下 星期五 上午 可以 去 吗
您好 请 讲   你好 刚才 给 我 就是说 今天 又 投诉 了 很 多次 了 吗
呃 您好 请 说   你好 我 想 问 一下 那个 和 支付 是 你们 这边 负责 的 吗
您好 请 讲 诶 你好 我 想   叫 你 帮 我查 一下 那个 掺和 李木 汽车 销售 销售 电话 有没有
您好 请 您 说   喂 您好 我 想 问 一下 那个 宁德 屏南 现在 营业厅 在 哪里
您好 请 说   噢 你好 我 想 问 一下 就是 噢 我 在 这边 的 移动 就是 营业厅 头 如果 我 想 投诉 那个 业务员 哼 是 要 打 哪个 电话
您好 请 讲 您好 电话 已 接通 很 抱歉 听 不到 您 声音 祝您 先生 您好   为 您 转移 呃存 的 购物 卷
您好 请 说   怎么 投诉
对 您好 请 说 您好 我 想 问 一下 我 这个 营业厅 下班 了 没有 噢 你 要 到 哪家 营业厅 我 看 一下   就是 有 移动 的 吗 移动 的
您好 请 讲   那 你 本月 的 固定
嗯 嗯 哎 您好 高兴 服务 您好   诶 你好 诶 我 想 人家 三 六零 啊 那个 客服 电话 是 多少 啊
密码 嗯 您好 请 讲   喂 您好 诶 我 想 咨询 一下 噢 刚才 有 一个 电话号码 是 幺 五久 吧 五九 二八 六六 八 的 这个 电话 幺 二五 久 然后 呢 八五 九 二八 六六 八 这个 电话号码 是 你们 移动 公司 的 吗
您好   喂 请问 一下 那个 posl 的 那个 呃 电视 维修 服务中心 号码 多少 啊
您好 请 讲 你好 我查 一下 厦门 海沧 啊 龙海 广场 你们 这个 营业厅 的 电话   我们 这边 没有 登记 营业厅 电话
您好 高兴 为您服务   你好 嗯 我 看 一下 沙县 三明 到 分钟 的 动 车票 还有 没有 用 这个 嗯
好 的 您好 请 讲   你好 我 想 请问 一下 你们 中国移动 的 营业厅 在 什么 地方
很 高兴 为您服务 有 什么 可以 帮 您   你好 就是 请问 一下 就是 知不知道 那个 校 讯通 他 的 客服 电话
您好 请问 您 是 要 新装 宽带 吗   你 还 能查 到 之前 的 那个 一 g 的 那个 刚刚
您好 高兴 为您服务   喂 您好 你 帮 我查 一下 那个 就是说 是 什么 苏州 是 有 一个 平江区 的 对 不 对
您好 很 高兴 为您服务   唉 你好 我 问 一下 我 打 客户经理 电话号码 还有 多少
很 高兴 服务   唉 你好 这边 是 中国移动 是 吧
您好 很 高兴 为您服务   唉 你好 就是 我想查 一下 我们 公司 那个 集团 业务 吗 这边 有没有 客户经理 呀
您好 很 高兴 服务   喂 你好 你好 请问 一下 刚才 有个 就是 他 说 是 你们 的 业务 也 打电话 说 我 这个 呃 手机 的 套餐 到期 了 吧 叫 我 发送 什么 到 他 也 要 到 那里 会 不会 有 这样 的 诈骗
不 客气   您好 很 高兴 为您服务
您好 很 高兴 服务   哎 我 问 一下 你 那个 期限 路上 那个 营业厅 现在 还开 着 吧 七星 路 是 吗 就是说 我们 这 十九号 请 您 稍 等 帮 您 查看 一下 啊 四
支付宝   您好 很 高兴 服务
您好 很 高兴 您 服务   喂 你好 我 想 问 一下 就是 你 这里 能帮 我查 到 就是 呃 我 就 想查 呃 前两天 续约 的 然后 昨天 然后 昨天 正常 应该 是 重新 录 这个 宽带 但是 那个 就是 来 安装 的 师傅 给 我 打电话 说 那个 现在 没有 设备 吗 然后 那个 安装 师傅 电话 我 也 找 不到 了 我 想 看 一下 你 这个 帮 我 联系 到 那个 安装 的 这个 手 手机号 能帮 我查 到 吗
请 您好 很 高兴 为您服务   我 想 问 一下 今天 那个 上海 这边 的 营业厅 今天 移动 公司 上班 吗
好 很 高兴 为您服务   嗯 荷包 专线 的 电话号码 是 多少
