噢您好请说可以 嗯你好前两天我反应过关于这个号码注销的问题我人不在莆田啊那怎么怎么给我处理了 
您好很高兴为您服务请问什么帮助吗 诶你好女士我就是哎刚才下午有打电话问就是我那个呃学生套餐嘛不是说本来四年的吗然后三年就取消掉吗然后下午有个工作人员给我打电话那时候刚好有事情然后没讲清楚就挂掉了那就是然后我原来那个套餐好像是还有一年时间嘛那他说只给我一个月然后不知道具体怎么回事然后你能不能让他再给我打个电话 
您好很高兴为您服务您好您好您这边幺零零八六客服热线哎呀 就那种的我就早上也打过电话了而且昨天我也反映了就我这里的呃那个wifi原来有手机捆绑的包括电视包括这个信号都没了我就要求尽快处理吧很因为很不方便 
您好高兴为您服务 那个我之前就是前几天有那个打过那个投诉电话的内容你能查到吗 
你好啊 您好很高兴为您服务 
您好请讲 你好 
谢谢啊 您好很高兴为您服务啊您好很高兴为您服务 
您好请讲哎有什么需要帮助 短信反映的问题 
您好请讲 哎你好我想问一下就是说今天就给我反馈那个就是说那个流量扣费那个是怎么处理的 
您好请说 哎你好嗯请讲那个我这个号码里面之前你们应该有登记过有一个什么长途长途因为你们第三方的人还是干嘛就给我充了信息我取消掉你们不是有人在帮忙处理了我想问一下你们现在处理进度是怎么样的 
您好请说 诶您好我刚刚反映的那个问题啊我这刚刚下午那个我是在银行里面我是想转账转到手机里面没想到他的操作错误存到这个这个手机费里面存了五百我只要存我这一百吗你们扣一百只有四百返给我我有用了就是这个问题啊 
您好请问什么可以帮您 哎你好我是昨天有打电话问说呃所以块从三明公司的换到厦门公司的的然后要取消一个嗯六十块钱的流量转恩那早上有幺零零八六给我打电话我没接到那现在是已经处理有结果了吗 
是 嗯嗯中午好请说 
您好请讲 喂您好我是说我本机我昨天又打了幺零零八六他说帮我查我就是那个流量的现在已经停机了 
哦您好请讲 哎你好我现在是有一个业务现在办你帮我查一下就是一个宽带咨询的呢专线宽带申请的 
请讲请说 诶你好请问一下我前天反映的那个一百五十元那个电子先取消掉的现在处理怎样的 
你好很高兴为您服务 诶喂你好我刚才那个就是反映那个问题是不是已经有结果现在有个幺零零八六打电话过来然后我刚才前面手机人充电没接到 
您好请讲打不通您好有什么可以帮您诶 你好 
您好哎你好我我之前有打电话就是我这个手机之前套餐每月保底消是呃八十八的后面我叫你们反馈一下因为我从来没有办过这个套餐然后你们打电话给我三次我都没有接到那现在怎么说嘞 嗯稍等一下我帮您看一下啊这边这个具体的这个情况那要到时候那个工作人员跟您联系我这边没看到它这边具体怎么个处理法然后我帮您再重新说 
您好很高兴为您服务 因为我们这边没有接到幺零零八六的电话是怎么了呢 
