噢您好请说可以 嗯你好前两天我反应过关于这个号码注销的问题我人不在莆田啊那怎么怎么给我处理了 本机号码是吧 哎对 
您好很高兴为您服务请问什么帮助吗 诶你好女士我就是哎刚才下午有打电话问就是我那个呃学生套餐嘛不是说本来四年的吗然后三年就取消掉吗然后下午有个工作人员给我打电话那时候刚好有事情然后没讲清楚就挂掉了那就是然后我原来那个套餐好像是还有一年时间嘛那他说只给我一个月然后不知道具体怎么回事然后你能不能让他再给我打个电话 好帮您催促一下让工作人员再次跟您联系交到时候您注意接下电话好吧 好的好的很抱歉很抱歉还什么问题吗呃没有了然后祝您生活愉快再见 
您好很高兴为您服务您好您好您这边幺零零八六客服热线哎呀 就那种的我就早上也打过电话了而且昨天我也反映了就我这里的呃那个wifi原来有手机捆绑的包括电视包括这个信号都没了我就要求尽快处理吧很因为很不方便 嗯可以的我这边会马上去帮您加急一下 那问题是要等多久 
您好高兴为您服务 那个我之前就是前几天有那个打过那个投诉电话的内容你能查到吗 呃可以我帮您查询我看一下噢是关于手机活动的问题吗 对然后昨天昨天他们那些工作人员就是那个咱们人工作人员打他说我老是打投诉电话它就不给我处理 
你好啊 您好很高兴为您服务 噢刚刚你们是不是有跟我来电吗 你刚是有幺零零八六电话没有接听到是吧 
您好请讲 你好 你好昨天 投诉的噢你们我现在有个投诉你们帮我看一下 
谢谢啊 您好很高兴为您服务啊您好很高兴为您服务 你好 您好 
您好请讲哎有什么需要帮助 短信反映的问题 恩是关于什么方面的问题有印象吗您好喂是关于什么方面的问题呢 查询反映的问题 
您好请讲 哎你好我想问一下就是说今天就给我反馈那个就是说那个流量扣费那个是怎么处理的 呃您稍等我看一下感谢您耐心等待我看到这个问题了他现在已经有专人在审核处理了我这边会帮您去催促他们加急帮您处理好第一时间内给您回复因为他那边再呃下午的时候有联系您一次你没有接到电话我这边会帮您去催促的号码您不用来电了他们到时候会第一时间联系您好吗 好的好的那我打电话没知道吧 
您好请说 哎你好嗯请讲那个我这个号码里面之前你们应该有登记过有一个什么长途长途因为你们第三方的人还是干嘛就给我充了信息我取消掉你们不是有人在帮忙处理了我想问一下你们现在处理进度是怎么样的 我看一下八月份反馈的是吧 嗯九月份也有反馈过去吧还是当月开通下记录是只有八月份 
您好请说 诶您好我刚刚反映的那个问题啊我这刚刚下午那个我是在银行里面我是想转账转到手机里面没想到他的操作错误存到这个这个手机费里面存了五百我只要存我这一百吗你们扣一百只有四百返给我我有用了就是这个问题啊 呃这边帮您查看的话这个问题工作人员有帮您反馈上去了目前还在进行处理当中我现在这边的话帮您去催促一下让工作人员尽快落实一下给您回复 噢好的我是你们的长征用了一二十年你们的这个就每次也是充一百那这一次是务村就不知搞错掉我们年纪大一点我六十多岁搞不清楚加错掉什么充值那边要错掉嗯你帮我催一下好嘛 
