请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 请 说 诶 我 想 问 你 一下 嘞 早上 我 问 了 一下 他 说   那个 流量 不够 吗 不是 问 他 那个 补 流量 的 问题 他 说 十块钱 的话 一 百兆 三十块 钱补 一个 g 那补 的话 就 说 我 还要 去 你们 那个 营业所 还是 说 就是 网络 上面 过 今天 我 帮 您 办理 啊   对   噢 你 电话 里面 就 可以 直接 办理 了   对   噢 那 我 如果说 这个 一个 g 没有用完 的话 可不可以 留 到 下个月 啊
您好 请 说   哎 你好 我 想 问 一下 诶 新 买 的 卡 现在 需要 怎么 激活   新买 的 卡 发送 开打 呀   可以 改 发短信   大队 刚刚 才   这个 不是 现在 这个 手机 里面 都 是 无 服务 啊 怎么 发出 去
可以 帮 您 哎 您好 很 高兴 为您服务   哎 你好 请问 一下 我 这个 号码 要 你好 就是 省内 无限 流量 这个 要 什么 什么 怎么 搞   省内 不 限 流量 那 您 改成 了 一个 一百八十 八 的 套餐 那 就 省内 流量 不限用   一百八十 八 的 流量 套餐 噢   嗯 对   那 就是 无 信息 的 吗
中午 好 请 讲 你好   嗯 你好 我 问 一下 我 这边 通话记录 如果 要查 的话 是 要 拿到 要 本人 的 手机 还有 呃 身份证 是 啊   不用 身份证 家 业务 密码 然后 跟 手机 因为 我们 查询 的 时候 发 一个 那个 随机 验证码 到 您 要 查询 那个 手机 上面 幺 幺 同时 输入 才能 查询 得到 的   如果 我 这个 卡 打个比方 我 现在 是 九月份 之前 的 通话记录 十月份 卡 没 掉 了 重新 补 一张 可以 查 到 三明 的 号码 吗   可以 呀 我们 有 给 您 保存 近 六个月 的 通话记录 的   呃 但是 短信 查 的 出来 吗
您好 请 说 啊 我 想 问 一下 我 这个 手 手机号 的 服务 密码 怎么 改 啊   噢 那 请问 下 那个 密码 记得 吗   不 记得 啊 就是 不 知道 吗 噢 噢   那 请问 下 还 在 福建 吗   啊 什么 是   请问 还 在 福建省 吗
您好 请 讲   你好 我 那个 彩印   现在 要 改 一下 怎么 打 呀 就 修改 内容 是 吗 还是 要 取消 掉 是   哦 我 看 一下 啊   是 你 本 机号码 的 彩印 还 差 这 号码 的 呀   就是 我 还有 好多个 号码 都 要 改
嗯 嗯 您好 请 讲   哎 喂 你好 我 我 问 一下 就是说 现在 人 不 在 厦门 的 然后 这个 卡 不想 用 了 注销 的话 要 本人 拿 着 身份证 去 厦门 去 注销 吗   拜拜   那 现在 人 已经 不 在 厦门 是 吧   啊 那 您 如果 有 朋友 在 厦门 呢 也 可以 把 身份证 寄 回来 让 您 朋友 带上 您 的 身份证 跟 他 的 身份证 跟 密码 然后 帮 您 代办 也 可以 的   呃 可以 这样 也 是 可以 了 是 吧
嗯 嗯 您好 请 讲   你好 请 把 那个 变更 成 八块钱 的 那个 套餐 的 呃 呃 那个 更改 方式 发给 我 一下 好 吗   嗯 您好 女士 您 可以 啊 你 等 下 发送 那个 哦 fx 十八 到 幺 零零 八六 就 可以 了 我 发给您 就是 飞享 的 第一个   拼音字母 什么 是   wifi 三十八   s
您好 很 高兴 为您服务   啊 你好 诶 那个 我 如果说 要 把 那个 手机 流量 再 送给 人家 的话 那个 要 怎么弄 啊   流量 的话 那 您 要 开 共享 功能 不 可以 把 流量 分享 给 对方 使用   共享 怎么 怎么 怎么 开法 嘞 有没有 服务 密码 呢 有 服务 密码 有 啊   嗯 可以 那 您 稍后 的话 呃 要 提醒您 一下 您 如果 是 没有 加入 家庭网 共享 副 号 一个 号码 交 五块 钱 噢   那 如果 加入 家庭网 怎么 电话 你 告诉 我 有 家庭网 您 要 先 加进去
高兴 为您服务   我 想 问 一下 如果 我 想 改 那种 新版 的 五十八 套餐 我要 发送 什么 代码   噢 您 要 改 新版 的 新飞 享 五十八 是 吧 新飞 享 五十八 的话 呃 如果 您 想 自己 办理 的话 我 可以 把 它 的 一个 呃 发送 的 代码 发短信 给 您 看 一下 但是 您 现在 超级 流量 王二 零六 八 一般 给 您 改掉 之后 就 再也 改不 回来 了 噢 哦 那 我 把 那个 新飞 享 五十八 的 资费 介绍 其他 变更 的 发送 短信 代码 发短信 给 您 本 机上 您 注意 查收 一下 如果 您 自己 变更 的话 要 以 收到 变更 成功 短信 提示 为准 变更 成功 次 月 生效 噢 就是 您 先 发过来 给 我 看 可以 发给您 看 一下 还有 其他 可以 为您服务 的 吗   不用 了 再见   噢 祝您 阖家幸福 的 车   你 可以 帮 我查 另外 另外 一个 号码 是 什么 套餐 吗
您好 请 说   你好 哎 我 问 一下 我们 是 在 那个 呃 呃 电话 通话记录 那个   查询 要 怎么弄 呃 通话记录 查询 的话 登录 网上 营业厅 就 可以 查 不过 您 要 提供 业务 密码 和 短信 验证码   要 短信 验证码 是 吧   恩对 对 对   噢 噢 那 一定 要 本机 的 短信 验证码 噢
再见 您好 请 讲   诶 我 咨询 一下 我要 出门 g 港澳台 零儿 我要 开 开通 那种 什么 四 g 流量 费 封顶 费高 的 那个 要 怎么 开通 啊   封顶 最高 呢 四 g 流量 他 现在 目前 港澳台 的话 它 流量 的话 是 按天 的 三天 五天 跟 七天 了   七天 七天 是 多少   港澳台 流量 的话 它 七天 是 七天 是 一百 四十八 这 七天 流量 是 不 限量   噢 七天 流量 不 限量 啊
嗯 哼 谢谢   您好 您 说 请 讲 请 说   呃 您好 我 想 嗯 就是 我 另外 一个 卡想 下个月 开 起来 怎么 开   就 说 办理 停机 保号 吗   对 对 对   那 那个 等 下个月 的话 打 我们 电话 把 密码 验证 一下 就 能 开 啦
是 的 没有 您好 很 高兴 为您服务 您好 诶 您好 请 说   呃 呃 就是说 嗯 你 那边 说 呃 手机 的 信号 是 满格 但是 有 很多 人 电话 答复 不定 还是 怎么回事   那 我 能 问下 先生 是 只是 您 个人 手机 会 出现 这种 情况 吗 周围 的 人 也 会 是 这样 吗   应该 是 我 个人 的 吧   个人 的 对 吧 我 刚刚 查 了 一下 您 本机 的 数据 功能 对 吧 功能 的话 都 是 正常 的 没有 问题   没有 问题 吗
您好 请 讲   你好 你 帮 我 看 一下 那个 宽带 这个 对   宽带 吗 稍 等 宽带 目前 状态 正常   宽带 正常   恩对 是不是   啊
您好 很 高兴 为您服务   喂 你好 诶 我 想 问 一下 就是说 我 那 那 另 一个 号码 那个 手机号 是 莆田 的 然后 就是说 我 有 几个 月 没用 了 就是说 我 在 手机 上面 那个 设置 什么 s 卡 密码 设置 一下 到 我 多 后来 都 不行 了 就 停机 了 就 没有 网络 了 然后 就是说 我 现在 想 过去 到 莆田 那边 去 办理 嘛 然后 要 要 有 啊 有 有 三四个 月 没用 了 那 现在 我 到 那边 去 办理 要 怎么样 办理 呢   哦 那 您 要 身份证 原件 拿 过去 看 一下 能 不能 重新 购买 具体 要 到 营业厅 问 一下 您 把 身份证 原件 进行 带 过去   那有 三四个 月 啊 但是 我 每个 月 都 有 交费   嗯 那 您 号码 是 多少 我 先 帮 您 查 一下 号码 多少   幺 八二 五零 五 三 八九 四九
您好 请 说   诶 你好 呃 我 有 一张 号码 卡 丢 了 嘛 然后 我 那个 身份证 不是 绑定 了 这张 号码 卡 吗 那 我 想 把 它 分开 来 怎么 怎么 注销   注销 需要 带 身份证 原件 到 移动 营业厅 去 注销 一下   噢 那 我 这 张卡 是 厦门 的 那 我 在 龙岩 这边 可以 吗   嗯 不行 啊 只能 在 厦门 营业厅   只能 在 厦门 营业厅 啊
您好 请 讲   诶 喂 您好   恩 您 说   诶 我 想 问 一下 比如说 我人 没 在 南平 然后 我想 补卡 的话 它 是 要 怎么弄 的   补卡 的话 要 在 南平 这边 补 诶   我 知道 啊 如果 别人 在 我 咕 的话 能 不能 拨打
为 您   先生 喂   你好   诶 请问 我 的 宽带 是 打 哪个 电话 他会 说来 给 我 装装 机顶盒 的   呃 是 互联网 电视 吗 还是 宽带 呀   啊
哼 您好 很 高兴 为您服务 你好 诶 请 讲   一个 什么 移动信息 服务 怎么 开   帮 您 移动信息 服务   对 啊 我 这个 发 信息 过去 然后 提示 我 就 说 我 这个 移动信息 服务 未 开通 吗   没有 噢 您 稍 等 我 帮 您 看 一下 您 这边 的话 是 要 嗯 确实 没有 没 有关 要 帮 您 开启 吗   对 帮 我 开启 的
您好 请 讲   诶 你好 我 想 问 一下 噢 比如说 我 这部 电话 那个 没 电 自动关机 了 然后 要 把 它 转 那个 呼叫转移 到 那个 另外 一部 手机 的话 要 怎么 办理   呃 有 本地 版 开机 是 吗 这里 这 部手机 转 到 另外 一部 手机 吗 那 可以 啊 发送 短信 给 您 就 可以 操作 了 呼叫转移 分钟 一毛钱 噢   噢 就 两个 呃 就是说 那个 打 不通 的 情况 下 唉呀   对 就是 关机 没 信号 的 时候 是不是 还是 要 哪 一种   就是 没 信号 的 时候
嗯 嗯 再见 您好 请 讲   嗯 喂   你好 你好   或者 信息 啊 但是 但是 说 这 话费 啊 现在 电视 说 不要 嗯 拜拜 嗯   抱歉 断断续续 的 听 不到 您 的 声音 您 刚 说 什么 问题 呢   我 说 现在 想交 话费 怎么 交 呢
您好 很 高兴 为您服务   嗯 您好 就是 呃 我 有 两张 卡 一张 是 福建 一张 是 浙江 的 吗 然后 我 就是 充 流量 的 时候 是 想 充到 浙江 的 卡 然后 不 小心 充到 噢 福建 那 张卡 上去 就是 你 有 办法 把 那个 流量 转移 到 我 浙江 这张 卡上 吗   噢 非常 抱歉 我们 这边 流量 的话 没有 办法 进行 转移 过去 的   噢 那 好 那 谢谢 你 啊   嗯 不 客气 那 还有 什么 可以 帮到 您   哦 没有
怎么样   您好 你好 我 想 请问 一下 我   家里 开 的 那个 宽带 它   送 的 那个 机顶盒 然后 我 那个 业务 密码 忘记 了 要 怎么办   嗯 我 这边 为 您 重新 设置 一下 稍后 把 这个 机顶盒 的 密码 发短信 给 您   嗯 嗯
五八 您好 请 讲   喂 你好 幺   有 什么 可以 帮助 您   喂 你好 请 讲 我 想 问 一下 因为 我 这 里面 要 出国 然后 就是 国际 的 漫游 是 怎么 改 的   噢 您 的 本机 国际漫游 功能 已经 有 开过 了 不 需要 再开 您 是 打算 去 哪里   呃 一个月
其他 哎 您好 请 讲   嗯 已经 喂 你好 我 想 问 一下 我 这个 我 想 给 我 朋友 办 一个 那个 呼叫转移 然后 就 把 它 的 这个 来电 然后 转接 到 我 我 这个 手机 上 怎么办   哎 提供 他 的 手机号 和 他 的 服务 密码 就 可以 帮 他 直接 办理 了   嗯 那 那 我 现在 直接 跟 你 讲 你 帮 我 办 吗   噢 可以 手机号 多少   幺 三九
您好 请 说 诶 您好 是 这 样子   那个 刚刚 我 手机 停机 了 然后 我 叫 我 一个 那个 朋友 用 支付宝 帮 我 充 了 一个 话费 然后 结果 那个 我 因为 我 的 为 最后 就 尾数 是 三个 月 同一 台 不 小心 按错 了 然后 完 了 以后 联系 机主 的话 那个 那个 号码 显示 空 号 这个 要 怎么 处理   呃 因为 支付宝 的话 它 这个 属于 第三方 充值 您 可以 联系 一下 支付宝 客服 那边   噢 联系 支付宝 客服 是 啊 好行 好 谢谢 谢谢 噢
您好 请 讲   喂 你好   请 请 说   我 是 这个 呃 有 有 那个 办理 那个 一 千兆 流量 或者 是 两 千兆 流量 这要 怎么 办理   呃 先生 你 可以 办 一个 六十块 六 g 的 一百八十 天 有效 这个 更 还是 六十块 钱 六个 g 呃 有 六千多 兆 六千 然后 一百八十 天内 都 可以 用   六十 多少 啊
您好 很 高兴 为您服务   我 想 问 一下 那个 申请 国际漫游 的话 要 要 怎么办 呐 嗯   国际漫游 功能 如果 要开 我 这边 可以 直接 帮 您 开 啊 然后 您 过去 之前 到时候 看 一下 需要 开 什么 流量 套餐 那些 可以 跟 我们 联系 再开 就行了 功能 可以 先 开始 不 收费 的   这 样子 啊   对 啊   嗯 嗯 那 那 那 就 在 在外 拨打 就 拨打 时间 收费 会 不会 很 贵
锦 你好 请 讲   诶 喂 你好 请问 下 我 是 那个 钱前 几天 的 时候 在 手机 的 那个 中国移动 的 ap 上面 就是 这个 号 就是 九元 的 那种 卡九元 的 日 租卡 我 选择 号 卡 已经 收收 收到 了 现在 都 不 想要 的话 要 要 怎么办 啊   激活 了 吗   没 激活   那 十五天 后 会 自动 销掉 的 这卡先 收后 十五天 没有 激活 或者 激活 不 成功 的话 它 就 会 自动 就是 号码 就 会 自动 回收 到   诶 激活 好像 激活 了 但是 的话 没有 那个 实名 认证 我 忘记 到 那个 积分 没有
嗯 嗯   哦   您好 请 讲   诶 你好 啊 我们 比如说 我 我 这个 手机 上 的 流量 要 转接 另外 一个 手机号 要 怎么 转 啊   您 稍等一下 我 看看   啊 我 是 办 五十八 元 的 套餐
您好 请 说   诶 您好 昨天 那 你们 打电话 说 什么 我 的 这个 原来 的 那个 套餐 怎么 升级   升级 什么样 的   它 升级 什么 三十 八块钱 一个月 的 什么 我 也 不 知道   嗯 那 您 这边 要 升级 嘛   我 他 昨天 是 说 保 密码 我 今天 打 过去 那个 电话 关机 了 我 还是 我 我 还 没审 然后 就是说 下个月 我 我 的 意思 说 还是 不 升级 原来 那个 套餐
