您好很高兴为您服务 啊你你那个套餐就是你们现在那个什么三十八套餐为什么人家现在都每个月送到一一点五g我这用这么久了还还在五百兆啊 啊那个的话是移动刚推出来的还不稳定所以说是针对部分客户体验的所以暂时的话您这边改不了如果您现在可以如果说想要体验的话可以改那个五十八元的是三个g的流量也非常划算的 五个五十八块三个g是吗 对没错 噢它那个流量会累积到下个月吗 
嗯 喂你好 你好嗯 呃请问一下就是说他现在呃我这个手机吗什么就是说话费一没没有话费然后直接就停机是怎么回事啊 您好请稍等一下先生我帮您查询一下不好意思噢请问下您这张卡的那个六位数的密码有吗 有 
您好很高兴为您服务您好很高兴为您服务 你好我想请问一下就是这个流量啊我们省内的流量我们每次回到省内然后你都不是不是先用我省内的流量都先用我国内的流量那我一般我我等下出差有到外地去了我等下不是国内流量就不够用啊 嗯是这样的因为您省内的流量它是一个省内流量保它是跟你原来的套餐流量用完之后才能启动这个流量包他都是他这样的 那这样不是不合理 它这个是呃呃有这个设置的那我们这边没有办法直接给他改回去很抱歉都是先用套餐里面的用完才会省内流量保他只是怕你超过之后有产生费用所以这个是在最后用 什么话了呀那你要你们要看一下这个比如说平常的那个电话都是在哪喂在哪里的呀你不是省内的有把那个国内的流量用完了省内流量一兆也没有用那我们再出门的时候怎么办 
您好请说您好 诶你好 诶你好 啊我跟你说我这个流量包不是省内的吗 嗯那个是额外有给您赠送省内流量对 对啊那我现在在在在在省外外怎么办 
您好请讲 哎你好你我这个电话号码我在打电话的时候打到一半呢别人你就跟我直接你们怎么这个网络就直接给我中断掉嘞我知道欠费也没欠多少但是你这个一下子我一个月用差不多再用六百怎么一下子怎么中断了别人家给您 开通一下吧先生给您添麻烦了那不好意思噢 哎呀这样子的话咱们移动怎么能用了怎么改用这这样子经常会这样子什么四我这边知道欠费肯定会交费的啊好吧啊那帮您 上报给公司申请开机啊十分钟之内您留意一下看有没有开机成功噢好那如果收到信息到时候把手机关机重启就可以用了好吧好的还什么可以帮到您 没有没有没有这个啊电话要打完了你说停机了那可以啊啊一般来说 
您好请讲 哎你好我前几天充了个十十五块钱一g那个流量它今天发个短信来什么五月十八为什么失效 我看一下稍等一下您这个是预存包预存包的话只有当天有效您是在昨天早上九点二十七分的时候订购的所以它有效期是到今天的九点二十七分到期到期会自动取消 噢他是早一天不是对再用完就使用一天的有效期就是二十四小时之内有效现在还有多少流量 呃您是说您现在还有多少流量吗 哎 
问问嗯小姐你好加你们那边你帮我查一下这个呃帮我复机发短信营业厅查的好不好 诶好稍等一下啊 花一百 嗯 再看呃 哎诶您好您本本机的话这个月开机次数已经超过那个三次了系统这边开不了啊 
您好请讲 喂你好哎麻烦问一下噢你们现在五八五十八块套餐的退出怎么会对吧 呃您刚是说我们公司其他的五十八套餐是吗 啊对啊 另外还有一种五十八的话是一百分钟通话五百兆流量来电显示 对 
嗯嗯您好请问什么可以帮助您 我这个手机啊那这个号码用了那么久了怎么那个欠费欠几块钱就把我停掉噢 稍等我看一下噢国际没有给您查询到有七天跟您这个呃延迟停机的这样子的天数您可能超过电视没交才会给您停机那我现在马上给您先复机一下吧 支付即可来我不是啊我一个月我保底消费都是一百二十兆那个你你这样子我随便稍微超一下不一定噢有的时候超一下超几十块钱有肯定会有啊哪里有这样子评那个就点那个三十块钱超出了 那很抱歉我是说它有给您延迟停机七天了帮您可能这几天都没去交所以它才给您停 我现在已经觉得那它这个是每天扣扣几块钱过几块钱啊 
啊您好请说 呃我想问一下就是我这个刚刚发了一个流量吗就是我还剩一g一千多那个了 然后我问下为什么就是 不能先扣我省内流量干嘛要扣我省外省内流量 省内流量 啊对啊 
您好很高兴为您服务 那你我这张卡嗯幺八八的卡吗怎么会 一 七都欠欠一点就会马上停掉了 嗯因为您这张卡是新买的还没有满六个月是它没有屏蔽信息是一欠费就停机非常抱歉那这样我先帮您做一下应急开机让您先可以正常使用好吗 好好行我看看一下好吧 
您好您说 我他妈的用个用户号码半夜上个月给我给我打这这个幺零零八六给我打电话是什么情况啊 嗯那您收到的是呃这边那个幺零零八六幺幺的一个电话嗯对它不是一个余额提醒就是在流量不足的时候会停机 那不余额不足提醒他妈在八月份是给给给它提醒啊 很抱歉先生给您造成不便了那您这边的话帮您设置一下就您这个营业厅您现在就直接不提醒了 我如果要是什么的帮忙设置他妈的八月份五点多给给给我打电话你还要还还要要不然让我 
