您好很高兴为您服务 啊你你那个套餐就是你们现在那个什么三十八套餐为什么人家现在都每个月送到一一点五g我这用这么久了还还在五百兆啊 啊那个的话是移动刚推出来的还不稳定所以说是针对部分客户体验的所以暂时的话您这边改不了如果您现在可以如果说想要体验的话可以改那个五十八元的是三个g的流量也非常划算的 五个五十八块三个g是吗 对没错 噢它那个流量会累积到下个月吗 这个流量的话里面是有五百兆是可以累积的剩下两千块钱收到不累积 噢那那它是那个两百两g多是先优先用然后那个五百兆然后是还是怎么样 
嗯 喂你好 你好嗯 呃请问一下就是说他现在呃我这个手机吗什么就是说话费一没没有话费然后直接就停机是怎么回事啊 您好请稍等一下先生我帮您查询一下不好意思噢请问下您这张卡的那个六位数的密码有吗 有 有什么请稍等一下嗯嗯好的先生那麻烦您根据语音提示输一下您的六位数密码按井号键不要挂机我给您转接好的先生密码正确那我这边的话手机的额度已经帮您申请到后台给您调整好了因为您之前手机在欠费就会停机现在已经给您调整欠费的话分钟超过当天不能超过五十块并且不能超过七天已经调整好了不好意思 噢好的好的好的 
您好很高兴为您服务您好很高兴为您服务 你好我想请问一下就是这个流量啊我们省内的流量我们每次回到省内然后你都不是不是先用我省内的流量都先用我国内的流量那我一般我我等下出差有到外地去了我等下不是国内流量就不够用啊 嗯是这样的因为您省内的流量它是一个省内流量保它是跟你原来的套餐流量用完之后才能启动这个流量包他都是他这样的 那这样不是不合理 它这个是呃呃有这个设置的那我们这边没有办法直接给他改回去很抱歉都是先用套餐里面的用完才会省内流量保他只是怕你超过之后有产生费用所以这个是在最后用 什么话了呀那你要你们要看一下这个比如说平常的那个电话都是在哪喂在哪里的呀你不是省内的有把那个国内的流量用完了省内流量一兆也没有用那我们再出门的时候怎么办 那我帮您反馈到后台看一下能不能重新设定到时候让工作人员给您回复一下 对啊不是我到省内的你应该自动先用省内的现在你看我这个月保两档的省内流量到现在一兆没用国内流量快没了 
您好请说您好 诶你好 诶你好 啊我跟你说我这个流量包不是省内的吗 嗯那个是额外有给您赠送省内流量对 对啊那我现在在在在在省外外怎么办 那您这个省内流量就用不到先生 对啊所以说我要省内把它取消掉 
您好请讲 哎你好你我这个电话号码我在打电话的时候打到一半呢别人你就跟我直接你们怎么这个网络就直接给我中断掉嘞我知道欠费也没欠多少但是你这个一下子我一个月用差不多再用六百怎么一下子怎么中断了别人家给您 开通一下吧先生给您添麻烦了那不好意思噢 哎呀这样子的话咱们移动怎么能用了怎么改用这这样子经常会这样子什么四我这边知道欠费肯定会交费的啊好吧啊那帮您 上报给公司申请开机啊十分钟之内您留意一下看有没有开机成功噢好那如果收到信息到时候把手机关机重启就可以用了好吧好的还什么可以帮到您 没有没有没有这个啊电话要打完了你说停机了那可以啊啊一般来说 正常的软件给您添麻烦那现在不好意思这个我们没办法设置噢好的好的祝您天天开心 
您好请讲 哎你好我前几天充了个十十五块钱一g那个流量它今天发个短信来什么五月十八为什么失效 我看一下稍等一下您这个是预存包预存包的话只有当天有效您是在昨天早上九点二十七分的时候订购的所以它有效期是到今天的九点二十七分到期到期会自动取消 噢他是早一天不是对再用完就使用一天的有效期就是二十四小时之内有效现在还有多少流量 呃您是说您现在还有多少流量吗 哎 我看一下流量在福建省内用还剩九百九十二兆 怎么是当天我怕那里那些当前还是两个月的 
问问嗯小姐你好加你们那边你帮我查一下这个呃帮我复机发短信营业厅查的好不好 诶好稍等一下啊 花一百 嗯 再看呃 哎诶您好您本本机的话这个月开机次数已经超过那个三次了系统这边开不了啊 可能也也没查到昨天晚上打打昨天他交的费为什么生效开不了了 因为您这这个月开机次数的话已经超过了我们现在系统已经开不了 
您好请讲 喂你好哎麻烦问一下噢你们现在五八五十八块套餐的退出怎么会对吧 呃您刚是说我们公司其他的五十八套餐是吗 啊对啊 另外还有一种五十八的话是一百分钟通话五百兆流量来电显示 对 还有一种五十八新飞享套餐但是总共五呃是四百分钟通话三g流量来电显示 好那我现在是五十八块我怎么才一百五十兆噢 
嗯嗯您好请问什么可以帮助您 我这个手机啊那这个号码用了那么久了怎么那个欠费欠几块钱就把我停掉噢 稍等我看一下噢国际没有给您查询到有七天跟您这个呃延迟停机的这样子的天数您可能超过电视没交才会给您停机那我现在马上给您先复机一下吧 支付即可来我不是啊我一个月我保底消费都是一百二十兆那个你你这样子我随便稍微超一下不一定噢有的时候超一下超几十块钱有肯定会有啊哪里有这样子评那个就点那个三十块钱超出了 那很抱歉我是说它有给您延迟停机七天了帮您可能这几天都没去交所以它才给您停 我现在已经觉得那它这个是每天扣扣几块钱过几块钱啊 您八十八元是一次性扣的 呃那个是以前订购的是啊您这边他 
啊您好请说 呃我想问一下就是我这个刚刚发了一个流量吗就是我还剩一g一千多那个了 然后我问下为什么就是 不能先扣我省内流量干嘛要扣我省外省内流量 省内流量 啊对啊 您这个是一个g的省内流量啊 一个多g的省内流量啊这样对呀我那个我就我有两个g的肯定 
您好很高兴为您服务 那你我这张卡嗯幺八八的卡吗怎么会 一 七都欠欠一点就会马上停掉了 嗯因为您这张卡是新买的还没有满六个月是它没有屏蔽信息是一欠费就停机非常抱歉那这样我先帮您做一下应急开机让您先可以正常使用好吗 好好行我看看一下好吧 嗯好请稍等一下好您放心开机了您把把手机重新关开机下就可以使用了 噢好谢谢啊 
您好您说 我他妈的用个用户号码半夜上个月给我给我打这这个幺零零八六给我打电话是什么情况啊 嗯那您收到的是呃这边那个幺零零八六幺幺的一个电话嗯对它不是一个余额提醒就是在流量不足的时候会停机 那不余额不足提醒他妈在八月份是给给给它提醒啊 很抱歉先生给您造成不便了那您这边的话帮您设置一下就您这个营业厅您现在就直接不提醒了 我如果要是什么的帮忙设置他妈的八月份五点多给给给我打电话你还要还还要要不然让我 很抱歉确实给您造成不良感觉那您现在连是直接不提醒还是帮您做个转接 行那就不用提醒了 
您好请讲 哎你好我想了解一下我这个卡用的时候呃是多少钱啊啊用了七八年啦怎么会的信用一旦停机就立即还剩下全部立即停机啊我原来那个欠好几天啊 噢目前帮您查询现有的话因为它是根据您的手机消费年限然后每个月的缴费期十度当月的欠费次数然后手机参与的活动它一般会进行最系统评定的然后再加上因为您最近是不是可能办了一下过户啊 是啊过户是我原来是我用我小孩子再联系身份证当时本身就买卡的时候忘记带东西你已经用到了现在我过户啊 过户的话它的那个欠费的周期这边的是要重新评定了噢这样这样子的诶对 然后我这个套餐了怎么都没订嘛 呃这个没有进行取消还是二十八的 噢是这样的嗯改吧我我的用了七八年的这可能是不准七八年了我用了很长时间的电话卡怎么现在反正一旦欠费立即停机我怎么回事啊 
恩您好请说 可以办办的话下个月一号生效 要等到下个月才生效啊 没错 噢那那那那我就先不办了我以为是可以那种月办的那种 噢没有它能只能当月只能次月生效的 但问题是现在不是移动已经取消那个什么那个什么什么什么长途每个人吗没有长途漫游的 六对啊那我那我其实去外地打不出也一样的吗 
喂请刚才你们打电话给我 稍等我看一下 喂 呃您稍等所以您之前想转一个新的五十八套餐后工作人员跟您联系的 噢刚才没有写啊 我把呃它会再跟您联系您耐心等待一下我帮您再催一下他们好吗 噢好好 嗯好那您就不用来电了他们会电话联系您噢您注意下接听电话就好了 
很高兴为您服务您好 你好我想问一下 嗯嗯 为什么你们移动这边就限制我们用户不能更换这个套餐呢 不能更换套餐啊关于套餐变更的问题呃我们已经有进行上报处理了到时候的话啊流量王的这个问题到时候会有专人回复您处理的您留意一下 这不是留意一下我有这么多吧你你们是打工的我也打过来问我他也不是在回来你们我就充过这个实在吧不知道这个国家是有明文规定的这个我我们是有权利更换你们银行里面的用手机套餐的卡好像有那你们那你们为什么要限制我们一直要除了使用支付宝用户以外他才能办理的 嗯嗯那行那关于这个问题的话也也我也这边也跟工作人员进行说明一下吧然后也帮您去申请一下您到时候可以吗嗯嗯好还有什么问题 啊没有了 
嗯您好很高兴为您服务你好呃您好 那个我刚又充了一个五十块钱两兆两g的流量因为我看的话为什么那个生效日期是在十一月一号呢 您是不是选择次月生效的 没有我选择是当月 那这样子吧我帮您关掉我直接帮您开好吗 噢可以 好那您稍等一下噢那今天开这个五十元两g的话是按实际天数来算只收您二十三块零一流量是九百四十二兆那我现在给您办理就是立即生效的可以吗 噢那没办法是两g是吗 
您好请讲 喂你好你们这个手机号码我怎么怎么欠一毛钱都马上给我去停掉了我 本机号码的话如果有欠费就被停掉后续使用的时候要留意一下 呃这个我现在在路上打电话再接人我觉得现在充话费都来不及又没网都充不了 我看一下能不能开机您稍等 哦 延迟十二小时预支额度一百零五已经开机了然后您现在关机启动一下就可以用了 呃怎么系统 
您好请说您好 喂你好诶您好请讲诶二二二十号二十号我同事说所有的那个什么八十八块钱套餐的是五g流量一千二百分钟为什么我就没有这老客户 噢对不起先生它目前更改条件校园就套餐是小于八十八的才能更改而且您自己这个号码本身当时的话是有办绑定现在的套餐送宽带的活动所以说您没有办法把套餐掉下来啊 噢那边就之前绑定的没绑定宽带那可不可以用 对如果您这边没有绑定宽带的话您可以尝试把套餐降低然后再更改 啊 噢对其他就进去了您看还需要其他的帮助吗 等下我这个套餐应该流量多少钱啊不是好像不够用 
您好请说 你好我问一下我这个就是这手机有绑宽带但是我搬搬家了但是宽带是我们那边没有那个你们移动的那个覆盖的网络那我到移动移动营业厅去取消它让我违约金要交交签六百块钱那那当时你们那边没有移动的那你说我用不上那这个东西怎么弄 嗯是我知道您的情况了那我帮您去反映上报上去去处理让工作人员给您呃一个满意的答案好嘛 我现在帮您关健我我家那边没有没有你们移动有没有被联通覆盖了就用不了了噢 是您的意思我明白了就是没有资源了不是您补办是因为没有自动 取消不了 所以这个情况违约金部分会帮您记录下来了等他电话给您答复好吗 好的谢谢谢谢您 
您好有什么可以帮助您 你看我那个叫你们给我应急开机你们要开一天还是开开一年呢 噢我看一下您稍等呃有查到您问题已经申请上去了在处理当中您到时候留意一下我帮您 你们这个什么查询下到底你告诉我要多久完了说你们要改不了我自己到那个营业厅同意啊 呃因为它这个是有专门工作人员处理的您目前是已经不符合条件了是申请到后台那边会有专门工作人员 我已经打了两个电话你们说一会又好了一会一会你们你们到直接告诉我们搞的我搞不懂你们就直接跟我说得了 嗯嗯问题有申请上去但因为这种情况就是投诉上去的话它就是在四十八小时内处理的如果您着急用的话建议您可以先充 一下不是十分钟吗什么什么八小时啊嗯不是是四十八小时 
啊您好哎 喂你好 嗯您说呃请问 请问一下你我每个月剩下的流量怎么都都都会没掉啊 不会啊我帮您看了一下您这边呢是等一下你说上个月的流量对吗 呃 您上个月套餐里面的流量有用完有用完啊先生没有做你有用完了没有做累积呀有用被你用完了没有就没有用完才有做累计 用完了是吗我上个月好像有剩两百多吗 
诶一号诶你好 诶呃那个昨天不是那个流量呃换成呃换成次月的那现在怎么处理啊 我帮您看一下噢您是说那个之前积分兑换的那个 对啊对啊对呀我要换成这个月的他他怎么呃现额后来后来短信发过来他说是次月才能用的就下个月才能用的对吧 噢对啊那现在目前还在处理当中我帮您去催促一下啊帮您办呃处理一下这个问题 呃就是你你就是帮我换成这个月能用的就可以了 噢 呃对啊就是就是昨天昨天不是马上开通我它短信发过来的时候我看是次月用没有才能用的我就马上给你们人工客服打了电话吗他说他说处理它是今天早上呃肯定能处理好 
您好请说 诶我刚刚办了那个三十八八元套餐怎么是一百分钟一百兆流量啊 三十八块钱的套餐是三百分钟流量一点五个g三百分钟里面一百分钟是全国的剩下的本地打全国是两百另外的流量一点五g一百兆是全国的剩下是福建省的它后面还有写您可以再看一下 额没看到它这个但是看了一百分钟一百兆噢 还有其他需要能帮您呢不客气 没有 
下午好 呃喂你好 你好 诶我就是我现在之前在呃厦门几天办一个号码然后我现在已经是 对 外地我现在把这个厦门这个号码给销掉吗 喂你好车辆你如果有符合注销条件情况下拿到当地营业厅那边注销噢带身份证原件的服务密码去注销 那那什么那那你这个给我发的这个验证码是吧 
拜拜嗯嗯嗯 您好很高兴为您服务 你好很高兴为您讲刚刚欠了一毛多就帮我停掉吧 呃您本机如果说您这边的话欠费呃是因为您这边欠费超过呃欠费就会系统就会给您单停了没错如果说您不方便缴费的话我看一下能不能帮您申请开机一下您先稍等 嗯嗯 那我这边先申请帮您开机了现在可以用了您把手机重启一下就可以了 还有什么需要帮您的吗噢好的那祝您 
您好请讲 你好我想问一下那个就是我这个手机号码应该也用了三千的短信上了然后为什么每次那个月头的时候 都没欠个一 一两块钱就就嗯给我停机了噢这个 噢您这边目前的话确实是会一欠费就会停机噢那先生的话是这样子您现在的话呃有密码吗有密码的话我们我这边帮您申请一下以后的话可以为这个是两天不超过二十元的停机额度 我省外的这种这个什么密码但是现在都实名制都不要了是吧 噢这个因为人工台这边没没密码它系统进入不了那您这样子噢呃麻烦您的话通过我发给您的短信这个是可以免费的话进行的话申请一下这个相应的额度一下我把这个是什么 送过去他说更新就可以了是吧 
好请讲 喂我问一下那个五十八块的套餐什么语音通话才一百分钟啊 啊对有两种您现在办的一个是一百分钟五百流量还有一种版本是一百五分钟一百五流量的 因为我我今天以前都是还是几百的那个语音通话的 更早以前有一个二零一二版的那个是两百六十分钟通话的那个流量三十兆的 嗯嗯我 给您记录应该是更早以前的二零一号码 没 
您好高兴为您服务 诶你帮我查一下我这个流量套餐省外能用的 噢您稍等一下嗯您这个八十八套餐内的五g流量都是省内的没有省外流量额外不能使用 怎么不能使用的是啊 对对这五个g的全部都是省内的 噢难怪我我想要怎么扣了很多 是您出省了流量我看扣了五块五毛二那如果说出省用的话那流量只能另外增加了 哦哦好超 
您好很高兴为您服务喂你好 诶我是你们中国移动的那个用户啊然后呃围是都使用你们呃移动的然后我想问一下为什么我现在充值的话我的那个幺零零八六我的账号里面会没有那个积分呢你能帮我查一下吗 好请您稍等帮您看一下 嗯我手机号是幺三八六零九三九幺零五就是我这个拨打进去的号码 那这边帮您查看它这两元因为他现在积分有两千一百九十七那现在因为它没有积分累积的话是因为它是之前有参加一个手机活动还有宽带的那就说它在活动期间的积分现在是没有累计的啊还有这样子啊 我还以我又充值一般都会都会累积积分了然后就没有活动的 比如说没有写营销活动的它那个积分是有累积的这样啊哇你们移动也太那个了吧 我都一直用你们移动而且我套餐都是一百三十八的套餐的 
您好很高兴为您服务 他你们移动你们这个怎么会在我这个这个费用在交费这么大情况下欠几毛钱你就给我停掉 不好意思啊先生稍等一下 开机看了消费也加不了他连续交费也没办法去交那个是包月给我停掉的 实在不好意思我现在马上帮您联系一下我们技术部门帮您协调一下给您特殊处理一下已经 开好机了一个月交一一个月每个月的消费那么多你给我自己一千九毛三就给我停掉 对对实在不好意思噢我刚刚帮您联系我们的技术部门帮您做一下数据刷新现在已经帮您开好机了可以打出去了 可以打的啊对是的我说你要看情况那个停了欠几毛钱给我停掉它也有发短信过来也没有这个我这个月欠费你马上发个短信过来我要总的去交也没有没没没昨天也没来什么的还有情况下你公司 
您好请说 喂你好呃您好为什么我余额还有五块多为什么今天都要发短信过来跑一遍呢我有没有欠费两三天就发一下 噢很抱歉给您带来不便了那这边是系统它是这这他现在是话费少于十块钱的时候就会打电话或者发短信提醒一下 有没欠费我这个是包月的我月头一下子都交完了也没发什么费用天天都逃 呃很抱歉那如果不需要这个提醒的我这边会帮您马上给您关闭掉 噢好谢谢啊 噢不客气那我这边提醒给您关闭掉了以后就没有提醒啦 对啊你现在欠费了在他们去年多糖这两天状态卡 
您好有什么帮到您的吗 喂 您好请讲 诶我这上网流量都是不限的 流量是无限量用的但是他是说流量有达到三十个g之后网速特别慢 呃网速一遍吗什么 对它只是网速变慢但是流量并没有限制您使用依然可以继续用的我在南平的话流量是无限量用的 噢这样子线网速会变慢掉是吗 
嗯嗯嗯嗯您好请说 喂你好 您好请讲 电话刚才我那个不是应急开机可以在十几个小时之内嘛干嘛突然一下子又停掉了现在教我早上这么早你帮我开一下行不行 您稍等一下 嗯 好的那我这边帮您报到后台人员先帮您特殊先帮您应急开机稍后留意一下开机成功会有短信通知您您要就是尽快交费我这边会马上去上报帮您开机 等多久啊 
您好请讲 喂你好 恩您说 哎对移动公司怎么弄呢每个月消费了到几百块怎么欠你就帮我停掉临时一次了打不出去电话了 恩好的没关系我帮您做一下应急开机您稍等真的很抱歉给您带来不便了 呃我每个月消费的到几百块怎么会这样子的 诶没有关系的我帮您做开机了您稍后挂机之后手机关机重启可以正常使用好吧噢噢嗯真的很抱歉了那其他还需要帮助的吗 呃不需要我觉得这也现在在外面也是也是一个电话停了有弄哪些不方便 
