知道哎嗯嗯您好高兴您服务 你好我想叫你帮我查一下这鸿梅小区这一段是不是那个呃无线网络没用了 
您好很高兴为您服务 诶你好 
您好请问新装宽带吗 啊对对对你帮我看一下我这个地址能不能拉宽带请稍等客服密码好的 
嗯嗯您好 喂你好 
您好请说 我呃你好帮我查一下我呃我这个地址看一下那个呃宽带能不能装 
您好请问需要新装移动宽带吗 嗯呃不是是一g那我原原来有申请过移机啊从已经涉及到后头是当时跟我讲说这边附近没有十元那我想问一下什么时候可以用 
您好请讲 哎你好帮我查一下那个漳州市一条线福美镇大湖村那个之前那边的那个噢宽带充了没有可以可以装吗 
嗯嗯 您好请说 
您好很高兴为您服务 你好我想问一下我这个地址的话能不能办申请安装宽带 
你好有什么可以帮您 诶你想我想问一下我想咨询一下那个我这个地址可不可以什么时候安装宽带啊 
您好请说 喂我那个那个宽带的那个我要一个去那个他说有有没有线路啊 
您好请说 呃你好您好请讲诶帮我问一下那个从那个同安那个叛徒红灯你这边四十八刚阳这边有没有宽带宽带现在我要去网络 
您好请讲 喂你好那个我想问一下现在是不是移动的网络现在已经不现在到农村里面来了 
您好女士要新装宽带吗 请问我想问一下我这边我它这个就是移动宽带覆盖都没有 
您好很高兴为您服务 喂你好 
您好 诶你好嗯喂 
嗯嗯您好很高兴为您服务 宽带单位可以装吗 
好很高兴服务 唉你好我想了解一下移动的这个宽带套餐 
您好很高兴为您服务 喂你好 
您好兴您服务 喂你好 
很高兴为您服务 哎我想查一下有呃一个四元你们的一个百兆资源一个地址百兆是 
高兴您服务哎 你好我想问一下就是我想办理那个什么呃家庭承诺消费送宽带的那个业务吧嗯你能帮我看一下就我们这个地址呃这边有资源吗就是呃可以 
您好很高兴为您服务 喂您好我想查一下我们小区没有覆盖移动的那个宽带 
很高兴为您服务 唉你好我想问一下就是我这边地址能查一下可不可以装那个移动宽带我 
您好很高兴为您服务 喂美女你好 
您好很高兴为您服务 唉你好我想装宽带呀你们我我这里不知道有没有一百兆二百兆的 
您好很高兴为您服务 呃我想问一下就是说海滨五村这边的话宽带可以有光纤吗 
您好很高兴为您服务 喂你好哎我是上海今天这边的对我想办理那个宽带我想咨询一下哪里 
您好很高兴为您服务哎我想问一下在你们的宽带是就先要开通那个再见如果走的是东方有线的线路您没有开的话就要看您的地方是否完成g的网络改造了不然到时可能会装不了的 啊没听懂你再说一下嗯 
高兴您服务 哎我想问一下你们那个浦东新区呃靠近北蔡这边有呼叫的宽带吗 
很高兴为您服务 您好这里是宽带服务吗 
高兴您服务 喂你好麻烦帮我查询一下那边能不能装宽带帮我给个地址给你请讲方出巴黎春张春芳对当初用发现 
很高兴为您服务唉你好我问一下就是我已经 讲 
您好很高兴为您服务 喂你好哎我想问一下我那个工作是三百八十号有没有申请的 
您好很高兴为您服务您好很高兴为您服务 唉小姐你好是这样的我想查一下有一个地址不知道你们一共有没有宽带资源 
您好很高兴为您服务 你好中国移动宽带是吧嗯我想查一下那个高桥更高合作这里有没有是吧撤销 
您好很高兴为您服务 喂唉你好 
您好请讲 唉小姐我想问一下我这都在风县信息做台湾城小区有没有这个宽带业务就是之前在我看到一个广告信箱里就是呃月消费七十八元每月二十元就是可以享受宽带 
您好很高兴为您服务 唉你好先生我想问一下啊就是嗯是这样的因为我想问一下因为我现在用的那个是长城宽带如果我那个想想换你们这边宽带的话呢换的对吧 
为您服务 你好我现在是要搬家嘛我想问一下就是我是办的地方那帮我查一下有没有那个你们宽带那个接口端口 
您好很高兴为您服务 唉你好是这样的你们这个移动有那个消费就是说送宽带的那个业务我想问一下就是上海市那个共康村 
您好很高兴为您服务 支付宝好你好你好你好你帮我那你帮我查一下就是嗯名下有没有那个移动那个宽带 
您好很高兴为您服务 喂你好 
您好很高兴为您服务 中国移动是吧 
对 哎您好请讲 
您好很高兴为您服务 哎你好我想问一下那个朱冬村上海浦东新区周东村包呀四那种东西能不能安宽带 
您好很高兴为您服务 呃您好我想问一下就是我家现在这边能不能办那个就是你们这边的宽带你能帮我查一下吗 
您好请讲 喂你好那个我我想办一个那个就是自己手机提升到一百零八的套餐装免费宽带我这边是长宁区的呀 
账大概什么时候能装 您好很高兴为您服务 
您好很高兴为您服务 唉你帮我查个地址 
您好很高兴为您服务 唉你好我在上海这边然后有呃成立的一个新的公司然后我需要去做一些就是公司的电话业务已经网络业务我想问一下咱们这块是怎么做的我大概需要一个那个一百兆的宽带或者是光纤然后还需要要还是要大概一百个人的座机 
您好很高兴为您服务 噢你好我想问一下普陀区白日路五十八号能不能装鞋宽带 
您好很高兴为您服务 你好我这边想咨询一下那个就是我是那个个体户吗电力吗想装的那个wifi的问题 
您好请讲 唉你好哎你好我想问一下呃我我们我住这边有没有这个覆盖的这个宽带这个是松江区 
您好很高兴为您服务 唉你好那个你们现在我报个地址给您车墩这边可以那个吧可以办理们移动的业务吗宽带业务 
您好很高兴为您服务 我想我想查一下我们将附近有你们的宽带光纤网络 
您好很高兴为您服务 你好我想问一下那个家里宽带嗯嗯就是那个我我不知道那个呃彩铃打区可以转吧移动的 
您好很高兴为您服务 那个我是那个企业吗 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 喂你好 
您好请讲 的喂你好嗯那请问一下我就是跟你说一个地址看这边的话可以按安装宽带吗 
您好很高兴为您服务 唉你好你好我给你个地址能帮我查一下能不能装宽带好吧你们移动的宽带 
您好很高兴为您服务 呃我想问一下你们那个移动宽带覆盖那个一个小区吗 
您好很高兴为您服务 呃你好我问一下就是呃我在那个闸北区那个芷江西路十三路这里支不支持那个那个移动宽带的 
您好很高兴为您服务 喂你好呃我想问咨询一下那个移动宽带 
您好很高兴为您服务 唉你好呃我想问一下就是呃之前你们给我打过电话说我这个套餐可以享受那个宽带的赠送宽带的然后你先帮我查询一下我手机的这个地址啊能不能就是有你们网络现在 
您好很高兴为您服务 唉喂你好我想问一下你们这个送那个网络帮我查一下这个地址那边能装吗 
您好很高兴为您服务 唉喂您好我想咨询一下我们这里能装什么样的宽带嗯您地址报给我给您查一下看看上海市宝山区北安路 
啊您好兴您服务 唉我问一下我是那个广元西路三百四十一弄的呃我们这边的那个宽带就是你们不是在搞那个活动啊什么宽带尽快加急活动这边有我这个小区有没有 
为您服务 喂你好喂 
您好很高兴为您服务 唉喂你好嗯我现在是那个呃那个学生的紫竹园那边我们这边能装移动的宽带吗 
嗯您好很高兴为您服务 唉你好那个你们这边是移动的那个宽带是吧 
您好很高兴为您服务 喂你好我问一下那个装宽带的呀 
您好很高兴为您服务 喂你好我问一下我这个地方能装你们那个移动的宽带啦 
您好很高兴为您服务 喂你好我想问一下你我这里不是光纤有没有我可能没光纤不名字顾唐路 
您好很高兴为您服务您好 唉你好那个我咨询一下我这边是宋贤西青村镇运河村一百三十三号这边现在都可以那个办宽带 
您好很高兴服务唉你好我那个之前预约一个生效呃家庭消费八十块送五十兆宽带的那个那个那个好像没回复吗你帮我看一下你说宽带是不是能装是吧啊对对对那个那个我不是那个预约的那个东西嘛他那个 呃 
哦 您好很高兴为您服务 
您好很高兴为您服务 唉你好我问一下你们不是有那个承诺消费那个宽带业务啊嗯嗯 
您好高兴为您服务您好 哎你好我想问一下我所在小区能不能装这种免费宽带就是说个人消费满一百五十八送宽带那个 
好很高兴为您服务 你好我想请咨询一下就是说关于那个新办这个没用你们这个移动的这个宽带然后新装吗 
您好很高兴为您服务 呃您好是这样子我这边想办企业宽带的话我给你个地址你帮我查查有没有资源 
您好很高兴为您服务 嗯谢谢我想咨询一下就是你们就是移动的宽带现在也是光纤用户吧有的有看小区的看小区的我们这呃浦东新区莲莲花这里是什么这个是不是光纤用户啊 
您好很高兴为您服务 哎你好我想问一下你们那个移动的 
稍等一下很高兴为您服务 呃你好我想咨询一下我现在在上海然后闵行区北省路两百六十弄可以装网线吗 
您好很高兴您服务 啊你好哎我想转一下宽带是怎么个状态呀 
您好很高兴为您服务你好我想问一下那个移动现在新开通了一个 宽带覆盖的小区说是新增了五佰个小区对于新办理那个入网的用户有一个呃优惠的一个接入网的价格对吧我想看一下我的小区现在是不属于如果属于的话从下个月开始我就显示 
您好很高兴为您服务 噢我想问一下在顾全路这里可以办宽带吧 
您好很高兴为您服务 喂你好我想问一下那个上海大学城路九十九号然后那个学生只是可以用那个移动的宽带吗 
很高兴为您服务你帮我查一下那个宝山区月浦镇村路 三十二弄有没有这个宽带 
您好很高兴为您服务 哎你好我想问一下就是你帮我看一下我这里有没有覆盖到你们移动宽带 
您好很高兴为您服务 喂你好我那个想问一下就是我这边的宽带还能不能装 
您好很高兴为您服务 嗯嗯我想问一下那个虹口区场中路通话录有没有一百兆的宽带关机 
很高兴为您服务哎你好我想那个确认一下我们家那个小区可以装移动的宽带 嗯哪个区的请问 
您好兴您服务 唉你好是这样我想办理 
您好很高兴为您服务 喂你好我那个我我这边是那个企业营业厅嘛然后我想办那个宽带你能不能帮我查一下看看我们这边有没有 
您好很高兴为您服务 唉你好我问一下就是你现在能帮我查一下我住的地方能不能按移动的宽带呗 
您好很高兴为您服务 噢 
