知道哎嗯嗯您好高兴您服务 你好我想叫你帮我查一下这鸿梅小区这一段是不是那个呃无线网络没用了 地址是什么用不了 呃电视看不了上网也上不了 
您好很高兴为您服务 诶你好 诶 就是我我想咨询一下现在我我这边能不能装宽带 
您好请问新装宽带吗 啊对对对你帮我看一下我这个地址能不能拉宽带请稍等客服密码好的 啊那阳光的地址是在福州哪里呢 呃原先的地址是在那个北头北头村里面然后我现在要改到那个呃仓山说下村 
嗯嗯您好 喂你好 嗯请问有什么可以帮助您喂 问一下我这个宽带那个线路问题没有 
您好请说 我呃你好帮我查一下我呃我这个地址看一下那个呃宽带能不能装 您不要挂机我帮您转接我们的宽带专家人员帮您看一下啊请稍等 
您好请问需要新装移动宽带吗 嗯呃不是是一g那我原原来有申请过移机啊从已经涉及到后头是当时跟我讲说这边附近没有十元那我想问一下什么时候可以用 具体的时间我这边查不到但是呢如果说您有需要我重新帮您申请安排当地的师傅再帮您去确认好的行恩这边地址麻烦您告诉我一下 现在地址是啊武东村送投诉 
您好请讲 哎你好帮我查一下那个漳州市一条线福美镇大湖村那个之前那边的那个噢宽带充了没有可以可以装吗 嗯您是有打算安装我们移动的宽带业务对吧 可以可以可以要装就是不知道那别人要到了没有然后要装要找谁 
嗯嗯 您好请说 诶你好 你好 
您好很高兴为您服务 你好我想问一下我这个地址的话能不能办申请安装宽带 您是要申请安装一个宽带然后问地址能不能安装是吗 嗯嗯对 
你好有什么可以帮您 诶你想我想问一下我想咨询一下那个我这个地址可不可以什么时候安装宽带啊 您是说要装一条移动的宽带啊那我帮您转接宽带专席请您咨询一下不要挂机好吗 
您好请说 喂我那个那个宽带的那个我要一个去那个他说有有没有线路啊 您好先生您要办理宽带迁移是吗 对对 
您好请说 呃你好您好请讲诶帮我问一下那个从那个同安那个叛徒红灯你这边四十八刚阳这边有没有宽带宽带现在我要去网络 啊您现在想想办新新装我们宽带是吧好的那不要挂机我帮您转宽带专席帮您登记您稍等一下哈 
您好请讲 喂你好那个我想问一下现在是不是移动的网络现在已经不现在到农村里面来了 您这边现在是说本机要办移动宽带要查询有没有覆盖是吗 对 
您好女士要新装宽带吗 请问我想问一下我这边我它这个就是移动宽带覆盖都没有 噢好地址您说我看一下您好 嗯嗯 
您好很高兴为您服务 喂你好 你好 我想咨询一下我那个我家里能不能它那个宽带线能不能过来了一下 
您好 诶你好嗯喂 您好可以听得到吗先生 诶听得到诶就是说我那个你我那个幺八八现在不是改套餐嘛他说有送宽带吗我我那个地方到底有没有宽带 
嗯嗯您好很高兴为您服务 宽带单位可以装吗 就是商务楼您是要装公司的宽带吗 是 
好很高兴服务 唉你好我想了解一下移动的这个宽带套餐 宽带对吧要安装宽带对吗 对 
您好很高兴为您服务 喂你好 嗯 您好 
您好兴您服务 喂你好 唉你好 哎我想问一下我现在就在嘉定这边然后我这边有那个程序里有一套房子啊他跟我说他们现在移动累计就是那个铁通的自觉讲 
很高兴为您服务 哎我想查一下有呃一个四元你们的一个百兆资源一个地址百兆是 可以地址说一下 呃金钟路一千一百一十八号重新提上才 
高兴您服务哎 你好我想问一下就是我想办理那个什么呃家庭承诺消费送宽带的那个业务吧嗯你能帮我看一下就我们这个地址呃这边有资源吗就是呃可以 您地址报一下 立水六浦东新区 
您好很高兴为您服务 喂您好我想查一下我们小区没有覆盖移动的那个宽带 再见呃可以啊上海哪个区的 浦东新区羽山路包的嗯 
很高兴为您服务 唉你好我想问一下就是我这边地址能查一下可不可以装那个移动宽带我 噢好的你把地址报一下我帮您确认下 呃徐汇区肇嘉浜路 
您好很高兴为您服务 喂美女你好 你好 我想问一下就是宽带业务我们那个宝山区可以办理吧 
您好很高兴为您服务 唉你好我想装宽带呀你们我我这里不知道有没有一百兆二百兆的 具体什么密码 地址啊真光路 
您好很高兴为您服务 呃我想问一下就是说海滨五村这边的话宽带可以有光纤吗 海滨五村哪个区的 宝山区 
您好很高兴为您服务 喂你好哎我是上海今天这边的对我想办理那个宽带我想咨询一下哪里 办理宽带 对对对就用那种个人消费呢帮我那个活动嘛二十八的八十八送流量 
